"","Indicator_Id","dataset","iso3","subset","year","group","question","answer","value","Indicator"
"1","1-CPIA-Total","CPIA","DFS","All",2016,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.18333333333333,"building human resources-CPIA-Total"
"2","1-CPIA-Total","CPIA","MWI","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"3","1-CPIA-Total","CPIA","COD","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"4","1-CPIA-Total","CPIA","FXS","All",2008,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.85714285714286,"building human resources-CPIA-Total"
"5","1-CPIA-Total","CPIA","GHA","All",2009,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4.5,"building human resources-CPIA-Total"
"6","1-CPIA-Total","CPIA","SDN","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",2.5,"building human resources-CPIA-Total"
"7","1-CPIA-Total","CPIA","MOZ","All",2013,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",4,"building human resources-CPIA-Total"
"8","1-CPIA-Total","CPIA","KHM","All",2010,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"9","1-CPIA-Total","CPIA","NIC","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"10","1-CPIA-Total","CPIA","DSS","All",2011,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.44594594594595,"building human resources-CPIA-Total"
"11","1-CPIA-Total","CPIA","YEM","All",2015,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3,"building human resources-CPIA-Total"
"12","1-CPIA-Total","CPIA","MWI","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.5,"building human resources-CPIA-Total"
"13","1-CPIA-Total","CPIA","DNS","All",2012,"IQ.CPA.HRES.XQ","CPIA building human resources rating 1low to 6high","Total",3.78571428571429,"building human resources-CPIA-Total"
