"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","dealing with construction permits building quality control-DB-Total","DB","Dealing with Construction Permits Building quality control","Total","Dealing with Construction Permits Building quality control","110-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"2","dealing with construction permits cost % of warehouse value-DB-Total","DB","Dealing with Construction Permits Cost % of Warehouse value","Total","Dealing with Construction Permits Cost % of Warehouse value","111-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"3","dealing with construction permits dtf dealing with construction permits-DB-Total","DB","Dealing with Construction Permits DTF Dealing with construction permits","Total","Dealing with Construction Permits DTF Dealing with construction permits","114-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"4","dealing with construction permits liability and insurance regimes-DB-Total","DB","Dealing with Construction Permits Liability and insurance regimes","Total","Dealing with Construction Permits Liability and insurance regimes","105-DB-Total","0-2","0-2","index",4.426,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Liability and insurance regimes","",4.247,"Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Liability and insurance regimes","",4.214,"Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Liability and insurance regimes","DB3","DB3","","",""
"5","dealing with construction permits procedures number-DB-Total","DB","Dealing with Construction Permits Procedures number","Total","Dealing with Construction Permits Procedures number","113-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"6","dealing with construction permits professional certifications-DB-Total","DB","Dealing with Construction Permits Professional certifications","Total","Dealing with Construction Permits Professional certifications","104-DB-Total","0-4","0-4","index",4.254,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Professional certifications","",4.129,"Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Professional certifications","",4.3,"Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Professional certifications","DB5","DB5","","",""
"7","dealing with construction permits quality control after construction-DB-Total","DB","Dealing with Construction Permits Quality control after construction","Total","Dealing with Construction Permits Quality control after construction","106-DB-Total","0-3","0-3","index",4.28,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality control after construction","",4.029,"Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality control after construction","",4.289,"Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality control after construction","DB6","DB6","","",""
"8","dealing with construction permits quality control before construction-DB-Total","DB","Dealing with Construction Permits Quality control before construction","Total","Dealing with Construction Permits Quality control before construction","108-DB-Total","0-1","0-1","index",4.238,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality control before construction","",4.277,"Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality control before construction","",4.056,"Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality control before construction","DB7","DB7","","",""
"9","dealing with construction permits quality control during construction-DB-Total","DB","Dealing with Construction Permits Quality control during construction","Total","Dealing with Construction Permits Quality control during construction","107-DB-Total","0-3","0-3","index",4.386,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality control during construction","",4.05,"Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality control during construction","",4.139,"Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality control during construction","DB8","DB8","","",""
"10","dealing with construction permits quality of building regulations-DB-Total","DB","Dealing with Construction Permits Quality of building regulations","Total","Dealing with Construction Permits Quality of building regulations","109-DB-Total","Total","Total","Value",4.057,"Private Sector Interface","Property rights and contracts","Other","Dealing with Construction Permits Quality of building regulations index","",4.305,"Private Sector Interface","Permits and Licenses","Other","Dealing with Construction Permits Quality of building regulations index","",4.353,"Private Sector Interface","Regulation of entry and exit","Other","Dealing with Construction Permits Quality of building regulations index","DB9","DB9","","",""
"11","dealing with construction permits time days-DB-Total","DB","Dealing with Construction Permits Time days","Total","Dealing with Construction Permits Time days","112-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"12","dealing with construction permits-DB-Total","DB","Dealing with construction permits","Total","Dealing with construction permits","115-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"13","dtf global-DB-Total","DB","DTF global","Total","DTF global","125-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"14","enforcing contract-DB-Total","DB","Enforcing contract","Total","Enforcing contract","29-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"15","enforcing contracts alternative dispute resolution-DB-Total","DB","Enforcing Contracts Alternative dispute resolution","Total","Enforcing Contracts Alternative dispute resolution","12-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"16","enforcing contracts attorney fees % of claim-DB-Total","DB","Enforcing Contracts Attorney fees % of claim","Total","Enforcing Contracts Attorney fees % of claim","20-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"17","enforcing contracts case management-DB-Total","DB","Enforcing Contracts Case management","Total","Enforcing Contracts Case management","14-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"18","enforcing contracts cost % of claim-DB-Total","DB","Enforcing Contracts Cost % of claim","Total","Enforcing Contracts Cost % of claim","21-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"19","enforcing contracts court automation-DB-Total","DB","Enforcing Contracts Court automation","Total","Enforcing Contracts Court automation","13-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"20","enforcing contracts court fees % of claim-DB-Total","DB","Enforcing Contracts Court fees % of claim","Total","Enforcing Contracts Court fees % of claim","19-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"21","enforcing contracts court structure and proceedings-DB-Total","DB","Enforcing Contracts Court structure and proceedings","Total","Enforcing Contracts Court structure and proceedings","15-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"22","enforcing contracts dtf enforcing contract-DB-Total","DB","Enforcing Contracts DTF Enforcing contract","Total","Enforcing Contracts DTF Enforcing contract","28-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"23","enforcing contracts dtf enforcing contracts-DB-Total","DB","Enforcing Contracts DTF Enforcing contracts","Total","Enforcing Contracts DTF Enforcing contracts","27-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"24","enforcing contracts enforcement fees % of claim-DB-Total","DB","Enforcing Contracts Enforcement fees % of claim","Total","Enforcing Contracts Enforcement fees % of claim","18-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"25","enforcing contracts enforcement of judgment days-DB-Total","DB","Enforcing Contracts Enforcement of judgment days","Total","Enforcing Contracts Enforcement of judgment days","22-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"26","enforcing contracts filing and service days-DB-Total","DB","Enforcing Contracts Filing and service days","Total","Enforcing Contracts Filing and service days","24-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"27","enforcing contracts procedures number-DB-Total","DB","Enforcing Contracts Procedures number","Total","Enforcing Contracts Procedures number","26-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"28","enforcing contracts quality of the judicial administration-DB-Total","DB","Enforcing Contracts Quality of the judicial administration","Total","Enforcing Contracts Quality of the judicial administration","16-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"29","enforcing contracts quality of the judicial processes-DB-Total","DB","Enforcing Contracts Quality of the judicial processes","Total","Enforcing Contracts Quality of the judicial processes","17-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"30","enforcing contracts time days-DB-Total","DB","Enforcing Contracts Time days","Total","Enforcing Contracts Time days","25-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"31","enforcing contracts trial and judgment days-DB-Total","DB","Enforcing Contracts Trial and judgment days","Total","Enforcing Contracts Trial and judgment days","23-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"32","getting credit credit bureau coverage % of adults-DB-Total","DB","Getting Credit Credit bureau coverage % of adults","Total","Getting Credit Credit bureau coverage % of adults","72-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"33","getting credit credit registry coverage % of adults-DB-Total","DB","Getting Credit Credit registry coverage % of adults","Total","Getting Credit Credit registry coverage % of adults","73-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"34","getting credit depth of credit information-DB-Total","DB","Getting Credit Depth of credit information","Total","Getting Credit Depth of credit information","74-DB-Total","0-6","0-6","index",4.227,"Private Sector Interface","Property rights and contracts","Other","Getting Credit: Depth of credit information old methodology","",4.214,"Private Sector Interface","Permits and Licenses","Other","Getting Credit: Depth of credit information old methodology","",4.284,"Private Sector Interface","Regulation of entry and exit","Other","Getting Credit: Depth of credit information old methodology","DB20","DB20","","",""
"35","getting credit dtf getting credit-DB-Total","DB","Getting Credit DTF Getting credit","Total","Getting Credit DTF Getting credit","76-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"36","getting credit getting credit total score-DB-Total","DB","Getting Credit Getting Credit total score","Total","Getting Credit Getting Credit total score","71-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"37","getting credit strength of legal rights-DB-Total","DB","Getting Credit Strength of legal rights","Total","Getting Credit Strength of legal rights","75-DB-Total","0-10","0-10","index",4.325,"Private Sector Interface","Property rights and contracts","Other","Getting Credit: Strength of legal rights old methodology","",4.187,"Private Sector Interface","Permits and Licenses","Other","Getting Credit: Strength of legal rights old methodology","",4.06,"Private Sector Interface","Regulation of entry and exit","Other","Getting Credit: Strength of legal rights old methodology","DB22","DB22","","",""
"38","getting credit-DB-Total","DB","Getting credit","Total","Getting credit","77-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"39","getting electricity communication of tariffs and tariff changes-DB-Total","DB","Getting Electricity Communication of tariffs and tariff changes","Total","Getting Electricity Communication of tariffs and tariff changes","89-DB-Total","0-1","0-1","Value",4.356,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Communication of tariffs and tariff changes","",4.117,"Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Communication of tariffs and tariff changes","",4.057,"Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Communication of tariffs and tariff changes","DB26","DB26","","",""
"40","getting electricity cost % of income per capita-DB-Total","DB","Getting Electricity Cost % of income per capita","Total","Getting Electricity Cost % of income per capita","99-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
