"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"1","Country Ratings Statuses-FH-Total","FH","AFG","All",2017,"Status","Country Ratings Statuses","Total",3,"2-FH-Total"
"2","Country Ratings Statuses-FH-Total","FH","ALB","All",2017,"Status","Country Ratings Statuses","Total",2,"2-FH-Total"
"3","Country Ratings Statuses-FH-Total","FH","DZA","All",2017,"Status","Country Ratings Statuses","Total",3,"2-FH-Total"
"4","Country Ratings Statuses-FH-Total","FH","ADO","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"5","Country Ratings Statuses-FH-Total","FH","AGO","All",2017,"Status","Country Ratings Statuses","Total",3,"2-FH-Total"
"6","Country Ratings Statuses-FH-Total","FH","ATG","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"7","Country Ratings Statuses-FH-Total","FH","ARG","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"8","Country Ratings Statuses-FH-Total","FH","ARM","All",2017,"Status","Country Ratings Statuses","Total",2,"2-FH-Total"
"9","Country Ratings Statuses-FH-Total","FH","AUS","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"10","Country Ratings Statuses-FH-Total","FH","AUT","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"11","Country Ratings Statuses-FH-Total","FH","AZE","All",2017,"Status","Country Ratings Statuses","Total",3,"2-FH-Total"
"12","Country Ratings Statuses-FH-Total","FH","BHS","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"13","Country Ratings Statuses-FH-Total","FH","BHR","All",2017,"Status","Country Ratings Statuses","Total",3,"2-FH-Total"
"14","Country Ratings Statuses-FH-Total","FH","BGD","All",2017,"Status","Country Ratings Statuses","Total",2,"2-FH-Total"
"15","Country Ratings Statuses-FH-Total","FH","BRB","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"16","Country Ratings Statuses-FH-Total","FH","BLR","All",2017,"Status","Country Ratings Statuses","Total",3,"2-FH-Total"
"17","Country Ratings Statuses-FH-Total","FH","BEL","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"18","Country Ratings Statuses-FH-Total","FH","BLZ","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"19","Country Ratings Statuses-FH-Total","FH","BEN","All",2017,"Status","Country Ratings Statuses","Total",1,"2-FH-Total"
"20","Country Ratings Statuses-FH-Total","FH","BTN","All",2017,"Status","Country Ratings Statuses","Total",2,"2-FH-Total"
"21","Country Ratings Statuses-FH-Total","FH","BOL","All",2017,"Status","Country Ratings Statuses","Total",2,"2-FH-Total"
"22","Country Ratings Statuses-FH-Total","FH","BIH","All",2017,"Status","Country Ratings Statuses","Total",2,"2-FH-Total"
