"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","Accountability-GCI-Rank","58-GCI-Rank","2. Accountability","Rank","GCI","Accountability","Rank","Rank","Value",4.054,"Private Sector Interface","Corporate Governance","Other","Accountability","",NA,"","","","","",NA,"","","","","GCI49.1","28946","","",""
"2","Accountability-GCI-Value","57-GCI-Value","2. Accountability","Value","GCI","Accountability","Value","Value","Index",4.054,"Private Sector Interface","Corporate Governance","Other","Accountability","",NA,"","","","","",NA,"","","","","GCI49.2","GCI49","","",""
"3","Affordability of financial services-GCI-Rank","222-GCI-Rank","Affordability of financial services, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"4","Affordability of financial services-GCI-Rank","320-GCI-Rank","Affordability of financial services, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"5","Affordability of financial services-GCI-Value","221-GCI-Value","Affordability of financial services, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"6","Affordability of financial services-GCI-Value","319-GCI-Value","Affordability of financial services, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"7","Agricultural policy costs-GCI-Rank","164-GCI-Rank","Agricultural policy costs, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"8","Agricultural policy costs-GCI-Value","163-GCI-Value","Agricultural policy costs, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"9","Availability of financial services-GCI-Rank","322-GCI-Rank","Availability of financial services, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"10","Availability of financial services-GCI-Value","321-GCI-Value","Availability of financial services, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"11","Availability of latest technologies-GCI-Rank","242-GCI-Rank","Availability of latest technologies, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"12","Availability of latest technologies-GCI-Value","241-GCI-Value","Availability of latest technologies, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"13","Availability of research and training services-GCI-Rank","144-GCI-Rank","Availability of research and training services, 1-7 (best)","Rank","GCI","Availability of research and training services","Rank","Rank","Value",4.301,"Public Sector Management","Service Delivery","Other","Availability of research and training services","",NA,"","","","","",NA,"","","","","GCI88.1","28968","","",""
"14","Availability of research and training services-GCI-Value","143-GCI-Value","Availability of research and training services, 1-7 (best)","Value","GCI","Availability of research and training services","1-7 Best","1-7 Best","Index",4.301,"Public Sector Management","Service Delivery","Other","Availability of research and training services","",NA,"","","","","",NA,"","","","","GCI88.2","GCI88","","",""
"15","Availability of scientists and engineers-GCI-Rank","306-GCI-Rank","Availability of scientists and engineers, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"16","Availability of scientists and engineers-GCI-Value","305-GCI-Value","Availability of scientists and engineers, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"17","Available airline seat km week millions-GCI-Rank","74-GCI-Rank","Available airline seat km/week, millions*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"18","Available airline seat km week millions-GCI-Value","73-GCI-Value","Available airline seat km/week, millions*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"19","Basic requirements-GCI-Rank","126-GCI-Rank","Basic requirements","Rank","GCI","Basic requirements","Rank","Rank","Value",4.008,"General Governance","Overall Governance","Other","Basic requirements","",NA,"","","","","",NA,"","","","","GCI154.1","28936","","",""
"20","Basic requirements-GCI-Value","125-GCI-Value","Basic requirements","Value","GCI","Basic requirements","Value","Value","Index",4.008,"General Governance","Overall Governance","Other","Basic requirements","",NA,"","","","","",NA,"","","","","GCI154.2","GCI154","","",""
"21","Burden of customs procedures-GCI-Rank","176-GCI-Rank","Burden of customs procedures, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"22","Burden of customs procedures-GCI-Value","175-GCI-Value","Burden of customs procedures, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"23","Burden of government regulation-GCI-Rank","24-GCI-Rank","Burden of government regulation, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"24","Burden of government regulation-GCI-Value","23-GCI-Value","Burden of government regulation, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
