"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","abuse of office bs-IIAG-Total","215-IIAG-Total","Abuse_of_Office_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"2","access to improved sanitation whounicef-IIAG-Total","13-IIAG-Total","Access_to_Improved_Sanitation_(WHO/UNICEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"3","access to improved water  whounicef-IIAG-Total","71-IIAG-Total","Access_to_Improved_Water__(WHO/UNICEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"4","access to information gi-IIAG-Total","226-IIAG-Total","Access_to_Information_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"5","access to justice vdem-IIAG-Total","237-IIAG-Total","Access_to_Justice_(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"6","access to land ifad-IIAG-Total","67-IIAG-Total","Access_to_Land_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"7","access to legislative information gi-IIAG-Total","224-IIAG-Total","Access_to_Legislative_Information_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"8","access to public information gi-IIAG-Total","225-IIAG-Total","Access_to_Public_Information_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"9","access to sanitation whounicef-IIAG-Total","14-IIAG-Total","Access_to_Sanitation_(WHO/UNICEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"10","access to water for agriculture ifad-IIAG-Total","66-IIAG-Total","Access_to_Water_for_Agriculture_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"11","accountability of public officials  eiubs-IIAG-Total","217-IIAG-Total","Accountability_of_Public_Officials__(EIU/BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
