"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","ability to hire foreign executives in firms-IPD-d8000","346-IPD-d8000","d8000","d8000","Ability to hire foreign executives in firms","IPD","D8000","D8000","Index",4.174,"Fairness and equity","Social protection and labor","Other","Ability to hire foreign executives in firms","",NA,"","","","","",NA,"","","","","IPD2","30936","","",""
"2","ability to hire foreign executives in firms-IPD-d8000","25-IPD-d8000","D8000","D8000","Ability to hire foreign executives in firms","IPD","D8000","D8000","Index",4.174,"Fairness and equity","Social protection and labor","Other","Ability to hire foreign executives in firms","",NA,"","","","","",NA,"","","","","IPD2","30936","","",""
"3","ability to limit tax evasion-IPD-a3033","593-IPD-a3033","a3033","a3033","Ability to limit tax evasion","IPD","A3033","A3033","Index",4.335,"Public Sector Management","Administrative and Policymaking capacity","Other","Ability to limit tax evasion","",NA,"","","","","",NA,"","","","","IPD3","31045","","",""
"4","ability to limit tax evasion-IPD-a3033","262-IPD-a3033","A3033","A3033","Ability to limit tax evasion","IPD","A3033","A3033","Index",4.335,"Public Sector Management","Administrative and Policymaking capacity","Other","Ability to limit tax evasion","",NA,"","","","","",NA,"","","","","IPD3","31045","","",""
"5","ability to reform armed bodies-IPD-a2013","287-IPD-a2013","A2013","A2013","Ability to reform: armed bodies","IPD","A2013","A2013","Index",4.083,"Security","Police and Military","Other","Ability to reform: armed bodies","",NA,"","","","","",NA,"","","","","IPD4","31166","","",""
"6","ability to reform armed bodies-IPD-a2013","617-IPD-a2013","a2013","a2013","Ability to reform: armed bodies","IPD","A2013","A2013","Index",4.083,"Security","Police and Military","Other","Ability to reform: armed bodies","",NA,"","","","","",NA,"","","","","IPD4","31166","","",""
"7","ability to reform civil and political rights-IPD-a3111","569-IPD-a3111","a3111","a3111","Ability to reform: civil and political rights","IPD","A3111","A3111","Index",4.617,"Public Sector Management","Enforcement","Other","Ability to reform: civil and political rights","",NA,"","","","","",NA,"","","","","IPD5","31278","","",""
"8","ability to reform civil and political rights-IPD-a3111","245-IPD-a3111","A3111","A3111","Ability to reform: civil and political rights","IPD","A3111","A3111","Index",4.617,"Public Sector Management","Enforcement","Other","Ability to reform: civil and political rights","",NA,"","","","","",NA,"","","","","IPD5","31278","","",""
"9","ability to reform constitutional fields-IPD-a3110","246-IPD-a3110","A3110","A3110","Ability to reform: constitutional fields","IPD","A3110","A3110","Index",4.653,"Public Sector Management","Enforcement","Other","Ability to reform: constitutional fields","",NA,"","","","","",NA,"","","","","IPD6","31388","","",""
"10","ability to reform constitutional fields-IPD-a3110","570-IPD-a3110","a3110","a3110","Ability to reform: constitutional fields","IPD","A3110","A3110","Index",4.653,"Public Sector Management","Enforcement","Other","Ability to reform: constitutional fields","",NA,"","","","","",NA,"","","","","IPD6","31388","","",""
"11","ability to reform economic-IPD-a3120","242-IPD-a3120","A3120","A3120","Ability to reform: economic","IPD","A3120","A3120","Index",4.614,"Public Sector Management","Enforcement","Other","Ability to reform: economic","",NA,"","","","","",NA,"","","","","IPD7","31494","","",""
"12","ability to reform economic-IPD-a3120","566-IPD-a3120","a3120","a3120","Ability to reform: economic","IPD","A3120","A3120","Index",4.614,"Public Sector Management","Enforcement","Other","Ability to reform: economic","",NA,"","","","","",NA,"","","","","IPD7","31494","","",""
"13","ability to reform environmental protection-IPD-a3124","562-IPD-a3124","a3124","a3124","Ability to reform: environmental protection","IPD","A3124","A3124","Index",4.182,"Public Sector Management","Enforcement","Other","Ability to reform: environmental protection","",NA,"","","","","",NA,"","","","","IPD8","31605","","",""
"14","ability to reform environmental protection-IPD-a3124","238-IPD-a3124","A3124","A3124","Ability to reform: environmental protection","IPD","A3124","A3124","Index",4.182,"Public Sector Management","Enforcement","Other","Ability to reform: environmental protection","",NA,"","","","","",NA,"","","","","IPD8","31605","","",""
"15","ability to reform health and education-IPD-a3122","564-IPD-a3122","a3122","a3122","Ability to reform: health and education","IPD","A3122","A3122","Index",5.105,"Public Sector Management","Enforcement","Other","Ability to reform: health and education","",NA,"","","","","",NA,"","","","","IPD9","31719","","",""
"16","ability to reform health and education-IPD-a3122","240-IPD-a3122","A3122","A3122","Ability to reform: health and education","IPD","A3122","A3122","Index",5.105,"Public Sector Management","Enforcement","Other","Ability to reform: health and education","",NA,"","","","","",NA,"","","","","IPD9","31719","","",""
"17","ability to reform justice-IPD-a3112","244-IPD-a3112","A3112","A3112","Ability to reform: justice","IPD","A3112","A3112","Index",4.231,"Public Sector Management","Enforcement","Other","Ability to reform: justice","",NA,"","","","","",NA,"","","","","IPD10","30821","","",""
"18","ability to reform justice-IPD-a3112","568-IPD-a3112","a3112","a3112","Ability to reform: justice","IPD","A3112","A3112","Index",4.231,"Public Sector Management","Enforcement","Other","Ability to reform: justice","",NA,"","","","","",NA,"","","","","IPD10","30821","","",""
"19","ability to reform social-IPD-a3121","565-IPD-a3121","a3121","a3121","Ability to reform: social","IPD","A3121","A3121","Index",4.139,"Public Sector Management","Enforcement","Other","Ability to reform: social","",NA,"","","","","",NA,"","","","","IPD11","30833","","",""
"20","ability to reform social-IPD-a3121","241-IPD-a3121","A3121","A3121","Ability to reform: social","IPD","A3121","A3121","Index",4.139,"Public Sector Management","Enforcement","Other","Ability to reform: social","",NA,"","","","","",NA,"","","","","IPD11","30833","","",""
"21","ability to reform societal-IPD-a3123","239-IPD-a3123","A3123","A3123","Ability to reform: societal","IPD","A3123","A3123","Index",4.776,"Public Sector Management","Enforcement","Other","Ability to reform: societal","",NA,"","","","","",NA,"","","","","IPD12","30844","","",""
"22","ability to reform societal-IPD-a3123","563-IPD-a3123","a3123","a3123","Ability to reform: societal","IPD","A3123","A3123","Index",4.776,"Public Sector Management","Enforcement","Other","Ability to reform: societal","",NA,"","","","","",NA,"","","","","IPD12","30844","","",""
"23","acceptance of foreign executives in foreign firms-IPD-d8001","728-IPD-d8001","D8001","D8001","Acceptance of foreign executives in foreign firms","IPD","D8001","D8001","Index",4.172,"Fairness and equity","Social protection and labor","Other","Acceptance of foreign executives in foreign firms","",NA,"","","","","",NA,"","","","","IPD13","30855","","",""
"24","acceptance of foreign executives in local firms-IPD-d8000","727-IPD-d8000","D8000","D8000","Acceptance of foreign executives in local firms","IPD","D8000","D8000","Index",4.107,"Fairness and equity","Social protection and labor","Other","Acceptance of foreign executives in local firms","",NA,"","","","","",NA,"","","","","IPD14","30868","","",""
"25","acceptance or contestation of most recent change at highest level of government-IPD-a1001","1160-IPD-a1001","A1001","A1001","Acceptance or contestation of most recent change at highest level of government","IPD","A1001","A1001","Index",4.043,"Trust","Trust in Government","Other","Acceptance or contestation of most recent change at highest level of government","",NA,"","","","","",NA,"","","","","IPD15","30881","","",""
"26","access of foreignowned or partlyforeignowned firms to loans from local banks-IPD-c8002","789-IPD-c8002","C8002","C8002","Access of foreignowned or partlyforeignowned firms to loans from local banks","IPD","C8002","C8002","Index",4.75,"Public Sector Management","Financial System","Other","Access of foreignowned or partlyforeignowned firms to loans from local banks","",NA,"","","","","",NA,"","","","","IPD16","30892","","",""
"27","access of local banking firms to international bank loans-IPD-c8003","848-IPD-c8003","C8003","C8003","Access of local banking firms to international bank loans","IPD","C8003","C8003","Index",4.613,"Public Sector Management","Financial System","Other","Access of local banking firms to international bank loans","",NA,"","","","","",NA,"","","","","IPD17","30902","","",""
"28","access of local banks and firms to international bank loans-IPD-c8003","790-IPD-c8003","C8003","C8003","Access of local banks and firms to international bank loans","IPD","C8003","C8003","Index",4.707,"Public Sector Management","Financial System","Other","Access of local banks and firms to international bank loans","",NA,"","","","","",NA,"","","","","IPD18","30913","","",""
"29","access of local firms to international financial markets-IPD-c8004","791-IPD-c8004","C8004","C8004","Access of local firms to international financial markets","IPD","C8004","C8004","Index",4.056,"Public Sector Management","Financial System","Other","Access of local firms to international financial markets","",NA,"","","","","",NA,"","","","","IPD19","30924","","",""
"30","access to state education primary and secondary-IPD-a9050","1152-IPD-a9050","A9050","A9050","Access to state education (primary and secondary)","IPD","A9050","A9050","Index",4.24,"Public Sector Management","Service Delivery","Other","Access to state education (primary and secondary)","",NA,"","","","","",NA,"","","","","IPD20","30937","","",""
"31","access without discrimination to healthcare and public and private employment-IPD-a901","1347-IPD-a901","A901","A901","Access without discrimination to healthcare and public and private employment","IPD","A901","A901","Index",4.071,"Fairness and equity","Equal treatment","Other","Access without discrimination to healthcare and public and private employment","",NA,"","","","","",NA,"","","","","IPD21","30948","","",""
"32","accounts certification for banks-IPD-c6001","399-IPD-c6001","c6001","c6001","Accounts certification for banks","IPD","C6001","C6001","Index",4.252,"Public Sector Management","Financial System","Other","Accounts certification for banks","",NA,"","","","","",NA,"","","","","IPD22","30959","","",""
"33","accounts certification for banks-IPD-c6001","77-IPD-c6001","C6001","C6001","Accounts certification for banks","IPD","C6001","C6001","Index",4.252,"Public Sector Management","Financial System","Other","Accounts certification for banks","",NA,"","","","","",NA,"","","","","IPD22","30959","","",""
"34","accounts of public banks-IPD-a3003","1043-IPD-a3003","A3003","A3003","Accounts of public banks","IPD","A3003","A3003","Index",4.22,"Public Sector Management","State owned enterprises","Other","Accounts of public banks","",NA,"","","","","",NA,"","","","","IPD23","30970","","",""
"35","accounts of stateowned enterprises-IPD-a3002","1042-IPD-a3002","A3002","A3002","Accounts of stateowned enterprises","IPD","A3002","A3002","Index",4.881,"Public Sector Management","State owned enterprises","Other","Accounts of stateowned enterprises","",NA,"","","","","",NA,"","","","","IPD24","30981","","",""
"36","action aimed at improving the training of civil servants-IPD-a3560","1231-IPD-a3560","A3560","A3560","Action aimed at improving the training of civil servants","IPD","A3560","A3560","Index",4.004,"Public Sector Management","Personnel Management","Other","Action aimed at improving the training of civil servants","",NA,"","","","","",NA,"","","","","IPD25","30990","","",""
"37","adaptation of the education system to the labour market-IPD-d9021","744-IPD-d9021","D9021","D9021","Adaptation of the education system to the labour market","IPD","D9021","D9021","Index",4.151,"Fairness and equity","Social protection and labor","Other","Adaptation of the education system to the labour market","",NA,"","","","","",NA,"","","","","IPD26","31002","","",""
"38","administered prices and market prices-IPD-b403","928-IPD-b403","B403","B403","Administered prices and market prices","IPD","B403","B403","Index",4.189,"Fairness and equity","Redistribution mechanism","Other","Administered prices and market prices","",NA,"","","","","",NA,"","","","","IPD27","31011","","",""
"39","administration-IPD-a5007","1245-IPD-a5007","A5007","A5007","Administration","IPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"40","administrative business startup formalities-IPD-b300","918-IPD-b300","B300","B300","Administrative business startup formalities","IPD","B300","B300","Index",4.009,"Private Sector Interface","Permits and Licenses","Other","Administrative business startup formalities","",NA,"","","","","",NA,"","","","","IPD29.1","31033","","",""
"41","administrative business startup formalities-IPD-b3000","919-IPD-b3000","B3000","B3000","Administrative business startup formalities","IPD","B3000","B3000","Index",4.009,"Private Sector Interface","Permits and Licenses","Other","Administrative business startup formalities","",NA,"","","","","",NA,"","","","","IPD29.2","31034","","",""
"42","administrative formalities-IPD-a9042","1151-IPD-a9042","A9042","A9042","Administrative formalities","IPD","A9042","A9042","Index",4.831,"Public Sector Management","Service Delivery","Other","Administrative formalities","",NA,"","","","","",NA,"","","","","IPD30","31046","","",""
"43","administrative setting of interest rates-IPD-c4020","752-IPD-c4020","C4020","C4020","Administrative setting of interest rates","IPD","C4020","C4020","Index",4.266,"Public Sector Management","Financial System","Other","Administrative setting of interest rates","",NA,"","","","","",NA,"","","","","IPD31","31059","","",""
"44","adult vocational training-IPD-d500","710-IPD-d500","D500","D500","Adult vocational training","IPD","D500","D500","Index",4.011,"Fairness and equity","Social protection and labor","Other","Adult vocational training","",NA,"","","","","",NA,"","","","","IPD32","31070","","",""
"45","agricultural sector concentration of agricultural land-IPD-b703","971-IPD-b703","B703","B703","Agricultural sector: concentration of agricultural land","IPD","B703","B703","Index",4.105,"Fairness and equity","Land issues","Other","Agricultural sector: concentration of agricultural land","",NA,"","","","","",NA,"","","","","IPD33","31080","","",""
"46","agricultural sector public property-IPD-b606","958-IPD-b606","B606","B606","Agricultural sector: public property","IPD","B606","B606","Index",4.028,"Fairness and equity","Land issues","Other","Agricultural sector: public property","",NA,"","","","","",NA,"","","","","IPD34","31091","","",""
"47","agricultural sector security of rights and property transactions-IPD-b607","960-IPD-b607","B607","B607","Agricultural sector: security of rights and property transactions","IPD","B607","B607","Index",4.112,"Fairness and equity","Land issues","Other","Agricultural sector: security of rights and property transactions","",NA,"","","","","",NA,"","","","","IPD35","31103","","",""
"48","agricultural sector traditional collective property-IPD-b605","956-IPD-b605","B605","B605","Agricultural sector: traditional collective property","IPD","B605","B605","Index",4.323,"Private Sector Interface","Property rights and contracts","Other","Agricultural sector: traditional collective property","",NA,"","","","","",NA,"","","","","IPD36","31120","","",""
"49","allocated lending by sector to stateowned enterprises etc-IPD-c4023","796-IPD-c4023","C4023","C4023","Allocated lending (by sector, to stateowned enterprises etc)","IPD","C4023","C4023","Index",4.235,"Public Sector Management","Financial System","Other","Allocated lending (by sector to stateowned enterprises etc)","",NA,"","","","","",NA,"","","","","IPD37","31132","","",""
"50","amendment of the rules governing the assumption of political office-IPD-a1050","303-IPD-a1050","A1050","A1050","Amendment of the rules governing the assumption of political office","IPD","A1050","A1050","Index",4.418,"Public Sector Management","Enforcement","Other","Amendment of the rules governing the assumption of political office","",NA,"","","","","",NA,"","","","","IPD38","31145","","",""
"51","amendment of the rules governing the assumption of political office-IPD-a1050","633-IPD-a1050","a1050","a1050","Amendment of the rules governing the assumption of political office","IPD","A1050","A1050","Index",4.418,"Public Sector Management","Enforcement","Other","Amendment of the rules governing the assumption of political office","",NA,"","","","","",NA,"","","","","IPD38","31145","","",""
"52","application of law on bankruptcies-IPD-a607","1323-IPD-a607","A607","A607","Application of law on bankruptcies","IPD","A607","A607","Index",4.391,"Private Sector Interface","Regulation of entry and exit","Other","Application of law on bankruptcies","",NA,"","","","","",NA,"","","","","IPD39","31155","","",""
"53","arbitrary pressures on private property-IPD-a6001","206-IPD-a6001","A6001","A6001","Arbitrary pressures on private property","IPD","A6001","A6001","Index",4.14,"Private Sector Interface","Property rights and contracts","Other","Arbitrary pressures on private property","",NA,"","","","","",NA,"","","","","IPD40","31167","","",""
"54","arbitrary pressures on private property-IPD-a6001","529-IPD-a6001","a6001","a6001","Arbitrary pressures on private property","IPD","A6001","A6001","Index",4.14,"Private Sector Interface","Property rights and contracts","Other","Arbitrary pressures on private property","",NA,"","","","","",NA,"","","","","IPD40","31167","","",""
"55","are agricultural land property rights mainly traditional informal or quasiinformal or are they formal-IPD-b6070","961-IPD-b6070","B6070","B6070","Are agricultural land property rights mainly traditional (informal or quasiinformal) or are they formal?","IPD","B6070","B6070","Index",4.169,"Fairness and equity","Land issues","Other","Are agricultural land property rights mainly traditional (informal or quasiinformal) or are they formal?","",NA,"","","","","",NA,"","","","","IPD41","31176","","",""
"56","are development and economic growth a priority for the local public elites senior civil servants academics etc-IPD-a5141","1291-IPD-a5141","A5141","A5141","Are development and economic growth a priority for the local public elites (senior civil servants, academics, etc)?","IPD","A5141","A5141","Index",4.012,"Fairness and equity","Redistribution mechanism","Other","Are development and economic growth a priority for the local public elites (senior civil servants academics etc)?","",NA,"","","","","",NA,"","","","","IPD42","31187","","",""
