"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"1","advisory council unicameral-IPU-Number.of.seats","IPU","RCA","All",2018,"Advisory Council Unicameral","Advisory Council Unicameral","Number.of.seats",41,"60-IPU-Number.of.seats"
"2","advisory council unicameral-IPU-Number.of.women.parliamentarians","IPU","RCA","All",2018,"Advisory Council Unicameral","Advisory Council Unicameral","Number.of.women.parliamentarians",4,"137-IPU-Number.of.women.parliamentarians"
"3","advisory council unicameral-IPU-Percentage.of.women","IPU","RCA","All",2018,"Advisory Council Unicameral","Advisory Council Unicameral","Percentage.of.women",9.76,"214-IPU-Percentage.of.women"
"4","assembly of peoples representatives unicameral-IPU-Number.of.seats","IPU","TUN","All",2018,"Assembly of People's Representatives Unicameral","Assembly of People's Representatives Unicameral","Number.of.seats",217,"71-IPU-Number.of.seats"
"5","assembly of peoples representatives unicameral-IPU-Number.of.women.parliamentarians","IPU","TUN","All",2018,"Assembly of People's Representatives Unicameral","Assembly of People's Representatives Unicameral","Number.of.women.parliamentarians",68,"148-IPU-Number.of.women.parliamentarians"
"6","assembly of peoples representatives unicameral-IPU-Percentage.of.women","IPU","TUN","All",2018,"Assembly of People's Representatives Unicameral","Assembly of People's Representatives Unicameral","Percentage.of.women",31.34,"225-IPU-Percentage.of.women"
"7","assembly of the republic unicameral-IPU-Number.of.seats","IPU","MYT","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Number.of.seats",250,"53-IPU-Number.of.seats"
"8","assembly of the republic unicameral-IPU-Number.of.seats","IPU","RCA","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Number.of.seats",230,"53-IPU-Number.of.seats"
"9","assembly of the republic unicameral-IPU-Number.of.seats","IPU","SYR","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Number.of.seats",120,"53-IPU-Number.of.seats"
"10","assembly of the republic unicameral-IPU-Number.of.women.parliamentarians","IPU","MYT","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Number.of.women.parliamentarians",99,"130-IPU-Number.of.women.parliamentarians"
"11","assembly of the republic unicameral-IPU-Number.of.women.parliamentarians","IPU","RCA","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Number.of.women.parliamentarians",80,"130-IPU-Number.of.women.parliamentarians"
"12","assembly of the republic unicameral-IPU-Number.of.women.parliamentarians","IPU","SYR","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Number.of.women.parliamentarians",45,"130-IPU-Number.of.women.parliamentarians"
"13","assembly of the republic unicameral-IPU-Percentage.of.women","IPU","MYT","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Percentage.of.women",39.6,"207-IPU-Percentage.of.women"
"14","assembly of the republic unicameral-IPU-Percentage.of.women","IPU","RCA","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Percentage.of.women",34.78,"207-IPU-Percentage.of.women"
"15","assembly of the republic unicameral-IPU-Percentage.of.women","IPU","SYR","All",2018,"Assembly of the Republic Unicameral","Assembly of the Republic Unicameral","Percentage.of.women",37.5,"207-IPU-Percentage.of.women"
"16","assembly of the union unicameral-IPU-Number.of.seats","IPU","CXR","All",2018,"Assembly of the Union Unicameral","Assembly of the Union Unicameral","Number.of.seats",33,"24-IPU-Number.of.seats"
"17","assembly of the union unicameral-IPU-Number.of.women.parliamentarians","IPU","CXR","All",2018,"Assembly of the Union Unicameral","Assembly of the Union Unicameral","Number.of.women.parliamentarians",2,"101-IPU-Number.of.women.parliamentarians"
"18","assembly of the union unicameral-IPU-Percentage.of.women","IPU","CXR","All",2018,"Assembly of the Union Unicameral","Assembly of the Union Unicameral","Percentage.of.women",6.06,"178-IPU-Percentage.of.women"
