"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1"," expenditure from contingency reseres-PEFA-Total","PEFA"," expenditure from contingency reseres","Total","Expenditure from contingency reseres","116-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"2"," fiscal forecasts-PEFA-Total","PEFA"," fiscal forecasts","Total","Fiscal forecasts","151-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"3"," internal audit actiity and reporting-PEFA-Total","PEFA"," internal audit actiity and reporting","Total","Internal audit actiity and reporting","230-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"4"," legislatie procedures for budget scrutiny-PEFA-Total","PEFA"," legislatie procedures for budget scrutiny","Total","Legislatie procedures for budget scrutiny","168-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"5"," mediumterm expenditure estimates-PEFA-Total","PEFA"," mediumterm expenditure estimates","Total","Mediumterm expenditure estimates","158-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"6"," reenue accounts reconciliation-PEFA-Total","PEFA"," reenue accounts reconciliation","Total","Reenue accounts reconciliation","179-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"7"," reenue arrears monitoring-PEFA-Total","PEFA"," reenue arrears monitoring","Total","Reenue arrears monitoring","175-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"8"," timing of budget approal-PEFA-Total","PEFA"," timing of budget approal","Total","Timing of budget approal","169-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"9","accounting for reenues-PEFA-Total","PEFA","accounting for reenues","Total","Accounting for reenues","176-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"10","accounting standards used-PEFA-Total","PEFA","accounting standards used","Total","Accounting standards used","85-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.667,"Public Sector Management","Public Expenditure Management","Other","Accounting standards used (iii)","",NA,"","","","","",NA,"","","","","PEFA90","PEFA90","","",""
"11","accounting standards-PEFA-Total","PEFA","accounting standards","Total","Accounting standards","213-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"12","actual domestic revenue collection compared to domestic revenue in the originally approved budget-PEFA-Total","PEFA","actual domestic revenue collection compared to domestic revenue in the originally approved budget","Total","Actual domestic revenue collection compared to domestic revenue in the originally approved budget","7-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.082,"Public Sector Management","Public Expenditure Management","Other","Actual domestic revenue collection compared to domestic revenue in the originally approved budget","",NA,"","","","","",NA,"","","","","PEFA33","PEFA33","","",""
