"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","access to water access to an improved water source-SC-Total","24-SC-Total","5.51.01.09.water","Total","SC","Access to water access to an improved water source","Total","Total","Value",4.261,"Public Sector Management","Administrative and Policymaking capacity","Other","Access to water access to an improved water source","",NA,"","","","","",NA,"","","","","SC1","SC1","","",""
"2","agricultural census-SC-Total","4-SC-Total","3.01.04.01.agcen","Total","SC","Agricultural census","Total","Total","Value",4.348,"Public Sector Management","Administrative and Policymaking capacity","Other","Agricultural census","",NA,"","","","","",NA,"","","","","SC2","SC2","","",""
"3","balance of payments manual in use-SC-Total","3-SC-Total","2.04.01.01.excncpt","Total","SC","Balance of payments manual in use","Total","Total","Value",4.971,"Public Sector Management","Administrative and Policymaking capacity","Other","Balance of payments manual in use","",NA,"","","","","",NA,"","","","","SC3","SC3","","",""
"4","child immunization proportion of one-year-old children immunized against measles-SC-Total","19-SC-Total","5.51.01.04.immun","Total","SC","Child immunization proportion of one-year-old children immunized against measles ","Total","Total","Value",4.465,"Public Sector Management","Administrative and Policymaking capacity","Other","Child immunization proportion of one-year-old children immunized against measles ","",NA,"","","","","",NA,"","","","","SC4","SC4","","",""
"5","child malnutrition prevalence of underweight children under five-SC-Total","17-SC-Total","5.51.01.02.malnut","Total","SC","Child malnutrition prevalence of underweight children under five","Total","Total","Value",4.029,"Public Sector Management","Administrative and Policymaking capacity","Other","Child malnutrition prevalence of underweight children under five","",NA,"","","","","",NA,"","","","","SC5","SC5","","",""
"6","child mortality under five mortality rate-SC-Total","18-SC-Total","5.51.01.03.mortal","Total","SC","Child mortality under five mortality rate","Total","Total","Value",4.866,"Public Sector Management","Administrative and Policymaking capacity","Other","Child mortality under five mortality rate","",NA,"","","","","",NA,"","","","","SC6","SC6","","",""
"7","consumer price index base year-SC-Total","2-SC-Total","2.01.03.01.prcpbase","Total","SC","Consumer Price Index Base year","Total","Total","Value",4.349,"Public Sector Management","Administrative and Policymaking capacity","Other","Consumer Price Index Base year","",NA,"","","","","",NA,"","","","","SC7","SC7","","",""
"8","enrollment reporting to unesco-SC-Total","11-SC-Total","5.12.01.01.unesco","Total","SC","Enrollment reporting to UNESCO","Total","Total","Value",4.161,"Public Sector Management","Administrative and Policymaking capacity","Other","Enrollment reporting to UNESCO¥Ë_","",NA,"","","","","",NA,"","","","","SC8","SC8","","",""
"9","external debt reporting-SC-Total","9-SC-Total","5.04.01.01.exdebt","Total","SC","External debt reporting","Total","Total","Value",4.733,"Public Sector Management","Administrative and Policymaking capacity","Other","External debt reporting","",NA,"","","","","",NA,"","","","","SC9","SC9","","",""
"10","gdp growth-SC-Total","25-SC-Total","5.51.01.10.gdp","Total","SC","GDP growth ","GDP per capita growth","GDP per capita growth","%",4.187,"Public Sector Management","Administrative and Policymaking capacity","Other","GDP growth ","",NA,"","","","","",NA,"","","","","SC10","SC10","","",""
"11","gender equality in education gross enrollment rate of girls to boys in primary and secondary education-SC-Total","22-SC-Total","5.51.01.07.gender","Total","SC","Gender equality in education gross enrollment rate of girls to boys in primary and secondary education","Total","Total","%",4.541,"Public Sector Management","Administrative and Policymaking capacity","Other","Gender equality in education gross enrollment rate of girls to boys in primary and secondary education","",NA,"","","","","",NA,"","","","","SC11","SC11","","",""
"12","government finance accounting concept-SC-Total","5-SC-Total","3.02.01.02.fscov","Total","SC","Government Finance accounting concept","Total","Total","Value",4.867,"Public Sector Management","Administrative and Policymaking capacity","Other","Government Finance accounting concept","",NA,"","","","","",NA,"","","","","SC12","SC12","","",""
"13","health surveys-SC-Total","12-SC-Total","5.13.01.01.hlthsurv","Total","SC","Health surveys","Total","Total","Value",4.37,"Public Sector Management","Administrative and Policymaking capacity","Other","Health surveys","",NA,"","","","","",NA,"","","","","SC14","SC14","","",""
"14","hiv-aids prevalence of hiv total [% of population ages 15-49]-SC-Total","20-SC-Total","5.51.01.05.hiv","Total","SC","HIV-AIDS prevalence of HIV total [% of population ages 15-49]","Total","Total","%",5.005,"Public Sector Management","Administrative and Policymaking capacity","Other","HIV-AIDS prevalence of HIV total [% of population ages 15-49]","",NA,"","","","","",NA,"","","","","SC13","SC13","","",""
