"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","access to government information-SGI-Total","1-SGI-Total"," Access to Government Information","Total"," Access to Government Information","SGI","Total","Total","Value",4.39,"Citizen Engagement","Open Government and Transparency","Other","Access to Government Information","",NA,"","","","","",NA,"","","","","SGI1","SGI1","","",""
"2","access to information-SGI-Total","95-SGI-Total"," Access to Information","Total"," Access to Information","SGI","Total","Total","Value",4.454,"Citizen Engagement","Open Government and Transparency","Other","Access to Information","",NA,"","","","","",NA,"","","","","SGI2","SGI2","","",""
"3","adaptability-SGI-Total","106-SGI-Total"," Adaptability","Total"," Adaptability","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"4","appointment of justices-SGI-Total","117-SGI-Total"," Appointment of Justices","Total"," Appointment of Justices","SGI","Total","Total","Value",5.016,"Checks and Balances","Judiciary System","Other","Appointment of Justices","",NA,"","","","","",NA,"","","","","SGI4","SGI4","","",""
"5","association competence (business)-SGI-Total","128-SGI-Total"," Association Competence (Business)","Total"," Association Competence (Business)","SGI","Total","Total","Value",4.371,"Citizen Engagement","Civil Society Participation","Other","Association Competence Business","",NA,"","","","","",NA,"","","","","SGI5","SGI5","","",""
"6","association competence (others)-SGI-Total","139-SGI-Total"," Association Competence (Others)","Total"," Association Competence (Others)","SGI","Total","Total","Value",4.444,"Citizen Engagement","Civil Society Participation","Other","Association Competence Others","",NA,"","","","","",NA,"","","","","SGI6","SGI6","","",""
"7","audit office-SGI-Total","150-SGI-Total"," Audit Office","Total"," Audit Office","SGI","Total","Total","Value",3.03,"Checks and Balances","Oversight institutions","Other","Audit Office","",NA,"","","","","",NA,"","","","","SGI7","SGI7","","",""
"8","banks' nonperforming loans-SGI-Total","161-SGI-Total"," Banks' Nonperforming Loans","Total"," Banks' Nonperforming Loans","SGI","Total","Total","Value",4.855,"Public Sector Management","Public Expenditure Management","Other","Banks Nonperforming Loans","",NA,"","","","","",NA,"","","","","SGI8","SGI8","","",""
"9","biodiversity-SGI-Total","172-SGI-Total"," Biodiversity","Total"," Biodiversity","SGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"10","budget consolidation-SGI-Total","2-SGI-Total"," Budget Consolidation","Total"," Budget Consolidation","SGI","Total","Total","Value",4.622,"Public Sector Management","Public Expenditure Management","Other","Budget Consolidation","",NA,"","","","","",NA,"","","","","SGI10","SGI10","","",""
