"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"1","cpi score-TI-CPI","TI","DNK","All",2014,"CPI","CPI Score","CPI",92,"3-TI-CPI"
"2","cpi score-TI-CPI","TI","NZL","All",2014,"CPI","CPI Score","CPI",91,"3-TI-CPI"
"3","cpi score-TI-CPI","TI","FIN","All",2014,"CPI","CPI Score","CPI",89,"3-TI-CPI"
"4","cpi score-TI-CPI","TI","SWE","All",2014,"CPI","CPI Score","CPI",87,"3-TI-CPI"
"5","cpi score-TI-CPI","TI","NOR","All",2014,"CPI","CPI Score","CPI",86,"3-TI-CPI"
"6","cpi score-TI-CPI","TI","CHE","All",2014,"CPI","CPI Score","CPI",86,"3-TI-CPI"
"7","cpi score-TI-CPI","TI","SGP","All",2014,"CPI","CPI Score","CPI",84,"3-TI-CPI"
"8","cpi score-TI-CPI","TI","NLD","All",2014,"CPI","CPI Score","CPI",83,"3-TI-CPI"
"9","cpi score-TI-CPI","TI","LUX","All",2014,"CPI","CPI Score","CPI",82,"3-TI-CPI"
"10","cpi score-TI-CPI","TI","CAN","All",2014,"CPI","CPI Score","CPI",81,"3-TI-CPI"
"11","cpi score-TI-CPI","TI","AUS","All",2014,"CPI","CPI Score","CPI",80,"3-TI-CPI"
"12","cpi score-TI-CPI","TI","DEU","All",2014,"CPI","CPI Score","CPI",79,"3-TI-CPI"
"13","cpi score-TI-CPI","TI","ISL","All",2014,"CPI","CPI Score","CPI",79,"3-TI-CPI"
"14","cpi score-TI-CPI","TI","GBR","All",2014,"CPI","CPI Score","CPI",78,"3-TI-CPI"
"15","cpi score-TI-CPI","TI","BEL","All",2014,"CPI","CPI Score","CPI",76,"3-TI-CPI"
"16","cpi score-TI-CPI","TI","JPN","All",2014,"CPI","CPI Score","CPI",76,"3-TI-CPI"
"17","cpi score-TI-CPI","TI","BRB","All",2014,"CPI","CPI Score","CPI",74,"3-TI-CPI"
"18","cpi score-TI-CPI","TI","HKG","All",2014,"CPI","CPI Score","CPI",74,"3-TI-CPI"
"19","cpi score-TI-CPI","TI","IRL","All",2014,"CPI","CPI Score","CPI",74,"3-TI-CPI"
"20","cpi score-TI-CPI","TI","USA","All",2014,"CPI","CPI Score","CPI",74,"3-TI-CPI"
"21","cpi score-TI-CPI","TI","CHL","All",2014,"CPI","CPI Score","CPI",73,"3-TI-CPI"
"22","cpi score-TI-CPI","TI","URY","All",2014,"CPI","CPI Score","CPI",73,"3-TI-CPI"
"23","cpi score-TI-CPI","TI","AUT","All",2014,"CPI","CPI Score","CPI",72,"3-TI-CPI"
"24","cpi score-TI-CPI","TI","BHS","All",2014,"CPI","CPI Score","CPI",71,"3-TI-CPI"
"25","cpi score-TI-CPI","TI","ARE","All",2014,"CPI","CPI Score","CPI",70,"3-TI-CPI"
"26","cpi score-TI-CPI","TI","EST","All",2014,"CPI","CPI Score","CPI",69,"3-TI-CPI"
"27","cpi score-TI-CPI","TI","FRA","All",2014,"CPI","CPI Score","CPI",69,"3-TI-CPI"
"28","cpi score-TI-CPI","TI","QAT","All",2014,"CPI","CPI Score","CPI",69,"3-TI-CPI"
"29","cpi score-TI-CPI","TI","VCT","All",2014,"CPI","CPI Score","CPI",67,"3-TI-CPI"
"30","cpi score-TI-CPI","TI","BTN","All",2014,"CPI","CPI Score","CPI",65,"3-TI-CPI"
"31","cpi score-TI-CPI","TI","BWA","All",2014,"CPI","CPI Score","CPI",63,"3-TI-CPI"
"32","cpi score-TI-CPI","TI","CYP","All",2014,"CPI","CPI Score","CPI",63,"3-TI-CPI"
"33","cpi score-TI-CPI","TI","PRT","All",2014,"CPI","CPI Score","CPI",63,"3-TI-CPI"
"34","cpi score-TI-CPI","TI","PRI","All",2014,"CPI","CPI Score","CPI",63,"3-TI-CPI"
"35","cpi score-TI-CPI","TI","POL","All",2014,"CPI","CPI Score","CPI",61,"3-TI-CPI"
"36","cpi score-TI-CPI","TI","TWN","All",2014,"CPI","CPI Score","CPI",61,"3-TI-CPI"
"37","cpi score-TI-CPI","TI","ISR","All",2014,"CPI","CPI Score","CPI",60,"3-TI-CPI"
"38","cpi score-TI-CPI","TI","ESP","All",2014,"CPI","CPI Score","CPI",60,"3-TI-CPI"
"39","cpi score-TI-CPI","TI","DMA","All",2014,"CPI","CPI Score","CPI",58,"3-TI-CPI"
"40","cpi score-TI-CPI","TI","LTU","All",2014,"CPI","CPI Score","CPI",58,"3-TI-CPI"
"41","cpi score-TI-CPI","TI","SVN","All",2014,"CPI","CPI Score","CPI",58,"3-TI-CPI"
"42","cpi score-TI-CPI","TI","CPV","All",2014,"CPI","CPI Score","CPI",57,"3-TI-CPI"
"43","cpi score-TI-CPI","TI","LVA","All",2014,"CPI","CPI Score","CPI",55,"3-TI-CPI"
"44","cpi score-TI-CPI","TI","MLT","All",2014,"CPI","CPI Score","CPI",55,"3-TI-CPI"
"45","cpi score-TI-CPI","TI","SYC","All",2014,"CPI","CPI Score","CPI",55,"3-TI-CPI"
"46","cpi score-TI-CPI","TI","CRI","All",2014,"CPI","CPI Score","CPI",54,"3-TI-CPI"
"47","cpi score-TI-CPI","TI","HUN","All",2014,"CPI","CPI Score","CPI",54,"3-TI-CPI"
"48","cpi score-TI-CPI","TI","MUS","All",2014,"CPI","CPI Score","CPI",54,"3-TI-CPI"
"49","cpi score-TI-CPI","TI","GEO","All",2014,"CPI","CPI Score","CPI",52,"3-TI-CPI"
"50","cpi score-TI-CPI","TI","MYS","All",2014,"CPI","CPI Score","CPI",52,"3-TI-CPI"
"51","cpi score-TI-CPI","TI","WSM","All",2014,"CPI","CPI Score","CPI",52,"3-TI-CPI"
"52","cpi score-TI-CPI","TI","CZE","All",2014,"CPI","CPI Score","CPI",51,"3-TI-CPI"
"53","cpi score-TI-CPI","TI","SVK","All",2014,"CPI","CPI Score","CPI",50,"3-TI-CPI"
"54","cpi score-TI-CPI","TI","BHR","All",2014,"CPI","CPI Score","CPI",49,"3-TI-CPI"
"55","cpi score-TI-CPI","TI","JOR","All",2014,"CPI","CPI Score","CPI",49,"3-TI-CPI"
"56","cpi score-TI-CPI","TI","LSO","All",2014,"CPI","CPI Score","CPI",49,"3-TI-CPI"
"57","cpi score-TI-CPI","TI","NAM","All",2014,"CPI","CPI Score","CPI",49,"3-TI-CPI"
"58","cpi score-TI-CPI","TI","RWA","All",2014,"CPI","CPI Score","CPI",49,"3-TI-CPI"
"59","cpi score-TI-CPI","TI","SAU","All",2014,"CPI","CPI Score","CPI",49,"3-TI-CPI"
"60","cpi score-TI-CPI","TI","HRV","All",2014,"CPI","CPI Score","CPI",48,"3-TI-CPI"
"61","cpi score-TI-CPI","TI","GHA","All",2014,"CPI","CPI Score","CPI",48,"3-TI-CPI"
"62","cpi score-TI-CPI","TI","CUB","All",2014,"CPI","CPI Score","CPI",46,"3-TI-CPI"
"63","cpi score-TI-CPI","TI","OMN","All",2014,"CPI","CPI Score","CPI",45,"3-TI-CPI"
"64","cpi score-TI-CPI","TI","TUR","All",2014,"CPI","CPI Score","CPI",45,"3-TI-CPI"
"65","cpi score-TI-CPI","TI","KWT","All",2014,"CPI","CPI Score","CPI",44,"3-TI-CPI"
"66","cpi score-TI-CPI","TI","ZAF","All",2014,"CPI","CPI Score","CPI",44,"3-TI-CPI"
"67","cpi score-TI-CPI","TI","BRA","All",2014,"CPI","CPI Score","CPI",43,"3-TI-CPI"
"68","cpi score-TI-CPI","TI","BGR","All",2014,"CPI","CPI Score","CPI",43,"3-TI-CPI"
"69","cpi score-TI-CPI","TI","GRC","All",2014,"CPI","CPI Score","CPI",43,"3-TI-CPI"
"70","cpi score-TI-CPI","TI","ITA","All",2014,"CPI","CPI Score","CPI",43,"3-TI-CPI"
"71","cpi score-TI-CPI","TI","ROM","All",2014,"CPI","CPI Score","CPI",43,"3-TI-CPI"
"72","cpi score-TI-CPI","TI","SEN","All",2014,"CPI","CPI Score","CPI",43,"3-TI-CPI"
"73","cpi score-TI-CPI","TI","SWZ","All",2014,"CPI","CPI Score","CPI",43,"3-TI-CPI"
"74","cpi score-TI-CPI","TI","MNE","All",2014,"CPI","CPI Score","CPI",42,"3-TI-CPI"
"75","cpi score-TI-CPI","TI","STP","All",2014,"CPI","CPI Score","CPI",42,"3-TI-CPI"
"76","cpi score-TI-CPI","TI","SRB","All",2014,"CPI","CPI Score","CPI",41,"3-TI-CPI"
"77","cpi score-TI-CPI","TI","TUN","All",2014,"CPI","CPI Score","CPI",40,"3-TI-CPI"
"78","cpi score-TI-CPI","TI","BEN","All",2014,"CPI","CPI Score","CPI",39,"3-TI-CPI"
"79","cpi score-TI-CPI","TI","BIH","All",2014,"CPI","CPI Score","CPI",39,"3-TI-CPI"
"80","cpi score-TI-CPI","TI","SLV","All",2014,"CPI","CPI Score","CPI",39,"3-TI-CPI"
"81","cpi score-TI-CPI","TI","MNG","All",2014,"CPI","CPI Score","CPI",39,"3-TI-CPI"
"82","cpi score-TI-CPI","TI","MAR","All",2014,"CPI","CPI Score","CPI",39,"3-TI-CPI"
"83","cpi score-TI-CPI","TI","BFA","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"84","cpi score-TI-CPI","TI","IND","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"85","cpi score-TI-CPI","TI","JAM","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"86","cpi score-TI-CPI","TI","PER","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"87","cpi score-TI-CPI","TI","PHL","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"88","cpi score-TI-CPI","TI","LKA","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"89","cpi score-TI-CPI","TI","THA","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"90","cpi score-TI-CPI","TI","TTO","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"91","cpi score-TI-CPI","TI","ZMB","All",2014,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"92","cpi score-TI-CPI","TI","ARM","All",2014,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"93","cpi score-TI-CPI","TI","COL","All",2014,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"94","cpi score-TI-CPI","TI","EGY","All",2014,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"95","cpi score-TI-CPI","TI","GAB","All",2014,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"96","cpi score-TI-CPI","TI","LBR","All",2014,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"97","cpi score-TI-CPI","TI","PAN","All",2014,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"98","cpi score-TI-CPI","TI","DZA","All",2014,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"99","cpi score-TI-CPI","TI","CHN","All",2014,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"100","cpi score-TI-CPI","TI","SUR","All",2014,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"101","cpi score-TI-CPI","TI","BOL","All",2014,"CPI","CPI Score","CPI",35,"3-TI-CPI"
"102","cpi score-TI-CPI","TI","MEX","All",2014,"CPI","CPI Score","CPI",35,"3-TI-CPI"
"103","cpi score-TI-CPI","TI","MDA","All",2014,"CPI","CPI Score","CPI",35,"3-TI-CPI"
"104","cpi score-TI-CPI","TI","NER","All",2014,"CPI","CPI Score","CPI",35,"3-TI-CPI"
"105","cpi score-TI-CPI","TI","ARG","All",2014,"CPI","CPI Score","CPI",34,"3-TI-CPI"
"106","cpi score-TI-CPI","TI","DJI","All",2014,"CPI","CPI Score","CPI",34,"3-TI-CPI"
"107","cpi score-TI-CPI","TI","IDN","All",2014,"CPI","CPI Score","CPI",34,"3-TI-CPI"
"108","cpi score-TI-CPI","TI","ALB","All",2014,"CPI","CPI Score","CPI",33,"3-TI-CPI"
"109","cpi score-TI-CPI","TI","ECU","All",2014,"CPI","CPI Score","CPI",33,"3-TI-CPI"
"110","cpi score-TI-CPI","TI","ETH","All",2014,"CPI","CPI Score","CPI",33,"3-TI-CPI"
"111","cpi score-TI-CPI","TI","KSV","All",2014,"CPI","CPI Score","CPI",33,"3-TI-CPI"
"112","cpi score-TI-CPI","TI","MWI","All",2014,"CPI","CPI Score","CPI",33,"3-TI-CPI"
"113","cpi score-TI-CPI","TI","DOM","All",2014,"CPI","CPI Score","CPI",32,"3-TI-CPI"
"114","cpi score-TI-CPI","TI","GTM","All",2014,"CPI","CPI Score","CPI",32,"3-TI-CPI"
"115","cpi score-TI-CPI","TI","MLI","All",2014,"CPI","CPI Score","CPI",32,"3-TI-CPI"
"116","cpi score-TI-CPI","TI","BLR","All",2014,"CPI","CPI Score","CPI",31,"3-TI-CPI"
"117","cpi score-TI-CPI","TI","MOZ","All",2014,"CPI","CPI Score","CPI",31,"3-TI-CPI"
"118","cpi score-TI-CPI","TI","SLE","All",2014,"CPI","CPI Score","CPI",31,"3-TI-CPI"
"119","cpi score-TI-CPI","TI","TZA","All",2014,"CPI","CPI Score","CPI",31,"3-TI-CPI"
"120","cpi score-TI-CPI","TI","VNM","All",2014,"CPI","CPI Score","CPI",31,"3-TI-CPI"
"121","cpi score-TI-CPI","TI","GUY","All",2014,"CPI","CPI Score","CPI",30,"3-TI-CPI"
"122","cpi score-TI-CPI","TI","MRT","All",2014,"CPI","CPI Score","CPI",30,"3-TI-CPI"
"123","cpi score-TI-CPI","TI","AZE","All",2014,"CPI","CPI Score","CPI",29,"3-TI-CPI"
"124","cpi score-TI-CPI","TI","GMB","All",2014,"CPI","CPI Score","CPI",29,"3-TI-CPI"
"125","cpi score-TI-CPI","TI","HND","All",2014,"CPI","CPI Score","CPI",29,"3-TI-CPI"
"126","cpi score-TI-CPI","TI","KAZ","All",2014,"CPI","CPI Score","CPI",29,"3-TI-CPI"
"127","cpi score-TI-CPI","TI","NPL","All",2014,"CPI","CPI Score","CPI",29,"3-TI-CPI"
"128","cpi score-TI-CPI","TI","PAK","All",2014,"CPI","CPI Score","CPI",29,"3-TI-CPI"
"129","cpi score-TI-CPI","TI","TGO","All",2014,"CPI","CPI Score","CPI",29,"3-TI-CPI"
"130","cpi score-TI-CPI","TI","MDG","All",2014,"CPI","CPI Score","CPI",28,"3-TI-CPI"
"131","cpi score-TI-CPI","TI","NIC","All",2014,"CPI","CPI Score","CPI",28,"3-TI-CPI"
"132","cpi score-TI-CPI","TI","TMP","All",2014,"CPI","CPI Score","CPI",28,"3-TI-CPI"
"133","cpi score-TI-CPI","TI","CMR","All",2014,"CPI","CPI Score","CPI",27,"3-TI-CPI"
"134","cpi score-TI-CPI","TI","IRN","All",2014,"CPI","CPI Score","CPI",27,"3-TI-CPI"
"135","cpi score-TI-CPI","TI","KGZ","All",2014,"CPI","CPI Score","CPI",27,"3-TI-CPI"
"136","cpi score-TI-CPI","TI","LBN","All",2014,"CPI","CPI Score","CPI",27,"3-TI-CPI"
"137","cpi score-TI-CPI","TI","NGA","All",2014,"CPI","CPI Score","CPI",27,"3-TI-CPI"
"138","cpi score-TI-CPI","TI","RUS","All",2014,"CPI","CPI Score","CPI",27,"3-TI-CPI"
"139","cpi score-TI-CPI","TI","COM","All",2014,"CPI","CPI Score","CPI",26,"3-TI-CPI"
"140","cpi score-TI-CPI","TI","UGA","All",2014,"CPI","CPI Score","CPI",26,"3-TI-CPI"
"141","cpi score-TI-CPI","TI","UKR","All",2014,"CPI","CPI Score","CPI",26,"3-TI-CPI"
"142","cpi score-TI-CPI","TI","BGD","All",2014,"CPI","CPI Score","CPI",25,"3-TI-CPI"
"143","cpi score-TI-CPI","TI","GIN","All",2014,"CPI","CPI Score","CPI",25,"3-TI-CPI"
"144","cpi score-TI-CPI","TI","KEN","All",2014,"CPI","CPI Score","CPI",25,"3-TI-CPI"
"145","cpi score-TI-CPI","TI","LAO","All",2014,"CPI","CPI Score","CPI",25,"3-TI-CPI"
"146","cpi score-TI-CPI","TI","PNG","All",2014,"CPI","CPI Score","CPI",25,"3-TI-CPI"
"147","cpi score-TI-CPI","TI","CAF","All",2014,"CPI","CPI Score","CPI",24,"3-TI-CPI"
"148","cpi score-TI-CPI","TI","PRY","All",2014,"CPI","CPI Score","CPI",24,"3-TI-CPI"
"149","cpi score-TI-CPI","TI","TJK","All",2014,"CPI","CPI Score","CPI",23,"3-TI-CPI"
"150","cpi score-TI-CPI","TI","TCD","All",2014,"CPI","CPI Score","CPI",22,"3-TI-CPI"
"151","cpi score-TI-CPI","TI","ZAR","All",2014,"CPI","CPI Score","CPI",22,"3-TI-CPI"
"152","cpi score-TI-CPI","TI","KHM","All",2014,"CPI","CPI Score","CPI",21,"3-TI-CPI"
"153","cpi score-TI-CPI","TI","MMR","All",2014,"CPI","CPI Score","CPI",21,"3-TI-CPI"
"154","cpi score-TI-CPI","TI","ZWE","All",2014,"CPI","CPI Score","CPI",21,"3-TI-CPI"
"155","cpi score-TI-CPI","TI","BDI","All",2014,"CPI","CPI Score","CPI",20,"3-TI-CPI"
"156","cpi score-TI-CPI","TI","SYR","All",2014,"CPI","CPI Score","CPI",20,"3-TI-CPI"
"157","cpi score-TI-CPI","TI","AGO","All",2014,"CPI","CPI Score","CPI",19,"3-TI-CPI"
"158","cpi score-TI-CPI","TI","GNB","All",2014,"CPI","CPI Score","CPI",19,"3-TI-CPI"
"159","cpi score-TI-CPI","TI","HTI","All",2014,"CPI","CPI Score","CPI",19,"3-TI-CPI"
"160","cpi score-TI-CPI","TI","VEN","All",2014,"CPI","CPI Score","CPI",19,"3-TI-CPI"
"161","cpi score-TI-CPI","TI","YEM","All",2014,"CPI","CPI Score","CPI",19,"3-TI-CPI"
"162","cpi score-TI-CPI","TI","ERI","All",2014,"CPI","CPI Score","CPI",18,"3-TI-CPI"
"163","cpi score-TI-CPI","TI","LBY","All",2014,"CPI","CPI Score","CPI",18,"3-TI-CPI"
"164","cpi score-TI-CPI","TI","UZB","All",2014,"CPI","CPI Score","CPI",18,"3-TI-CPI"
"165","cpi score-TI-CPI","TI","TKM","All",2014,"CPI","CPI Score","CPI",17,"3-TI-CPI"
"166","cpi score-TI-CPI","TI","IRQ","All",2014,"CPI","CPI Score","CPI",16,"3-TI-CPI"
"167","cpi score-TI-CPI","TI","SSD","All",2014,"CPI","CPI Score","CPI",15,"3-TI-CPI"
"168","cpi score-TI-CPI","TI","AFG","All",2014,"CPI","CPI Score","CPI",12,"3-TI-CPI"
"169","cpi score-TI-CPI","TI","SDN","All",2014,"CPI","CPI Score","CPI",11,"3-TI-CPI"
"170","cpi score-TI-CPI","TI","SOM","All",2014,"CPI","CPI Score","CPI",8,"3-TI-CPI"
"171","cpi score-TI-CPI","TI","STP","All",2013,"CPI","CPI Score","CPI",42,"3-TI-CPI"
"172","cpi score-TI-CPI","TI","SRB","All",2013,"CPI","CPI Score","CPI",42,"3-TI-CPI"
"173","cpi score-TI-CPI","TI","ZAF","All",2013,"CPI","CPI Score","CPI",42,"3-TI-CPI"
"174","cpi score-TI-CPI","TI","BGR","All",2013,"CPI","CPI Score","CPI",41,"3-TI-CPI"
"175","cpi score-TI-CPI","TI","SEN","All",2013,"CPI","CPI Score","CPI",41,"3-TI-CPI"
"176","cpi score-TI-CPI","TI","TUN","All",2013,"CPI","CPI Score","CPI",41,"3-TI-CPI"
"177","cpi score-TI-CPI","TI","CHN","All",2013,"CPI","CPI Score","CPI",40,"3-TI-CPI"
"178","cpi score-TI-CPI","TI","GRC","All",2013,"CPI","CPI Score","CPI",40,"3-TI-CPI"
"179","cpi score-TI-CPI","TI","SWZ","All",2013,"CPI","CPI Score","CPI",39,"3-TI-CPI"
"180","cpi score-TI-CPI","TI","BFA","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"181","cpi score-TI-CPI","TI","SLV","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"182","cpi score-TI-CPI","TI","JAM","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"183","cpi score-TI-CPI","TI","LBR","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"184","cpi score-TI-CPI","TI","MNG","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"185","cpi score-TI-CPI","TI","PER","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"186","cpi score-TI-CPI","TI","TTO","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"187","cpi score-TI-CPI","TI","ZMB","All",2013,"CPI","CPI Score","CPI",38,"3-TI-CPI"
"188","cpi score-TI-CPI","TI","MWI","All",2013,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"189","cpi score-TI-CPI","TI","MAR","All",2013,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"190","cpi score-TI-CPI","TI","LKA","All",2013,"CPI","CPI Score","CPI",37,"3-TI-CPI"
"191","cpi score-TI-CPI","TI","DZA","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"192","cpi score-TI-CPI","TI","ARM","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"193","cpi score-TI-CPI","TI","BEN","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"194","cpi score-TI-CPI","TI","COL","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"195","cpi score-TI-CPI","TI","DJI","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"196","cpi score-TI-CPI","TI","IND","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"197","cpi score-TI-CPI","TI","PHL","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"198","cpi score-TI-CPI","TI","SUR","All",2013,"CPI","CPI Score","CPI",36,"3-TI-CPI"
"199","cpi score-TI-CPI","TI","ECU","All",2013,"CPI","CPI Score","CPI",35,"3-TI-CPI"
"200","cpi score-TI-CPI","TI","MDA","All",2013,"CPI","CPI Score","CPI",35,"3-TI-CPI"
"201","cpi score-TI-CPI","TI","PAN","All",2013,"CPI","CPI Score","CPI",35,"3-TI-CPI"
"202","cpi score-TI-CPI","TI","DNK","All",2012,"CPI","CPI Score","CPI",90,"3-TI-CPI"
"203","cpi score-TI-CPI","TI","FIN","All",2012,"CPI","CPI Score","CPI",90,"3-TI-CPI"
"204","cpi score-TI-CPI","TI","NZL","All",2012,"CPI","CPI Score","CPI",90,"3-TI-CPI"
"205","cpi score-TI-CPI","TI","SWE","All",2012,"CPI","CPI Score","CPI",88,"3-TI-CPI"
"206","cpi score-TI-CPI","TI","SGP","All",2012,"CPI","CPI Score","CPI",87,"3-TI-CPI"
"207","cpi score-TI-CPI","TI","CHE","All",2012,"CPI","CPI Score","CPI",86,"3-TI-CPI"
"208","cpi score-TI-CPI","TI","AUS","All",2012,"CPI","CPI Score","CPI",85,"3-TI-CPI"
"209","cpi score-TI-CPI","TI","NOR","All",2012,"CPI","CPI Score","CPI",85,"3-TI-CPI"
"210","cpi score-TI-CPI","TI","CAN","All",2012,"CPI","CPI Score","CPI",84,"3-TI-CPI"
"211","cpi score-TI-CPI","TI","NLD","All",2012,"CPI","CPI Score","CPI",84,"3-TI-CPI"
"212","cpi score-TI-CPI","TI","ISL","All",2012,"CPI","CPI Score","CPI",82,"3-TI-CPI"
"213","cpi score-TI-CPI","TI","LUX","All",2012,"CPI","CPI Score","CPI",80,"3-TI-CPI"
"214","cpi score-TI-CPI","TI","DEU","All",2012,"CPI","CPI Score","CPI",79,"3-TI-CPI"
"215","cpi score-TI-CPI","TI","HKG","All",2012,"CPI","CPI Score","CPI",77,"3-TI-CPI"
"216","cpi score-TI-CPI","TI","BRB","All",2012,"CPI","CPI Score","CPI",76,"3-TI-CPI"
"217","cpi score-TI-CPI","TI","BEL","All",2012,"CPI","CPI Score","CPI",75,"3-TI-CPI"
"218","cpi score-TI-CPI","TI","JPN","All",2012,"CPI","CPI Score","CPI",74,"3-TI-CPI"
"219","cpi score-TI-CPI","TI","GBR","All",2012,"CPI","CPI Score","CPI",74,"3-TI-CPI"
"220","cpi score-TI-CPI","TI","DNK","All",2013,"CPI","CPI Score","CPI",91,"3-TI-CPI"
"221","cpi score-TI-CPI","TI","NZL","All",2013,"CPI","CPI Score","CPI",91,"3-TI-CPI"
"222","cpi score-TI-CPI","TI","FIN","All",2013,"CPI","CPI Score","CPI",89,"3-TI-CPI"
"223","cpi score-TI-CPI","TI","SWE","All",2013,"CPI","CPI Score","CPI",89,"3-TI-CPI"
"224","cpi score-TI-CPI","TI","NOR","All",2013,"CPI","CPI Score","CPI",86,"3-TI-CPI"
"225","cpi score-TI-CPI","TI","SGP","All",2013,"CPI","CPI Score","CPI",86,"3-TI-CPI"
"226","cpi score-TI-CPI","TI","CHE","All",2013,"CPI","CPI Score","CPI",85,"3-TI-CPI"
"227","cpi score-TI-CPI","TI","NLD","All",2013,"CPI","CPI Score","CPI",83,"3-TI-CPI"
"228","cpi score-TI-CPI","TI","AUS","All",2013,"CPI","CPI Score","CPI",81,"3-TI-CPI"
"229","cpi score-TI-CPI","TI","CAN","All",2013,"CPI","CPI Score","CPI",81,"3-TI-CPI"
