"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","are employers required to provide break time for nursing mothers?-WBL-1 Yes 0 No","54-WBL-Total","Are employers required to provide break time for nursing mothers?","Total","Are employers required to provide break time for nursing mothers?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"2","are married women required by law to obey their husbands?-WBL-1 Yes 0 No","115-WBL-Total","Are married women required by law to obey their husbands?","Total","Are married women required by law to obey their husbands?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"3","are mothers guaranteed an equivalent position after maternity leave?-WBL-1 Yes 0 No","94-WBL-Total","Are mothers guaranteed an equivalent position after maternity leave?","Total","Are mothers guaranteed an equivalent position after maternity leave?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"4","are payments for childcare tax deductible?-WBL-1 Yes 0 No","89-WBL-Total","Are payments for childcare tax deductible?","Total","Are payments for childcare tax deductible?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"5","are there any exceptions to the legal age of marriage?-WBL-1 Yes 0 No","11-WBL-Total","Are there any exceptions to the legal age of marriage?","Total","Are there any exceptions to the legal age of marriage?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"6","are there civil remedies for sexual harassment in employment?-WBL-1 Yes 0 No","17-WBL-Total","Are there civil remedies for sexual harassment in employment?","Total","Are there civil remedies for sexual harassment in employment?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"7","are there clear criminal penalties for domestic violence?-WBL-1 Yes 0 No","29-WBL-Total","Are there clear criminal penalties for domestic violence?","Total","Are there clear criminal penalties for domestic violence?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"8","are there criminal penalties for sexual harassment in employment?-WBL-1 Yes 0 No","16-WBL-Total","Are there criminal penalties for sexual harassment in employment?","Total","Are there criminal penalties for sexual harassment in employment?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"9","are there dedicated and specialized family courts?-WBL-1 Yes 0 No","96-WBL-Total","Are there dedicated and specialized family courts?","Total","Are there dedicated and specialized family courts?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"10","are there incentives eg financial for political parties to include women on candidate lists for municipal council elections?-WBL-1 Yes 0 No","139-WBL-Total","Are there incentives (e.g. financial) for political parties to include women on candidate lists for municipal council elections? ","Total","Are there incentives eg financial for political parties to include women on candidate lists for municipal council elections?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"11","are there incentives eg financial for political parties to include women on candidate lists for national parliament elections?-WBL-1 Yes 0 No","140-WBL-Total","Are there incentives (e.g. financial) for political parties to include women on candidate lists for national parliament elections? ","Total","Are there incentives eg financial for political parties to include women on candidate lists for national parliament elections?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"12","are there incentives eg financial to include women on corporate boards?-WBL-1 Yes 0 No","141-WBL-Total","Are there incentives (e.g. financial) to include women on corporate boards?","Total","Are there incentives eg financial to include women on corporate boards?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"13","are there penalties in the law for authorizing or knowingly entering into child or early marriage?-WBL-1 Yes 0 No","5-WBL-Total","Are there penalties in the law for authorizing or knowingly entering into child or early marriage? ","Total","Are there penalties in the law for authorizing or knowingly entering into child or early marriage?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"14","are there sanctions for noncompliance with mandated quotas for women on candidate lists for municipal council elections?-WBL-1 Yes 0 No","142-WBL-Total","Are there sanctions for noncompliance with mandated quotas for women on candidate lists for municipal council elections?","Total","Are there sanctions for noncompliance with mandated quotas for women on candidate lists for municipal council elections?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"15","are there sanctions for noncompliance with mandated quotas for women on candidate lists for national parliament elections?-WBL-1 Yes 0 No","143-WBL-Total","Are there sanctions for noncompliance with mandated quotas for women on candidate lists for national parliament elections? ","Total","Are there sanctions for noncompliance with mandated quotas for women on candidate lists for national parliament elections?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"16","are there sanctions for noncompliance with mandated quotas for women on corporate boards?-WBL-1 Yes 0 No","144-WBL-Total","Are there sanctions for noncompliance with mandated quotas for women on corporate boards?","Total","Are there sanctions for noncompliance with mandated quotas for women on corporate boards?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"17","are there special provisions for major transactions concerning the marital home?-WBL-1 Yes 0 No","112-WBL-Total","Are there special provisions for major transactions concerning the marital home?","Total","Are there special provisions for major transactions concerning the marital home?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"18","are there specific tax deductions or tax credits that are only applicable to men?-WBL-1 Yes 0 No","91-WBL-Total","Are there specific tax deductions or tax credits that are only applicable to men?","Total","Are there specific tax deductions or tax credits that are only applicable to men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"19","are there tax deductions or tax credits specific to women?-WBL-1 Yes 0 No","90-WBL-Total","Are there tax deductions or tax credits specific to women?","Total","Are there tax deductions or tax credits specific to women?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"20","can a married woman apply for a passport in the same way as a married man?-WBL-1 Yes 0 No","137-WBL-Total","Can a married woman apply for a passport in the same way as a married man?","Total","Can a married woman apply for a passport in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"21","can a married woman be head of household or head of family in the same way as a married man?-WBL-1 Yes 0 No","117-WBL-Total","Can a married woman be -head of household- or -head of family- in the same way as a married man?","Total","Can a married woman be head of household or head of family in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"22","can a married woman choose where to live in the same way as a married man?-WBL-1 Yes 0 No","121-WBL-Total","Can a married woman choose where to live in the same way as a married man?","Total","Can a married woman choose where to live in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"23","can a married woman confer citizenship to a nonnational spouse in the same way as a man?-WBL-1 Yes 0 No","116-WBL-Total","Can a married woman confer citizenship to a non-national spouse in the same way as a man?","Total","Can a married woman confer citizenship to a nonnational spouse in the same way as a man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"24","can a married woman confer citizenship to her children in the same way as a married man?-WBL-1 Yes 0 No","119-WBL-Total","Can a married woman confer citizenship to her children in the same way as a married man?","Total","Can a married woman confer citizenship to her children in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
