"","Indicator","Indicator_Id","Indicator_Name","Display_Name","Dataset","answer","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","administrative proceedings are conducted without unreasonable delay-WJP-Total","19-WJP-Total","6.3","Administrative proceedings are conducted without unreasonable delay","WJP","Total","Total","Total","Value",3.02,"Public Sector Management","Enforcement","Other","Administrative proceedings are conducted without unreasonable delay (63)","",NA,"","","","","",NA,"","","","","WJP45","WJP45","","",""
"2","adr is accessible impartial and effective-WJP-Total","77-WJP-Total","7.7","ADR is accessible impartial and effective","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"3","adrs are accessible impartial and effective-WJP-Total","9-WJP-Total","7.7","ADRs are accessible impartial and effective","WJP","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"4","alternative dispute resolution mechanisms are accessible impartial and effective-WJP-Total","71-WJP-Total","7.7","Alternative dispute resolution mechanisms are accessible impartial and effective","WJP","Total","Total","Total","Value",4.197,"Checks and Balances","Judiciary System","Other","Alternative Dispute Resolution (ADR)s are accessible impartial and effective (77)","",NA,"","","","","",NA,"","","","","WJP57","WJP57","","",""
"5","alternative dispute resolution mechanisms are accessible impartial and effective-WJP-Total","71-WJP-Total","7.7","Alternative dispute resolution mechanisms are accessible impartial and effective","WJP","Total","Total","Total","Value",5.004,"Checks and Balances","Judiciary System","Other","Alternative Dispute Resolution (ADR) mechanisms are accessible impartial and effective (77)","",NA,"","","","","",NA,"","","","","WJP58","WJP58","","",""
"6","civic participation-WJP-Total","63-WJP-Total","3.3","Civic participation","WJP","Total","Total","Total","Value",4.018,"Security","Crime","Other","Civic participation (33)","",NA,"","","","","",NA,"","","","","WJP23","WJP23","","",""
"7","civil conflict is effectively limited-WJP-Total","38-WJP-Total","3.2","Civil conflict is effectively limited","WJP","Total","Total","Total","Value",4.032,"Security","Violent conflict","Other","Civil conflict is effectively limited (52)","",NA,"","","","","",NA,"","","","","WJP38","WJP38","","",""
"8","civil conflict is effectively limited-WJP-Total","38-WJP-Total","3.2","Civil conflict is effectively limited","WJP","Total","Total","Total","Value",4.079,"Security","Crime","Other","Civil conflict is effectively limited (32)","",NA,"","","","","",NA,"","","","","WJP20","WJP20","","",""
"9","civil conflict is effectively limited-WJP-Total","67-WJP-Total","5.2","Civil conflict is effectively limited","WJP","Total","Total","Total","Value",4.032,"Security","Violent conflict","Other","Civil conflict is effectively limited (52)","",NA,"","","","","",NA,"","","","","WJP38","WJP38","","",""
"10","civil conflict is effectively limited-WJP-Total","67-WJP-Total","5.2","Civil conflict is effectively limited","WJP","Total","Total","Total","Value",4.079,"Security","Crime","Other","Civil conflict is effectively limited (32)","",NA,"","","","","",NA,"","","","","WJP20","WJP20","","",""
"11","civil justice is effectively enforced-WJP-Total","10-WJP-Total","7.6","Civil justice is effectively enforced","WJP","Total","Total","Total","Value",4.266,"Checks and Balances","Judiciary System","Other","Civil justice is effectively enforced (76)","",NA,"","","","","",NA,"","","","","WJP55","WJP55","","",""
"12","civil justice is free of corruption-WJP-Total","13-WJP-Total","7.3","Civil justice is free of corruption","WJP","Total","Total","Total","Value",4.698,"Checks and Balances","Judiciary System","Other","Civil justice is free of corruption (73)","",NA,"","","","","",NA,"","","","","WJP51","WJP51","","",""
"13","civil justice is free of discrimination-WJP-Total","14-WJP-Total","7.2","Civil justice is free of discrimination","WJP","Total","Total","Total","Value",4.172,"Checks and Balances","Judiciary System","Other","Civil justice is free of discrimination (72)","",NA,"","","","","",NA,"","","","","WJP50","WJP50","","",""
"14","civil justice is free of improper government influence-WJP-Total","12-WJP-Total","7.4","Civil justice is free of improper government influence","WJP","Total","Total","Total","Value",2.03,"Checks and Balances","Judiciary System","Other","Civil justice is free of improper government influence (74)","",NA,"","","","","",NA,"","","","","WJP52","WJP52","","",""
"15","civil justice is not subject to unreasonable delay-WJP-Total","70-WJP-Total","7.5","Civil justice is not subject to unreasonable delay","WJP","Total","Total","Total","Value",4.649,"Checks and Balances","Judiciary System","Other","Civil justice is not subject to unreasonable delay (75)","",NA,"","","","","",NA,"","","","","WJP53","WJP53","","",""
"16","civil justice is not subject to unreasonable delays-WJP-Total","11-WJP-Total","7.5","Civil justice is not subject to unreasonable delays","WJP","Total","Total","Total","Value",5.181,"Checks and Balances","Judiciary System","Other","Civil justice is not subject to unreasonable delays (75)","",NA,"","","","","",NA,"","","","","WJP54","WJP54","","",""
"17","complaint mechanisms-WJP-Total","64-WJP-Total","3.4","Complaint mechanisms","WJP","Total","Total","Total","Value",4.728,"Checks and Balances","Oversight institutions","Other","Complaint mechanisms (34)","",NA,"","","","","",NA,"","","","","WJP26","WJP26","","",""
"18","correctional system is effective in reducing criminal behavior-WJP-Total","5-WJP-Total","8.3","Correctional system is effective in reducing criminal behavior","WJP","Total","Total","Total","Value",3.04,"Checks and Balances","Judiciary System","Other","Correctional system is effective in reducing criminal behavior (83)","",NA,"","","","","",NA,"","","","","WJP61","WJP61","","",""
