"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1","Anticorruption policy-BTI-Total","12-BTI-Total","Q15.3 ","Total","Anticorruption policy","BTI",NA,"Score","Score","Index",1.02,"Absence of Corruption","Prevention and sanction","Other","Anti-corruption policy¥Ë_",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI1","BTI1","GOV","12-BTI-Total",NA
"2","Antidemocratic actors-BTI-Total","9-BTI-Total","Q16.2 ","Total","Antidemocratic actors","BTI",NA,"Score","Score","Index",3.02,"Security","Police and Military","Other","Anti-democratic actors",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI2","BTI2","GOV","9-BTI-Total",NA
"3","Approval of democracy-BTI-Total","50-BTI-Total","Q5.3 ","Total","Approval of democracy","BTI",NA,"Score","Score","Index",1.01,"Trust","Trust in Government","Other","Approval of democracy",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI5","BTI5","GOV","50-BTI-Total",NA
"4","Association assembly rights-BTI-Total","63-BTI-Total","Q2.3 ","Total","Association assembly rights","BTI",NA,"Score","Score","Index",4.037,"Citizen Engagement","Civil Society Participation","Other","Association assembly rights",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI6","BTI6","GOV","63-BTI-Total",NA
"5","Basic administration-BTI-Total","67-BTI-Total","Q1.4 ","Total","Basic administration","BTI",NA,"Score","Score","Index",3.04,"Public Sector Management","Administrative and Policymaking capacity","Other","Basic administration",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI9","BTI9","GOV","67-BTI-Total",NA
"6","Civil rights-BTI-Total","57-BTI-Total","Q3.4 ","Total","Civil rights","BTI",NA,"Score","Score","Index",4.238,"Citizen Engagement","Civil Rights","Other","Civil rights",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI11","BTI11","GOV","57-BTI-Total",NA
"7","Civil society participation-BTI-Total","7-BTI-Total","Q16.4 ","Total","Civil society participation","BTI",NA,"Score","Score","Index",3.07,"Citizen Engagement","Civil Society Participation","Other","Civil society participation",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI12","BTI12","GOV","7-BTI-Total",NA
"8","Civil society traditions-BTI-Total","25-BTI-Total","Q13.2 ","Total","Civil society traditions","BTI",NA,"Score","Score","Index",4.392,"Citizen Engagement","Civil Society Participation","Other","Civil society traditions",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI13","BTI13","GOV","25-BTI-Total",NA
"9","Cleavage conflict management-BTI-Total","8-BTI-Total","Q16.3 ","Total","Cleavage conflict management","BTI",NA,"Score","Score","Index",4.49,"Public Sector Management","Administrative and Policymaking capacity","Other","Cleavage conflict management","2.02","Security","Violent conflict","Other","Cleavage conflict management",NA,NA,NA,NA,NA,NA,"BTI14","BTI14","GOV","8-BTI-Total",NA
"10","Commitment to democratic institutions-BTI-Total","54-BTI-Total","Q4.2 ","Total","Commitment to democratic institutions","BTI",NA,"Score","Score","Index",3.05,"General Governance","Overall Governance","Other","Commitment to democratic institutions",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI15","BTI15","GOV","54-BTI-Total",NA
"11","Conflict intensity-BTI-Total","24-BTI-Total","Q13.3 ","Total","Conflict intensity","BTI",NA,"Score","Score","Index",3.03,"Security","Violent conflict","Other","Conflict intensity",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI16","BTI16","GOV","24-BTI-Total",NA
"12","Consensus on goals-BTI-Total","10-BTI-Total","Q16.1 ","Total","Consensus on goals","BTI",NA,"Score","Score","Index",4.522,"Public Sector Management","Administrative and Policymaking capacity","Other","Consensus on goals",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI17","BTI17","GOV","10-BTI-Total",NA
"13","Education policy R&D-BTI-Total","28-BTI-Total","Q12.2 ","Total","Education policy R&D","BTI",NA,"Score","Score","Index",4.676,"Public Sector Management","Administrative and Policymaking capacity","Other","Education policy R&D",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI30","BTI30","GOV","28-BTI-Total",NA
