slug,title,source_name,source_link,legal_text,legal_link,description,methodology,terms_of_use,source_360
AFRO,AfroBarometer,AfroBarometer,http://www.afrobarometer.org/data/merged-data,AfroBarometer,http://www.afrobarometer.org/data/data-use-policy,"Afrobarometer is a pan-African, non-partisan research network that conducts public attitude surveys on democracy, governance, economic conditions, and related issues across more than 30 countries in Africa and are repeated on a regular cycle. It measures public attitudes on economic, political, and social matters in Africa.

It is carried out through a partnership of the Ghana Center for Democratic Development (CDD Ghana), Institute for Justice and Reconciliation (IJR) in South Africa, Institute for Empirical Research in Political Economy (IREEP) of the African School of Economics at Abomey Calavi in Benin, Institute for Development Studies (IDS) at the University of Nairobi, the Institute for Democracy, Citizenship and Public Policy in Africa at the University of Cape Town and the Department of Political Science at Michigan State University. Afrobarometer surveys are conducted in more than 30 African countries and are repeated on a regular cycle.",Afrobarometer surveys are conducted in more than 30 African countries and are repeated on a regular cycle.,"For more details about the use of this data, please consult the source. (http://www.afrobarometer.org/data/data-use-policy) ",gv
ARAB,ArabBarometer,ArabBarometer,http://www.arabbarometer.org/instruments-and-data-files,ArabBarometer,http://www.arabbarometer.org/instruments-and-data-files,,,,gv
BEEPS,Business Environment & Enterprise Performance Surveys,EBRD-World Bank Business Environment and Enterprise Performance Survey,http://ebrd-beeps.com/data/,World Bank Group and European Bank for Reconstruction and Development (EBRD),http://ebrd-beeps.com/about/conditions-for-use/,"The Business Environment and Enterprise Performance Survey (BEEPS) is a joint initiative of the European Bank for Reconstruction and Development (EBRD) and the World Bank Group (the World Bank). 

It covers a broad range of business environment topics including access to ?nance, corruption, infrastructure, crime, competition, and performance measures. Its ?ndings can be used to help policy makers better understand how the businesses experience the business environment and identify, prioritize and implement reforms of policies and institutions that support ef?cient private economic activity.","Firm-level survey of a representative sample of an economy’s private sector whose objective is to gain an understanding of ?rms’ perception of the environment in which they operate.

For more details about the methodology, please visit http://ebrd-beeps.com/methodology/ ","For more details about the use of this data, please consult the source. (http://ebrd-beeps.com/terms-and-conditions/)",gv
BTI,Bertelsmann Transformation Index,Bertelsmann Transformation Index,https://www.bti-project.org/,Bertelsmann Stiftung,https://creativecommons.org/licenses/by/4.0/,"The BTI results from an international analytical collaboration of almost 300 experts in top academic institutions around the world and local reporters in most countries. They all share the goal to detect strengths and weaknesses by comparison and to ?nd good examples for successful political steering. 

The regional coordinators contribute to the measurement and review process and the analysis of the BTI results in a major fashion. In consultation with the BTI-team, they select their region’s country experts, guide, comment and coordinate the preparation of the country reports, calibrate the indicator scores for their respective region and have a most important role in conducting the interregional calibration of the BTI-results. They are also the authors of the regional reports, which form an essential part of each BTI-publication.","Guided by a standardized codebook, country experts assess the extent to which a total of 17 criteria have been met for each of the 129 countries. These experts ground the scores they provide in assessments that comprise the country reports, all of which are available online. A second country expert then reviews these assessments and scores. In a final step, consistency is assured by subjecting each of the 49 individual scores given per country to regional and interregional calibration processes. Standardizing the analytical process in this way makes targeted comparisons of reform policies possible.

For more details about the methodology, please visit https://www.bti-project.org/en/about/project/methodology/","For use guidelines, please consult Bertelsmann Stiftung (https://creativecommons.org/licenses/by/4.0/)",gv
CDG,Commitment to Development Index,Commitment to Development Index,http://www.cgdev.org/topics/technology,Center for Global Development,https://www.cgdev.org/page/research-data-and-code-disclosure,"The Center for Global Development (CDG) works to reduce global poverty and inequality through rigorous research and active engagement with the policy community to make the world a more prosperous, just, and safe place for all of us.

The policies and practices of the rich and the powerful—in rich nations, as well as in the emerging powers, international institutions, and global corporations—have significant impacts on the world's poor people. The CDG aim to improve these policies and practices through research and policy engagement to expand opportunities, reduce inequalities, and improve lives everywhere.",,,gv
CPIA,Country Policy and Institutional Assessments,WBG - Country Policy and Institutional Assessments,http://data.worldbank.org/data-catalog/CPIA,World Bank Group,http://www.worldbank.org/terms-datasets,"The Center for Global Development (CDG) works to reduce global poverty and inequality through rigorous research and active engagement with the policy community to make the world a more prosperous, just, and safe place for all of us.

The policies and practices of the rich and the powerful—in rich nations, as well as in the emerging powers, international institutions, and global corporations—have significant impacts on the world's poor people. The CDG aim to improve these policies and practices through research and policy engagement to expand opportunities, reduce inequalities, and improve lives everywhere.
","The CPIA is calculated through a questionnaire. For each of the countries, country teams propose ratings for each criterion, accompanied by written justifications. The proposals and the write-ups are vetted by the respective Regional Chief Economist, and then reviewed by the GPs/CCSAs and Central Departments. Using the CPIA criteria as the anchor, the country teams’ submissions, Bank-wide comments, available external indicators and other relevant supporting documentation (which may include analysis that was developed outside the Bank) guide the assessment the ratings.

For more details about the methodology, please visit http://pubdocs.worldbank.org/en/203511467141304327/CPIA-Criteria-2017v2.pdf ","Country Policy and Institutional Assessment, World Bank Group. This dataset is classified as Public under the Access to Information Classification Policy. Users inside and outside the Bank can access this dataset. This dataset is licensed under CC-BY 4.0. https://datacatalog.worldbank.org/public-licenses#cc-by ",gv
DAGI,"Development, Aid and Governance Indicators","Development, Aid and Governance Indicators (DAGI)",https://www.brookings.edu/interactives/development-aid-and-governance-indicators-dagi/,The Brookings Institution,https://www.brookings.edu/,,,,gv
bti,Bertelsmann Transformation Index,Bertelsmann Transformation Index,https://www.bti-project.org/en/reports/downloads/,Bertelsmann Stiftung,https://creativecommons.org/licenses/by/4.0/,"The BTI results from an international analytical collaboration of almost 300 experts in top academic institutions around the world and local reporters in most countries. They all share the goal to detect strengths and weaknesses by comparison and to find good examples for successful political steering. A project of this magnitude could never succeed without their expertise, enthusiasm, creativity and attention to detail.

With their extensive regional expertise and their outstanding academic standing, the regional coordinators contribute to the measurement and review process and the analysis of the BTI-results in a major fashion. In consultation with the BTI-team, they select their region’s country experts, guide, comment and coordinate the preparation of the country reports, calibrate the indicator scores for their respective region and have a most important role in conducting the interregional calibration of the BTI-results. They are also the authors of the regional reports, which form an essential part of each BTI-publication.

Over the years, the BTI team has profited from the support, advocacy and counsel of many transformation experts and practitioners. But it is the BTI Board our council of scholarly advisors, which is unequaled in its commitment to providing us rigorous and collegial support. BTI Board member played a crucial role in helping us establish the BTI’s conceptual framework, and continue to ensure sound results for each edition through their expertise and counsel.

The BTI´s quality stands or falls with the quality and validity of the country reports, which constitute the backbone of all our assessments and scores. We are as happy as we are proud to be able to rely on an invaluable network of almost 300 country experts at top academic institutions and civil society organizations around the globe, as it is their knowledge and experience upon which our cross-national analysis is built. ","The Bertelsmann Stiftung’s Transformation Index (BTI) analyzes and evaluates whether and how developing countries and countries in transition are steering social change toward democracy and a market economy. Guided by a standardized codebook, country experts assess the extent to which a total of 17 criteria have been met for each of the 129 countries. These experts ground the scores they provide in assessments that comprise the country reports, all of which are available online. A second country expert then reviews these assessments and scores. In a final step, consistency is assured by subjecting each of the 49 individual scores given per country to regional and interregional calibration processes. Standardizing the analytical process in this way makes targeted comparisons of reform policies possible.

The BTI aggregates the results of this comprehensive study of transformation processes and political management into two indices: the Status Index and the Governance Index. The Status Index, with its two analytic dimensions of political and economic transformation, identifies where each of the 129 countries stand on their path toward democracy under the rule of law and a social market economy. The Governance Index assesses the quality of political leadership with which transformation processes are steered. 
Graph Criteria

The BTI is published every two years. This biennial evaluation of transformation and development allows us to assess observed trends and identify the outcomes of transformation strategies. The BTI expands the available body of knowledge about how political processes are managed and decision-making is conducted, and makes this knowledge available to policymakers and other advocates of reform. Overall, the BTI offers a comprehensive body of data allowing a broad spectrum of actors to assess and compare the factors driving success in developing and transformation countries.

For more information on the methodology, see https://www.bti-project.org/en/about/project/methodology/","For use guidelines, please consult Bertelsmann Stiftung (https://creativecommons.org/licenses/by/4.0/)",tc
DB,Doing Business,WBG - Doing Business,http://www.doingbusiness.org/,World Bank Group,http://www.worldbank.org/terms-datasets,"The objective of Doing Business is to measure the simplicity, efficiency and accessibility of the regulatory environment.  It measures business regulations and their enforcement across 190 economies and selected cities at the subnational and regional level. The Doing Business project looks at domestic small and medium-size companies and measures the regulations applying to them through their life cycle. 

By gathering and analyzing comprehensive quantitative data to compare business regulation environments across economies and over time, Doing Business encourages economies to compete towards more efficient regulation; offers measurable benchmarks for reform; and serves as a resource for academics, journalists, private sector researchers and others interested in the business climate of each economy.","Questionnaires are administered to more than 13,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements. For more details about the methodology, please visit http://www.doingbusiness.org/methodology.",This dataset is licensed under CC-BY 4.0. - http://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,gv
ES,Enterprise Surveys,WBG - Enterprise Surveys,http://www.enterprisesurveys.org,World Bank Group,http://www.worldbank.org/terms-datasets,"The World Bank’s Enterprise Analysis Unit is a team of economists and firm-level survey experts that both 1) conducts Enterprise Surveys and 2) draws upon this wealth of firm-level data from developing countries to produce research on the micro-economic foundations of growth. Key research topics of the unit include firm performance and job creation, legal gender parity for entrepreneurs and workers, informality, and export performance.","An Enterprise Survey is a firm-level survey of a representative sample of an economy’s private sector. The surveys cover a broad range of business environment topics including access to finance, corruption, infrastructure, crime, competition, and performance measures. Since 2005-06, nearly all data collection efforts have been centralized within the Enterprise Analysis Unit, where a Global Methodology was developed and applied ever since. For more details about the methodology, please visit http://www.enterprisesurveys.org/methodology.","For use guidelines, please consult World Bank Group (http://www.worldbank.org/terms-datasets)",gv
