Indicator_Id,Rank_1
14-CPIA-Total,1.01
5-CPIA-Total,1.02
PAY_EMP9,2.01
21-WJP-Total,2.02
64-BTI-Total,2.03
231-IPD-a5020,2.04
13-BTI-Total,2.05
15-BTI-Total,2.06
14-BTI-Total,2.07
CDG15,2.08
17-CPIA-Total,2.09
247-GCI-Value,2.1
248-GCI-Rank,2.1
HRM66,Drop
HRM61,Drop
HRM84,Drop
HRM100,Drop
HRM112,Drop
109-PEFA-Total,Drop
110-PEFA-Total,Drop
HRM17,Drop
HRM3,Drop
HRM35,Drop
HRM15,Drop
HRM16,Drop
HRM69,Drop
HRM49,Drop
HRM78,Drop
HRM76,Drop
HRM77,Drop
HRM75,Drop
HRM81,Drop
HRM97,Drop
HRM109,Drop
HRM21,Drop
HRM13,Drop
HRM10,Drop
HRM11,Drop
HRM8,Drop
HRM57,Drop
HRM55,Drop
HRM91,Drop
HRM36,Drop
HRM14,Drop
HRM26,Drop
HRM24,Drop
HRM7,Drop
HRM68,Drop
HRM53,Drop
HRM6,Drop
HRM4,Drop
HRM5,Drop
HRM60,Drop
HRM74,Drop
HRM73,Drop
HRM70,Drop
HRM72,Drop
HRM52,Drop
HRM20,Drop
HRM83,Drop
HRM99,Drop
HRM111,Drop
HRM34,Drop
111-PEFA-Total,Drop
HRM58,Drop
HRM1,Drop
HRM119,Drop
HRM2,Drop
HRM47,Drop
HRM80,Drop
HRM79,Drop
HRM96,Drop
HRM107,Drop
HRM54,Drop
HRM23,Drop
HRM48,Drop
555-IPD-a5020,Drop
HRM82,Drop
HRM98,Drop
HRM110,Drop
HRM19,Drop
HRM28,Drop
HRM30,Drop
HRM33,Drop
108-PEFA-Total,Drop
HRM39,Drop
HRM92,Drop
HRM40,Drop
HRM93,Drop
HRM41,Drop
HRM94,Drop
HRM37,Drop
37-ILO-Female,Drop
38-ILO-Male,Drop
HRM12,Drop
HRM9,Drop
HRM87,Drop
HRM103,Drop
HRM115,Drop
HRM86,Drop
HRM102,Drop
HRM114,Drop
HRM59,Drop
HRM89,Drop
HRM105,Drop
HRM117,Drop
161-SGI-Total,3.01
2-SGI-Total,3.02
13-SGI-Total,3.03
35-SGI-Total,3.04
51-SGI-Total,3.05
73-SGI-Total,3.06
97-SGI-Total,3.07
103-SGI-Total,3.08
109-SGI-Total,3.09
114-SGI-Total,3.1
116-SGI-Total,4.005
119-SGI-Total,4.006
125-SGI-Total,4.007
120-SGI-Total,4.008
134-SGI-Total,3.15
137-SGI-Total,3.16
129-SGI-Total,3.17
130-SGI-Total,3.18
144-SGI-Total,3.19
147-SGI-Total,3.2
153-SGI-Total,3.21
155-SGI-Total,3.22
156-SGI-Total,3.23
159-SGI-Total,3.24
163-SGI-Total,3.25
167-SGI-Total,3.26
169-SGI-Total,3.27
173-SGI-Total,3.28
179-SGI-Total,3.29
3-SGI-Total,3.3
5-SGI-Total,3.31
9-SGI-Total,3.32
11-SGI-Total,3.33
14-SGI-Total,3.34
16-SGI-Total,3.35
21-SGI-Total,3.36
18-SGI-Total,3.37
28-SGI-Total,3.38
29-SGI-Total,3.39
30-SGI-Total,3.4
36-SGI-Total,3.41
37-SGI-Total,3.42
38-SGI-Total,3.43
42-SGI-Total,3.44
52-SGI-Total,3.45
53-SGI-Total,3.46
54-SGI-Total,3.47
58-SGI-Total,3.48
61-SGI-Total,3.49
63-SGI-Total,3.5
64-SGI-Total,3.51
66-SGI-Total,3.52
67-SGI-Total,3.53
68-SGI-Total,3.54
69-SGI-Total,3.55
70-SGI-Total,3.56
77-SGI-Total,3.57
78-SGI-Total,3.58
80-SGI-Total,3.59
86-SGI-Total,3.6
90-SGI-Total,3.61
91-SGI-Total,3.62
BEEPS132,3.63
BEEPS232,3.64
262-IPD-a3033,3.65
593-IPD-a3033,3.66
245-IPD-a3111,3.67
569-IPD-a3111,3.68
246-IPD-a3110,3.69
570-IPD-a3110,3.7
242-IPD-a3120,3.71
566-IPD-a3120,3.72
238-IPD-a3124,3.73
562-IPD-a3124,3.74
240-IPD-a3122,3.75
564-IPD-a3122,3.76
244-IPD-a3112,3.77
568-IPD-a3112,3.78
241-IPD-a3121,3.79
565-IPD-a3121,3.8
239-IPD-a3123,3.81
563-IPD-a3123,3.82
QOG1,3.83
QOG2,3.84
789-IPD-c8002,3.85
848-IPD-c8003,3.86
790-IPD-c8003,3.87
791-IPD-c8004,3.88
1152-IPD-a9050,3.89
24-SC-Total,3.9
85-PEFA-Total,3.91
399-IPD-c6001,3.92
77-IPD-c6001,3.93
1043-IPD-a3003,3.94
1042-IPD-a3002,3.95
1231-IPD-a3560,3.96
1-ILO-Female,3.97
2-ILO-Male,3.98
3-ILO-Total,3.99
5-ILO-Total,3.101
4-ILO-Total,3.102
8-ILO-Total,3.103
9-ILO-Total,3.104
7-PEFA-Total,3.105
1151-IPD-a9042,3.106
19-WJP-Total,3.107
752-IPD-c4020,3.108
1-PEFA-Total,3.109
6-PEFA-Total,3.11
4-SC-Total,3.111
796-IPD-c4023,3.112
303-IPD-a1050,3.113
633-IPD-a1050,3.114
100-PEFA-Total,3.115
1176-IPD-a1030,3.116
1021-IPD-a1070,3.117
1022-IPD-a1071,3.118
1177-IPD-a1031,3.119
1101-IPD-a5060,3.12
1059-IPD-a3060,3.121
QOG96,3.122
302-IPD-a1051,3.123
632-IPD-a1051,3.124
QOG3,3.125
243-IPD-a3113,3.126
567-IPD-a3113,3.127
1277-IPD-a5102,3.128
10-PEFA-Total,3.129
76-PEFA-Total,3.13
143-GCI-Value,3.131
144-GCI-Rank,3.132
BEEPS17,3.133
BEEPS27,3.134
BEEPS18,3.135
BEEPS28,3.136
BEEPS19,3.137
BEEPS29,3.138
FAD_FR7,3.139
FAD_FR8,3.14
FAD_FR9,3.141
3-SC-Total,3.142
137-IPD-b4030,3.143
460-IPD-b4030,3.144
978-IPD-b7050,3.145
838-IPD-c703,3.146
394-IPD-c7020,3.147
72-IPD-c7020,3.148
392-IPD-c7022,3.149
70-IPD-c7022,3.15
391-IPD-c7023,3.151
69-IPD-c7023,3.152
393-IPD-c7021,3.153
71-IPD-c7021,3.154
777-IPD-c7030,3.155
67-BTI-Total,3.156
FAD_FR13,3.157
FAD_FR1,3.158
FAD_FR27,3.159
FAD_FR5,3.16
FAD_FR2,3.161
FAD_FR3,3.162
FAD_FR4,3.163
FAD_FR6,3.164
FAD_FR10,3.165
FAD_FR11,3.166
FAD_FR12,3.167
1-CPIA-Total,3.168
1083-IPD-a3130,3.169
1218-IPD-a3050,3.17
1219-IPD-a3051,3.171
215-IPD-a5081,3.172
538-IPD-a5081,3.173
213-IPD-a5083,3.174
536-IPD-a5083,3.175
212-IPD-a5084,3.176
535-IPD-a5084,3.177
216-IPD-a5080,3.178
539-IPD-a5080,3.179
214-IPD-a5082,3.18
537-IPD-a5082,3.181
1274-IPD-a510,3.182
1208-IPD-a3043,3.183
219-IPD-a5072,3.184
542-IPD-a5072,3.185
798-IPD-c4025,3.186
1178-IPD-a104,3.187
1175-IPD-a103,3.188
823-IPD-c6011,3.189
766-IPD-c6001,3.19
19-SC-Total,3.191
17-SC-Total,3.192
18-SC-Total,3.193
QOG4,3.194
36-PEFA-Total,3.195
28-PEFA-Total,3.196
11-PEFA-Total,3.197
8-BTI-Total,3.198
QOG101,3.199
QOG102,3.2
QOG5,3.201
QOG98,3.202
QOG99,3.203
QOG97,3.204
784-IPD-c7052,3.205
44-PEFA-Total,3.206
754-IPD-c4022,3.207
396-IPD-c7000,3.208
74-IPD-c7000,3.209
829-IPD-c700,3.21
103-PEFA-Total,3.211
83-PEFA-Total,3.212
3-PEFA-Total,3.213
13-PEFA-Total,3.214
67-PEFA-Total,3.215
PAY_EMP1,3.216
827-IPD-c603,3.217
10-BTI-Total,3.218
1276-IPD-a5101,3.219
1082-IPD-a3125,3.22
1080-IPD-a3112,3.221
801-IPD-c4512,3.222
939-IPD-b4513,3.223
863-IPD-b4023,3.224
1214-IPD-a3534,3.225
2-SC-Total,3.226
288-IPD-a2012,3.227
618-IPD-a2012,3.228
40-PEFA-Total,3.229
991-IPD-b800,3.23
910-IPD-b8000,3.231
218-IPD-a5073,3.232
541-IPD-a5073,3.233
236-IPD-a5000,3.234
560-IPD-a5000,3.235
234-IPD-a5002,3.236
558-IPD-a5002,3.237
235-IPD-a5001,3.238
559-IPD-a5001,3.239
1270-IPD-a5080,3.24
1087-IPD-a5010,3.241
1271-IPD-a5081,3.242
1088-IPD-a5011,3.243
1269-IPD-a508,3.244
233-IPD-a5010,3.245
557-IPD-a5010,3.246
232-IPD-a5011,3.247
556-IPD-a5011,3.248
70-PEFA-Total,3.249
406-IPD-c4011,3.25
84-IPD-c4011,3.251
415-IPD-b8000,3.252
92-IPD-b8000,3.253
FAD_FR26,3.254
FAD_FR28,3.255
FAD_FR15,3.256
FAD_FR14,3.257
FAD_FR18,3.258
FAD_FR16,3.259
FAD_FR17,3.26
FAD_FR19,3.261
FAD_FR20,3.262
FAD_FR21,3.263
FAD_FR22,3.264
FAD_FR23,3.265
FAD_FR24,3.266
FAD_FR25,3.267
1275-IPD-a5100,3.268
809-IPD-c4533,3.269
1318-IPD-a6053,3.27
1227-IPD-a3072,3.271
68-PEFA-Total,3.272
56-PEFA-Total,3.273
1179-IPD-a1040,3.274
PIM1,3.275
1180-IPD-a1041,3.276
PIM2,3.277
PIM3,3.278
402-IPD-c5010,3.279
80-IPD-c5010,3.28
224-IPD-a5050,3.281
547-IPD-a5050,3.282
223-IPD-a5051,3.283
546-IPD-a5051,3.284
773-IPD-c7020,3.285
776-IPD-c7023,3.286
775-IPD-c7022,3.287
774-IPD-c7021,3.288
985-IPD-b7080,3.289
811-IPD-c500,3.29
1098-IPD-a5042,3.291
Global_Indicators28,3.292
1084-IPD-a5000,3.293
1283-IPD-a5120,3.294
1103-IPD-a5062,3.295
997-IPD-a1002,3.296
1288-IPD-a5133,3.297
996-IPD-a1001,3.298
1085-IPD-a5001,3.299
1102-IPD-a5061,3.3
908-IPD-b7051,3.301
907-IPD-b7050,3.302
909-IPD-b7052,3.303
1099-IPD-a5050,3.304
1091-IPD-a5022,3.305
1090-IPD-a5021,3.306
1095-IPD-a5033,3.307
1266-IPD-a5060,3.308
1086-IPD-a5002,3.309
18-WJP-Total,3.31
381-IPD-c8003,3.311
59-IPD-c8003,3.312
382-IPD-c8002,3.313
60-IPD-c8002,3.314
4-CPIA-Total,3.315
28-IIAG-Total,3.316
28-BTI-Total,3.317
4-BTI-Total,3.318
43-PEFA-Total,3.319
66-PEFA-Total,3.32
69-PEFA-Total,3.321
65-PEFA-Total,3.322
39-PEFA-Total,3.323
55-PEFA-Total,3.324
41-PEFA-Total,3.325
1204-IPD-a304,3.326
PIM4,3.327
45-PEFA-Total,3.328
398-IPD-c6010,3.329
76-IPD-c6010,3.33
390-IPD-c7030,3.331
68-IPD-c7030,3.332
388-IPD-c7032,3.333
66-IPD-c7032,3.334
389-IPD-c7031,3.335
67-IPD-c7031,3.336
265-IPD-a3030,3.337
596-IPD-a3030,3.338
264-IPD-a3031,3.339
595-IPD-a3031,3.34
263-IPD-a3032,3.341
594-IPD-a3032,3.342
83-GCI-Value,3.343
84-GCI-Rank,3.344
259-IPD-a3051,3.345
590-IPD-a3051,3.346
11-SC-Total,3.347
QOG12,3.348
29-BTI-Total,3.349
6-CPIA-Total,3.35
220-IPD-a5071,3.351
543-IPD-a5071,3.352
89-PEFA-Total,3.353
1202-IPD-a352,3.354
1215-IPD-a354,3.355
806-IPD-c4530,3.356
804-IPD-c4521,3.357
942-IPD-b4521,3.358
PIM5,3.359
38-PEFA-Total,3.36
64-PEFA-Total,3.361
27-PEFA-Total,3.362
772-IPD-c7011,3.363
832-IPD-c7010,3.364
969-IPD-b7020,3.365
771-IPD-c7010,3.366
383-IPD-c8001,3.367
61-IPD-c8001,3.368
PIM6,3.369
59-PEFA-Total,3.37
33-PEFA-Total,3.371
FAD_FR29,3.372
FAD_FR32,3.373
FAD_FR37,3.374
FAD_FR33,3.375
FAD_FR34,3.376
FAD_FR35,3.377
FAD_FR36,3.378
FAD_FR38,3.379
FAD_FR39,3.38
FAD_FR40,3.381
473-IPD-b3042,3.382
150-IPD-b3042,3.383
22-PEFA-Total,3.384
23-PEFA-Total,3.385
53-PEFA-Total,3.386
1125-IPD-a6023,3.387
1058-IPD-a3053,3.388
97-PEFA-Total,3.389
72-PEFA-Total,3.39
1023-IPD-a1080,3.391
1025-IPD-a1082,3.392
1024-IPD-a1081,3.393
1026-IPD-a1083,3.394
15-PEFA-Total,3.395
48-PEFA-Total,3.396
20-PEFA-Total,3.397
9-SC-Total,3.398
810-IPD-c4534,3.399
