"","X.2","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","Rank_1"
"1",1,"1-CPIA-Total",83,"CPIA",77,"building human resources-CPIA-Total","IQ.CPA.HRES.XQ","Total","Building human resources",NA,"1 low to 6 high","1 low to 6 high","rating","Public Sector Management","Personnel Management","Other","Building human resources ",NA,"Investment","FCS Investment Trends","Institutional Resilience","Governance","Building human resources ",NA,NA,NA,NA,NA,"CPIA1","CPIA1","GOV","1-CPIA-Total","The World Bank's Country Policy and Institutional Assessment (CPIA) assess the conduciveness of a country's policy and institutional framework to poverty reduction, sustainable growth, and the effective use of development assistance.",3.168
"2",2,"1-FH-Total",193,"FH",93,"Electoral Democracies-FH-Total","Electoral Democracies","Total","Electoral Democracies",NA,"1 Yes 0 No","1 Yes 0 No","Index","Political Accountability","Elections","Other","Electoral Democracies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FH3",NA,"GOV","1-FH-Total","Freedom House is an independent watchdog organization dedicated to the expansion of freedom and democracy around the world. The report Freedom in the World is produced each year by a team of in-house and external analysts and expert advisers from the academic, think tank, and human rights communities.",1.01
"3",3,"1-GCI-Value",247,"GCI",138,"Property rights-GCI-Value","Property rights, 1-7 (best)","Value","Property rights (WEF)",NA,"Value","Value","Index","Private Sector Interface","Property rights and contracts","Other","Property rights",NA,"","","","",NA,NA,NA,NA,NA,NA,"GCI3.2","Delete","GOV","1-GCI-Value","The Global Competitiveness Report 2015–2016 presents information and data that were compiled and/or collected by the World Economic Forum.
It is grouped into 12 categories, the pillars of competitiveness: Institutions, Infrastructure, Macroeconomic environment, Health and primary education, Higher education and training, Goods market efficiency, Labor market efficiency, Financial market development, Technological readiness, Market size, Business sophistication, Innovation.",3.129
"4",4,"1-ILO-Female",2050,"ILO",170,"active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%)-ILO-Female","SOC_CEAP_SEX_GEO_RT","Female","Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%)",NA,"Female","Female","%","Public Sector Management","Public Expenditure Management","Other","Active contributors to an old age contributory scheme as a percent of employment by sex and rural  urban areas (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILO1.1",NA,"GOV","1-ILO-Female","The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.",3.97
"5",5,"1-IPU-Number.of.seats",3488,"IPU",1626,"house of the people bicameral-IPU-Number.of.seats","House of the People Bicameral","Number.of.seats","House of the People Bicameral",NA,"Number of seats","Number of seats","Value","Checks and Balances","Legislative System","Other","House of the People Bicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU40.1","31935","GOV","1-IPU-Number.of.seats","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",3.325
"6",6,"1-PEFA-Total",3830,"PEFA",2001,"aggregate expenditure out-turn compared to original approved budget-PEFA-Total","aggregate expenditure out-turn compared to original approved budget","Total","Aggregate expenditure out-turn compared to original approved budget",NA,"Score","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values","Public Sector Management","Public Expenditure Management","Other","Aggregate expenditure out-turn compared to original approved budget",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA1","PEFA1","GOV","1-PEFA-Total","PEFA includes 31 performance indicators of activities performed by governments. The indicators are grouped under the seven pillars that capture the performance of the key systems, processes, and institutions of government.",3.109
"7",7,"1-SC-Total",4091,"SC",1741,"national accounts base year-SC-Total","2.01.01.02.nabase","Total","National Accounts Base Year",NA,"Total","Total","Value","Public Sector Management","Administrative and Policymaking capacity","Other","National Accounts Base Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC20","SC20","GOV","1-SC-Total","The World Bank's Statistical Capacity Indicator is a composite score assessing the capacity of a country's statistical system. It is based on a diagnostic framework assessing the following areas: methodology, data sources, and periodicity and timeliness. Countries are scored against 25 criteria in these areas, using publicly available information and/or country input. The overall Statistical Capacity score is then being calculated as simple average of all three area scores on a scale of 0-100.",3.585
"8",8,"1-SGI-Total",4101,"SGI",1751,"access to government information-SGI-Total"," Access to Government Information","Total","Access to Government Information",NA,"Total","Total","Value","Citizen Engagement","Open Government and Transparency","Other","Access to Government Information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI1","SGI1","GOV","1-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",3.01
"9",9,"1-TI-Total",4225,"TI",1875,"rank-TI-Total","Rank","Total","Rank",NA,"Total","Total","Value","Absence of Corruption","Perception","Other","Corruption Perception Index CPI Rank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TI2.2",NA,"GOV","1-TI-Total","The CPI 2017 is calculated using 13 different data sources from 12 different institutions that capture perceptions of corruption within the past two years. 

The data sources are standardized to a scale of 0-100 where a 0 equals the highest level of perceived corruption and 100 equals the lowest level of perceived corruption.",3.4
"10",10,"10-BTI-Total",42,"BTI",12,"Consensus on goals-BTI-Total","Q16.1 ","Total","Consensus on goals",NA,"Score","Score","Index","Public Sector Management","Administrative and Policymaking capacity","Other","Consensus on goals",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI17","BTI17","GOV","10-BTI-Total","The Transformation Index network of 248 experts from 129 countries assess about the extent to which a total of 17 criteria have been met for each country. Read more about the methodology in the Metadata and Resources section.",3.218
