dataset,iso3,subset,year,group,question,answer,indicator,value,keyN,Indicator_Id
CPIA,DFS,All,2016,IQ.CPA.HRES.XQ,CPIA building human resources rating 1low to 6high,Total,IQ.CPA.HRES.XQ,3.183333333333333,1,CPIA1
CPIA,DFS,All,2016,IQ.CPA.BREG.XQ,CPIA business regulatory environment rating 1low to 6high,Total,IQ.CPA.BREG.XQ,2.666666666666667,2,CPIA2
CPIA,DFS,All,2016,IQ.CPA.DEBT.XQ,CPIA debt policy rating 1low to 6high,Total,IQ.CPA.DEBT.XQ,2.683333333333333,3,CPIA3
CPIA,DFS,All,2016,IQ.CPA.ECON.XQ,CPIA economic management cluster average 1low to 6high,Total,IQ.CPA.ECON.XQ,2.833333222222222,4,CPIA4
CPIA,DFS,All,2016,IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating 1low to 6high,Total,IQ.CPA.REVN.XQ,3.116666666666667,5,CPIA5
CPIA,DFS,All,2016,IQ.CPA.PRES.XQ,CPIA equity of public resource use rating 1low to 6high,Total,IQ.CPA.PRES.XQ,2.883333333333333,6,CPIA6
CPIA,DFS,All,2016,IQ.CPA.FINS.XQ,CPIA financial sector rating 1low to 6high,Total,IQ.CPA.FINS.XQ,2.583333333333334,7,CPIA7
CPIA,DFS,All,2016,IQ.CPA.FISP.XQ,CPIA fiscal policy rating 1low to 6high,Total,IQ.CPA.FISP.XQ,2.75,8,CPIA8
CPIA,DFS,All,2016,IQ.CPA.GNDR.XQ,CPIA gender equality rating 1low to 6high,Total,IQ.CPA.GNDR.XQ,2.783333333333333,9,CPIA9
CPIA,DFS,All,2016,IQ.CPA.MACR.XQ,CPIA macroeconomic management rating 1low to 6high,Total,IQ.CPA.MACR.XQ,3.066666666666667,10,CPIA10
CPIA,DFS,All,2016,IQ.CPA.SOCI.XQ,CPIA policies for social inclusionequity cluster average 1low to 6high,Total,IQ.CPA.SOCI.XQ,2.85,11,CPIA11
CPIA,DFS,All,2016,IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating 1low to 6high,Total,IQ.CPA.ENVR.XQ,2.783333333333333,12,CPIA12
CPIA,DFS,All,2016,IQ.CPA.PROP.XQ,CPIA property rights and rulebased governance rating 1low to 6high,Total,IQ.CPA.PROP.XQ,2.5,13,CPIA13
CPIA,DFS,All,2016,IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average 1low to 6high,Total,IQ.CPA.PUBS.XQ,2.703333333333334,14,CPIA14
CPIA,DFS,All,2016,IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating 1low to 6high,Total,IQ.CPA.FINQ.XQ,2.833333333333334,15,CPIA15
CPIA,DFS,All,2016,IQ.CPA.PADM.XQ,CPIA quality of public administration rating 1low to 6high,Total,IQ.CPA.PADM.XQ,2.533333333333333,16,CPIA16
CPIA,DFS,All,2016,IQ.CPA.PROT.XQ,CPIA social protection rating 1low to 6high,Total,IQ.CPA.PROT.XQ,2.616666666666667,17,CPIA17
CPIA,DFS,All,2016,IQ.CPA.STRC.XQ,CPIA structural policies cluster average 1low to 6high,Total,IQ.CPA.STRC.XQ,2.916666888888889,18,CPIA18
CPIA,DFS,All,2016,IQ.CPA.TRAD.XQ,CPIA trade rating 1low to 6high,Total,IQ.CPA.TRAD.XQ,3.5,19,CPIA19
CPIA,DFS,All,2016,IQ.CPA.TRAN.XQ,CPIA transparency accountability and corruption in the public sector rating 1low to 6high,Total,IQ.CPA.TRAN.XQ,2.533333333333333,20,CPIA20
CPIA,DFS,All,2016,IQ.CPA.IRAI.XQ,IDA resource allocation index 1low to 6high,Total,IQ.CPA.IRAI.XQ,2.825833444444446,21,CPIA21
CPIA,FXS,All,2016,IQ.CPA.HRES.XQ,CPIA building human resources rating 1low to 6high,Total,IQ.CPA.HRES.XQ,3.083333333333334,1,CPIA1
CPIA,FXS,All,2016,IQ.CPA.BREG.XQ,CPIA business regulatory environment rating 1low to 6high,Total,IQ.CPA.BREG.XQ,2.625,2,CPIA2
CPIA,FXS,All,2016,IQ.CPA.DEBT.XQ,CPIA debt policy rating 1low to 6high,Total,IQ.CPA.DEBT.XQ,2.791666666666667,3,CPIA3
CPIA,FXS,All,2016,IQ.CPA.ECON.XQ,CPIA economic management cluster average 1low to 6high,Total,IQ.CPA.ECON.XQ,2.944444166666667,4,CPIA4
CPIA,FXS,All,2016,IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating 1low to 6high,Total,IQ.CPA.REVN.XQ,3.125,5,CPIA5
CPIA,FXS,All,2016,IQ.CPA.PRES.XQ,CPIA equity of public resource use rating 1low to 6high,Total,IQ.CPA.PRES.XQ,2.875,6,CPIA6
CPIA,FXS,All,2016,IQ.CPA.FINS.XQ,CPIA financial sector rating 1low to 6high,Total,IQ.CPA.FINS.XQ,2.666666666666667,7,CPIA7
CPIA,FXS,All,2016,IQ.CPA.FISP.XQ,CPIA fiscal policy rating 1low to 6high,Total,IQ.CPA.FISP.XQ,2.791666666666667,8,CPIA8
CPIA,FXS,All,2016,IQ.CPA.GNDR.XQ,CPIA gender equality rating 1low to 6high,Total,IQ.CPA.GNDR.XQ,2.625,9,CPIA9
CPIA,FXS,All,2016,IQ.CPA.MACR.XQ,CPIA macroeconomic management rating 1low to 6high,Total,IQ.CPA.MACR.XQ,3.25,10,CPIA10
CPIA,FXS,All,2016,IQ.CPA.SOCI.XQ,CPIA policies for social inclusionequity cluster average 1low to 6high,Total,IQ.CPA.SOCI.XQ,2.775,11,CPIA11
CPIA,FXS,All,2016,IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating 1low to 6high,Total,IQ.CPA.ENVR.XQ,2.666666666666667,12,CPIA12
CPIA,FXS,All,2016,IQ.CPA.PROP.XQ,CPIA property rights and rulebased governance rating 1low to 6high,Total,IQ.CPA.PROP.XQ,2.708333333333334,13,CPIA13
CPIA,FXS,All,2016,IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average 1low to 6high,Total,IQ.CPA.PUBS.XQ,2.825,14,CPIA14
CPIA,FXS,All,2016,IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating 1low to 6high,Total,IQ.CPA.FINQ.XQ,2.916666666666667,15,CPIA15
CPIA,FXS,All,2016,IQ.CPA.PADM.XQ,CPIA quality of public administration rating 1low to 6high,Total,IQ.CPA.PADM.XQ,2.5,16,CPIA16
CPIA,FXS,All,2016,IQ.CPA.PROT.XQ,CPIA social protection rating 1low to 6high,Total,IQ.CPA.PROT.XQ,2.625,17,CPIA17
CPIA,FXS,All,2016,IQ.CPA.STRC.XQ,CPIA structural policies cluster average 1low to 6high,Total,IQ.CPA.STRC.XQ,3.027778333333334,18,CPIA18
CPIA,FXS,All,2016,IQ.CPA.TRAD.XQ,CPIA trade rating 1low to 6high,Total,IQ.CPA.TRAD.XQ,3.791666666666667,19,CPIA19
CPIA,FXS,All,2016,IQ.CPA.TRAN.XQ,CPIA transparency accountability and corruption in the public sector rating 1low to 6high,Total,IQ.CPA.TRAN.XQ,2.875,20,CPIA20
CPIA,FXS,All,2016,IQ.CPA.IRAI.XQ,IDA resource allocation index 1low to 6high,Total,IQ.CPA.IRAI.XQ,2.893055833333333,21,CPIA21
