"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Resolving Insolvency  Creditor participation index 04 DB1518 methodology","Total","Resolving Insolvency  Creditor participation index 04 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Reorganization proceedings index 03 DB1518 methodology","Total","Resolving Insolvency  Reorganization proceedings index 03 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Management of debtors assets index 06 DB1518 methodology","Total","Resolving Insolvency  Management of debtors assets index 06 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Commencement of proceedings index 03 DB1518 methodology","Total","Resolving Insolvency  Commencement of proceedings index 03 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Strength of insolvency framework index 016 DB1518 methodology","Total","Resolving Insolvency  Strength of insolvency framework index 016 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Recovery rate cents on the dollar","Total","Resolving Insolvency  Recovery rate cents on the dollar","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Cost % of estate","Total","Resolving Insolvency  Cost % of estate","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Time years","Total","Resolving Insolvency  Time years","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  Outcome 0 as piecemeal sale and 1 as going concern","Total","Resolving Insolvency  Outcome 0 as piecemeal sale and 1 as going concern","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  DTF  Resolving insolvency DB0414 methodology","Total","Resolving Insolvency  DTF  Resolving insolvency DB0414 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Resolving Insolvency  DTF  Resolving insolvency DB1518 methodology","Total","Resolving Insolvency  DTF  Resolving insolvency DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Resolving insolvency DB18","Total","Rank  Resolving insolvency DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Alternative dispute resolution 03 DB1618 methodology","Total","Enforcing Contracts  Alternative dispute resolution 03 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Court automation 04 DB1618 methodology","Total","Enforcing Contracts  Court automation 04 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Case management 06 DB1618 methodology","Total","Enforcing Contracts  Case management 06 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Court structure and proceedings 05 DB1718 methodology","Total","Enforcing Contracts  Court structure and proceedings 05 DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Court structure and proceedings 05 DB16 methodology","Total","Enforcing Contracts  Court structure and proceedings 05 DB16 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Quality of the judicial administration index 018 DB1718 methodology","Total","Enforcing Contracts  Quality of the judicial administration index 018 DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Quality of the judicial processes index 018 DB16 methodology","Total","Enforcing Contracts  Quality of the judicial processes index 018 DB16 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Enforcement fees % of claim","Total","Enforcing Contracts  Enforcement fees % of claim","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Court fees % of claim","Total","Enforcing Contracts  Court fees % of claim","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Attorney fees % of claim","Total","Enforcing Contracts  Attorney fees % of claim","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Cost % of claim","Total","Enforcing Contracts  Cost % of claim","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Enforcement of judgment days","Total","Enforcing Contracts  Enforcement of judgment days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Trial and judgment days","Total","Enforcing Contracts  Trial and judgment days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Filing and service days","Total","Enforcing Contracts  Filing and service days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Time days","Total","Enforcing Contracts  Time days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  Procedures number","Total","Enforcing Contracts  Procedures number","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  DTF  Enforcing contracts
DB0415 methodology","Total","Enforcing Contracts  DTF  Enforcing contracts
DB0415 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  DTF  Enforcing contracts
DB16 methodology","Total","Enforcing Contracts  DTF  Enforcing contracts
DB16 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Enforcing Contracts  DTF  Enforcing contract
DB1718 methodology","Total","Enforcing Contracts  DTF  Enforcing contract
DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Enforcing contract
DB18","Total","Rank  Enforcing contract
DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Cost to import Border compliance USD DB1618 methodology","Total","Trading across Borders  Cost to import Border compliance USD DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Cost to export Border compliance USD DB1618 methodology","Total","Trading across Borders  Cost to export Border compliance USD DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Cost to import Documentary compliance USD DB1618 methodology","Total","Trading across Borders  Cost to import Documentary compliance USD DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
