dataset,iso3,subset,year,group,question,answer,indicator,value,keyN,Indicator_Id
FH,AFG,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,ALB,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,DZA,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,ADO,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,AGO,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,ATG,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,ARG,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,ARM,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,AUS,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,AUT,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,AZE,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,BHS,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BHR,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,BGD,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BRB,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BLR,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,BEL,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BLZ,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BEN,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BTN,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BOL,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BIH,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BWA,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BRA,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BRN,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,BGR,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BFA,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,BDI,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,KHM,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,CMR,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,CAN,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,CPV,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,1,3,FH3
FH,CAF,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
FH,TCD,All,2016,Electoral Democracies,Electoral Democracies,Total,Electoral Democracies,0,3,FH3
