Indicator_Id,Indicator,Indicator_Name,answer,Display_Name,Dataset,Rank,Category_11,Category_12,Category_13,Category_14,Category_15,Category_21,Category_22,Category_23,Category_24,Category_25,Category_31,Category_32,Category_33,Category_34,New1,New2,New3,New4,New5,keyN
GCI8,,"Property rights, 1-7 (best)",Value,101 Property rights 17 best,GCI,,,,,,,,,,,,,,,,,,,,,8
GCI8,,"Property rights, 1-7 (best)",Rank,101 Property rights 17 best,GCI,,,,,,,,,,,,,,,,,,,,,8
GCI9,,"Intellectual property protection, 1-7 (best)",Value,102 Intellectual property protection 17 best,GCI,,,,,,,,,,,,,,,,,,,,,9
GCI9,,"Intellectual property protection, 1-7 (best)",Rank,102 Intellectual property protection 17 best,GCI,,,,,,,,,,,,,,,,,,,,,9
GCI3,,1. Property rights,Value,1 Property rights,GCI,,,,,,,,,,,,,,,,,,,,,3
GCI3,,1. Property rights,Rank,1 Property rights,GCI,,,,,,,,,,,,,,,,,,,,,3
GCI10,,"Diversion of public funds, 1-7 (best)",Value,103 Diversion of public funds 17 best,GCI,,,,,,,,,,,,,,,,,,,,,10
GCI10,,"Diversion of public funds, 1-7 (best)",Rank,103 Diversion of public funds 17 best,GCI,,,,,,,,,,,,,,,,,,,,,10
GCI11,,"Public trust in politicians, 1-7 (best)",Value,104 Public trust in politicians 17 best,GCI,,,,,,,,,,,,,,,,,,,,,11
GCI11,,"Public trust in politicians, 1-7 (best)",Rank,104 Public trust in politicians 17 best,GCI,,,,,,,,,,,,,,,,,,,,,11
GCI12,,"Irregular payments and bribes, 1-7 (best)",Value,105 Irregular payments and bribes 17 best,GCI,,,,,,,,,,,,,,,,,,,,,12
GCI12,,"Irregular payments and bribes, 1-7 (best)",Rank,105 Irregular payments and bribes 17 best,GCI,,,,,,,,,,,,,,,,,,,,,12
GCI51,,2. Ethics and corruption,Value,2 Ethics and corruption,GCI,,,,,,,,,,,,,,,,,,,,,51
GCI51,,2. Ethics and corruption,Rank,2 Ethics and corruption,GCI,,,,,,,,,,,,,,,,,,,,,51
GCI13,,"Judicial independence, 1-7 (best)",Value,106 Judicial independence 17 best,GCI,,,,,,,,,,,,,,,,,,,,,13
GCI13,,"Judicial independence, 1-7 (best)",Rank,106 Judicial independence 17 best,GCI,,,,,,,,,,,,,,,,,,,,,13
GCI14,,"Favoritism in decisions of government officials, 1-7 (best)",Value,107 Favoritism in decisions of government officials 17 best,GCI,,,,,,,,,,,,,,,,,,,,,14
