Indicator_Id,Indicator,Indicator_Name,answer,Display_Name,Dataset,Rank,Category_11,Category_12,Category_13,Category_14,Category_15,Category_21,Category_22,Category_23,Category_24,Category_25,Category_31,Category_32,Category_33,Category_34,New1,New2,New3,New4,New5,keyN
IBP151,,Q142,Total,Does the Supreme Audit Institution SAI maintain formal mechanisms through which the public can contribute to audit investigations as respondents witnesses etc?,IBP,,,,,,,,,,,,,,,,,,,,,151
IBP155,,Q141,Total,Does the Supreme Audit Institution SAI provide the public with feedback on how citizens’ inputs have been used to determine its audit program?,IBP,,,,,,,,,,,,,,,,,,,,,155
IBP153,,Q140,Total,Does the Supreme Audit Institution SAI maintain formal mechanisms through which the public can suggest issuestopics to include in the SAI’s audit program for example by bringing ideas on agencies programs or projects that could be audited?,IBP,,,,,,,,,,,,,,,,,,,,,153
IBP204,,Q139,Total,Does the legislature hold public hearings andor use other participation mechanisms through which the public can provide input during its public deliberations on the Audit Report?,IBP,,,,,,,,,,,,,,,,,,,,,204
IBP206,,Q138,Total,Does the legislature provide feedback to the public on how citizens’ inputs have been used during legislative deliberations on the annual budget?,IBP,,,,,,,,,,,,,,,,,,,,,206
IBP215,,Q137,Total,During the legislative deliberations on the annual budget prebudget or approval stages which of the following key topics does the legislature’s or relevant legislative budget committee engagement with citizens cover?For the purpose of this question key topics are considered to be1 Macroeconomic issues2 Revenue forecasts policies and administration3 Social spending policies4 Deficit and debt levels5 Public investment projects6 Public services,IBP,,,,,,,,,,,,,,,,,,,,,215
IBP205,,Q136,Total,Does the legislature or the relevant legislative committees hold public hearings andor use other participation mechanisms through which the public can provide input during its public deliberations on the formulation of the annual budget prebudget andor approval stages?,IBP,,,,,,,,,,,,,,,,,,,,,205
IBP22,,Q135,Total,Do one or more line ministries use participation mechanisms through which the public can provide input during the formulation or implementation of the annual budget?,IBP,,,,,,,,,,,,,,,,,,,,,22
IBP3,,Q134,Total,Are participation mechanisms incorporated into the timetable for formulating the Executive’s Budget Proposal?,IBP,,,,,,,,,,,,,,,,,,,,,3
IBP294,,Q133,Total,With regard to the mechanism identified in question 128 does the executive provide the public with information on how citizens’ inputs have been used to assist in monitoring the implementation of the annual budget?,IBP,,,,,,,,,,,,,,,,,,,,,294
IBP292,,Q132,Total,With regard to the mechanism identified in question 125 does the executive provide the public with feedback on how citizens’ inputs have been used in the formulation of the annual budget?,IBP,,,,,,,,,,,,,,,,,,,,,292
IBP286,,Q131,Total,When the executive engages with the public does it provide comprehensive prior information on the process of the engagement so that the public can participate in an informed manner?Comprehensive information must include at least three of the following elements 1 Purpose 2 Scope 3 Constraints 4 Intended outcomes 5 Process and timeline,IBP,,,,,,,,,,,,,,,,,,,,,286
IBP212,,Q130,Total,During the implementation of the annual budget which of the following topics does the executive’s engagement with citizens cover?For the purpose of this question key topics are considered to be 1 Changes in macroeconomic circumstances 2 Delivery of public services 3 Collection of revenue 4 Implementation of social spending 5 Changes in deficit and debt levels 6 Implementation of public investment projects,IBP,,,,,,,,,,,,,,,,,,,,,212
IBP295,,Q129,Total,With regard to the mechanism identified in question 128 does the executive take concrete steps to receive input from vulnerable and underrepresented parts of the population on the implementation of the annual budget?,IBP,,,,,,,,,,,,,,,,,,,,,295
IBP197,,Q128,Total,Does the executive use participation mechanisms through which the public can provide input in monitoring the implementation of the annual budget?,IBP,,,,,,,,,,,,,,,,,,,,,197
IBP211,,Q127,Total,During the budget formulation stage which of the following key topics does the executive’s engagement with citizens cover?For the purpose of this question key topics are considered to be 1 Macroeconomic issues 2 Revenue forecasts policies and administration 3 Social spending policies 4 Deficit and debt levels 5 Public investment projects 6 Public services,IBP,,,,,,,,,,,,,,,,,,,,,211
IBP293,,Q126,Total,With regard to the mechanism identified in question 125 does the executive take concrete steps to include vulnerable and underrepresented parts of the population in the formulation of the annual budget?,IBP,,,,,,,,,,,,,,,,,,,,,293
IBP196,,Q125,Total,Does the executive use participation mechanisms through which the public can provide input during the formulation of the annual budget prior to the budget being tabled in parliament?,IBP,,,,,,,,,,,,,,,,,,,,,196
IBP253,,Q124,Total,In the past 12 months how frequently did the head or a senior staff member of the Supreme Audit Institution SAI take part and testify in hearings of a committee of the legislature?,IBP,,,,,,,,,,,,,,,,,,,,,253
IBP6,,Q123,Total,Are the audit processes of the Supreme Audit Institution SAI reviewed by an independent agency?,IBP,,,,,,,,,,,,,,,,,,,,,6
IBP148,,Q122,Total,Does the Supreme Audit Institution SAI have the discretion in law to undertake those audits it may wish to?,IBP,,,,,,,,,,,,,,,,,,,,,148
IBP290,,Q121,Total,Who determines the budget of the Supreme Audit Institution SAI?,IBP,,,,,,,,,,,,,,,,,,,,,290
IBP260,,Q120,Total,Must a branch of government other than the executive such as the legislature or the judiciary give final consent before the head of the Supreme Audit Institution SAI can be removed from office?,IBP,,,,,,,,,,,,,,,,,,,,,260
IBP263,,Q119,Total,Was the process of appointing or reappointing the current head of the SAI carried out in a way that ensures his or her independence?,IBP,,,,,,,,,,,,,,,,,,,,,263
IBP13,,Q118,Total,Did a committee of the legislature examine the Audit Report on the annual budget produced by the Supreme Audit Institution SAI?,IBP,,,,,,,,,,,,,,,,,,,,,13
IBP189,,Q117,Total,Does the executive seek approval from the legislature prior to reducing spending below the levels in the Enacted Budget in response to revenue shortfalls that is revenues lower than originally anticipated or other reasons during the budget execution period and is it legally required to do so?,IBP,,,,,,,,,,,,,,,,,,,,,189
IBP191,,Q116,Total,Does the executive seek approval from the legislature prior to spending excess revenue that is amounts higher than originally anticipated thatmay become available during the budget execution period and is it legally required to do so?,IBP,,,,,,,,,,,,,,,,,,,,,191
