dataset,iso3,subset,year,group,question,answer,indicator,value,keyN,Indicator_Id
ILO,ZMB,All,2008,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,4.9000001,1,ILO1
ILO,ZMB,All,2008,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,12.3,1,ILO1
ILO,ZMB,All,2008,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,8.6999998,1,ILO1
ILO,ZAF,All,2011,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,37.150002,1,ILO1
ILO,ZAF,All,2011,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,41.279999,1,ILO1
ILO,ZAF,All,2011,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,39.48,1,ILO1
ILO,VNM,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,15.8,1,ILO1
ILO,VNM,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,15.4,1,ILO1
ILO,VNM,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,15.6,1,ILO1
ILO,TZA,All,2005,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,2.2,1,ILO1
ILO,TZA,All,2005,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,5.4000001,1,ILO1
ILO,TZA,All,2005,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,3.8,1,ILO1
ILO,TZ2,All,2006,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,7.0999999,1,ILO1
ILO,TZ2,All,2006,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,11.8,1,ILO1
ILO,TZ2,All,2006,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,9.5,1,ILO1
ILO,SRB,All,2007,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,67,1,ILO1
ILO,SRB,All,2007,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,66,1,ILO1
ILO,SRB,All,2007,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,66.400002,1,ILO1
ILO,SLV,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,34.599998,1,ILO1
ILO,SLV,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,30.700001,1,ILO1
ILO,SLV,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,32,1,ILO1
ILO,PRY,All,2010,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,15.6,1,ILO1
ILO,PRY,All,2010,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,17.700001,1,ILO1
ILO,PRY,All,2010,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,16.9,1,ILO1
ILO,PER,All,2010,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,18.4,1,ILO1
ILO,PER,All,2010,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,34.299999,1,ILO1
ILO,PER,All,2010,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,26,1,ILO1
ILO,PAN,All,2008,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,50.5,1,ILO1
ILO,PAN,All,2008,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,48.599998,1,ILO1
ILO,PAN,All,2008,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,49.299999,1,ILO1
ILO,NPL,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,1,1,ILO1
ILO,NPL,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,2.9000001,1,ILO1
ILO,NPL,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,3.8,1,ILO1
ILO,NIC,All,2005,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,21.9,1,ILO1
ILO,NIC,All,2005,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,14.8,1,ILO1
ILO,NIC,All,2005,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,17.299999,1,ILO1
ILO,MOZ,All,2006,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,9.6999998,1,ILO1
ILO,MOZ,All,2006,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Male,SOC_CEAP_SEX_GEO_RT,9.6999998,1,ILO1
ILO,MOZ,All,2006,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Total,SOC_CEAP_SEX_GEO_RT,9.6999998,1,ILO1
ILO,MEX,All,2009,SOC_CEAP_SEX_GEO_RT,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),Female,SOC_CEAP_SEX_GEO_RT,38.799999,1,ILO1
