Indicator_Id,Indicator,Indicator_Name,answer,Display_Name,Dataset,Rank,Category_11,Category_12,Category_13,Category_14,Category_15,Category_21,Category_22,Category_23,Category_24,Category_25,Category_31,Category_32,Category_33,Category_34,New1,New2,New3,New4,New5,keyN
ILO1,,SOC_CEAP_SEX_GEO_RT,Female,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),ILO,,,,,,,,,,,,,,,,,,,,,1
ILO1,,SOC_CEAP_SEX_GEO_RT,Male,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),ILO,,,,,,,,,,,,,,,,,,,,,1
ILO1,,SOC_CEAP_SEX_GEO_RT,Total,Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%),ILO,,,,,,,,,,,,,,,,,,,,,1
ILO2,,SOC_CEAP_SEX_RT,Total,Active contributors to an old age contributory scheme as a percent of labour force by sex (%),ILO,,,,,,,,,,,,,,,,,,,,,2
ILO3,,SOC_CEAT_NOC_RT,Total,Active contributors to an old age contributory scheme as a percent of labour force (%),ILO,,,,,,,,,,,,,,,,,,,,,3
ILO4,,SOC_CGFR_GEO_RT,Total,Financial deficit by rural / urban areas (% of population not covered due to financial resource deficit) (%),ILO,,,,,,,,,,,,,,,,,,,,,4
ILO5,,SOC_CGHP_GEO_RT,Total,Staff access deficit by rural / urban areas (% of population not covered due to health professional staff deficit) (%),ILO,,,,,,,,,,,,,,,,,,,,,5
ILO6,,SOC_CWAP_SEX_RT,Total,Active contributors to an old age contributory scheme as a percent of the working age population by sex (%),ILO,,,,,,,,,,,,,,,,,,,,,6
ILO7,,SOC_CWAT_NOC_RT,Total,Active contributors to an old age contributory scheme as a percent of the workingage population (%),ILO,,,,,,,,,,,,,,,,,,,,,7
ILO8,,SOC_EBEC_NOC_RT,Total,Public social protection expenditure on benefits for children as a percent of GDP (%),ILO,,,,,,,,,,,,,,,,,,,,,8
ILO9,,SOC_EBEN_AGE_RT,YGE65,Public social protection expenditure on benefits as a percent of GDP by age (%),ILO,,,,,,,,,,,,,,,,,,,,,9
ILO9,,SOC_EBEN_AGE_RT,YGE15,Public social protection expenditure on benefits as a percent of GDP by age (%),ILO,,,,,,,,,,,,,,,,,,,,,9
