Indicator_Id,Indicator,Indicator_Name,answer,Display_Name,Dataset,Rank,Category_11,Category_12,Category_13,Category_14,Category_15,Category_21,Category_22,Category_23,Category_24,Category_25,Category_31,Category_32,Category_33,Category_34,New1,New2,New3,New4,New5,keyN
IPD693,,D9091,D9091,Proportion of unemployed young people in urban areas,IPD,,,,,,,,,,,,,,,,,,,,,693
IPD692,,D9090,D9090,Proportion of unemployed young people in rural areas,IPD,,,,,,,,,,,,,,,,,,,,,692
IPD726,,D9081,D9081,Recognition of occupational safety,IPD,,,,,,,,,,,,,,,,,,,,,726
IPD725,,D9080,D9080,Recognition of occupational health,IPD,,,,,,,,,,,,,,,,,,,,,725
IPD728,,D9071,D9071,Redistribution mechanisms: disadvantaged areas,IPD,,,,,,,,,,,,,,,,,,,,,728
IPD729,,D9070,D9070,Redistribution mechanisms: poorer section of the population,IPD,,,,,,,,,,,,,,,,,,,,,729
IPD829,,D9062,D9062,Share of higher education graduates: informal sector,IPD,,,,,,,,,,,,,,,,,,,,,829
IPD755,,D9061,D9061,Reluctance to hire higher university graduates,IPD,,,,,,,,,,,,,,,,,,,,,755
IPD958,,D9060,D9060,Unemployment rate for young university graduates,IPD,,,,,,,,,,,,,,,,,,,,,958
IPD960,,D9040,D9040,Upward social mobility linked to merit,IPD,,,,,,,,,,,,,,,,,,,,,960
IPD500,,D9032,D9032,Irregularities in obtaining university degrees,IPD,,,,,,,,,,,,,,,,,,,,,500
IPD789,,D9031,D9031,Role of networks in recruitment and promotion in the private sector,IPD,,,,,,,,,,,,,,,,,,,,,789
IPD788,,D9030,D9030,Role of networks in recruitment and promotion in the administration,IPD,,,,,,,,,,,,,,,,,,,,,788
IPD790,,D9030,D9030,Role of networks in recruitment and promotion of senior officials,IPD,,,,,,,,,,,,,,,,,,,,,790
IPD108,,D9021,D9021,Child labour in rural areas,IPD,,,,,,,,,,,,,,,,,,,,,108
IPD109,,D9020,D9020,Child labour in urban areas,IPD,,,,,,,,,,,,,,,,,,,,,109
IPD186,,D9012,D9012,Discrimination on the labour market: gender,IPD,,,,,,,,,,,,,,,,,,,,,186
IPD185,,D9011,D9011,Discrimination on the labour market: communitybased,IPD,,,,,,,,,,,,,,,,,,,,,185
IPD194,,D9010,D9010,Disparity in labour income,IPD,,,,,,,,,,,,,,,,,,,,,194
IPD721,,D9004,D9004,Quality of public services: public transport,IPD,,,,,,,,,,,,,,,,,,,,,721
IPD717,,D9003,D9003,Quality of public services: basic healthcare,IPD,,,,,,,,,,,,,,,,,,,,,717
IPD718,,D9002,D9002,Quality of public services: higher educationuniversity,IPD,,,,,,,,,,,,,,,,,,,,,718
IPD719,,D9001,D9001,Quality of public services: primary and secondary education (rural areas),IPD,,,,,,,,,,,,,,,,,,,,,719
IPD720,,D9000,D9000,Quality of public services: primary and secondary education (urban areas),IPD,,,,,,,,,,,,,,,,,,,,,720
IPD2,,D8000,D8000,Ability to hire foreign executives in firms,IPD,,,,,,,,,,,,,,,,,,,,,2
IPD271,,D7022,D7022,Employers organizations and the general interest,IPD,,,,,,,,,,,,,,,,,,,,,271
IPD982,,D7021,D7021,Workers organizations and the general interest,IPD,,,,,,,,,,,,,,,,,,,,,982
IPD168,,D7020,D7020,Demands of workers and employers organisations taken into account,IPD,,,,,,,,,,,,,,,,,,,,,168
IPD851,,D7012,D7012,Social dialogue effectiveness at branch level,IPD,,,,,,,,,,,,,,,,,,,,,851
IPD852,,D7011,D7011,Social dialogue effectiveness at national level,IPD,,,,,,,,,,,,,,,,,,,,,852
IPD853,,D7010,D7010,Social dialogue effectiveness within companies,IPD,,,,,,,,,,,,,,,,,,,,,853
IPD803,,D7001,D7001,Scale of strike movements: private sector,IPD,,,,,,,,,,,,,,,,,,,,,803
IPD804,,D7000,D7000,Scale of strike movements: public sector,IPD,,,,,,,,,,,,,,,,,,,,,804
IPD274,,D6022,D6022,Employment contract protection: redundancies,IPD,,,,,,,,,,,,,,,,,,,,,274
IPD273,,D6021,D6021,Employment contract protection: individual dismissal,IPD,,,,,,,,,,,,,,,,,,,,,273
IPD834,,D6020,D6020,Share of permanent contracts,IPD,,,,,,,,,,,,,,,,,,,,,834
IPD262,,D6011,D6011,Efficiency of the system of industrial tribunals,IPD,,,,,,,,,,,,,,,,,,,,,262
IPD448,,D6010,D6010,Independence of the workplace inspectorate,IPD,,,,,,,,,,,,,,,,,,,,,448
IPD193,,D6001,D6001,Dismissal procedures observed in the formal sector,IPD,,,,,,,,,,,,,,,,,,,,,193
IPD592,,D6000,D6000,Minimum wage respected in the formal sector,IPD,,,,,,,,,,,,,,,,,,,,,592
IPD404,,D5010,D5010,Higher education system and business needs,IPD,,,,,,,,,,,,,,,,,,,,,404
IPD972,,D5001,D5001,Vocational training adapted to firms requirements?,IPD,,,,,,,,,,,,,,,,,,,,,972
IPD971,,D5000,D5000,Vocational training,IPD,,,,,,,,,,,,,,,,,,,,,971
IPD844,,D4021,D4021,Significance of informal work in rural areas,IPD,,,,,,,,,,,,,,,,,,,,,844
IPD845,,D4020,D4020,Significance of informal work in urban areas,IPD,,,,,,,,,,,,,,,,,,,,,845
IPD675,,D4011,D4011,Professional mobility of formal sector employees,IPD,,,,,,,,,,,,,,,,,,,,,675
IPD727,,D4010,D4010,Redeployment and retraining mechanisms for employees,IPD,,,,,,,,,,,,,,,,,,,,,727
IPD977,,D4002,D4002,Wage indexation to inflation,IPD,,,,,,,,,,,,,,,,,,,,,977
IPD656,,D4001,D4001,Practice of guaranteed employment in the private sector,IPD,,,,,,,,,,,,,,,,,,,,,656
IPD659,,D4000,D4000,Practice of guaranteed hiring of graduates in the public sector,IPD,,,,,,,,,,,,,,,,,,,,,659
IPD638,,D1011,D1011,Pluralism of trade unions,IPD,,,,,,,,,,,,,,,,,,,,,638
IPD348,,D1003,D1003,Freedom for trade unions to operate in firms,IPD,,,,,,,,,,,,,,,,,,,,,348
IPD354,,D1002,D1002,Freedom of collective bargaining in firms,IPD,,,,,,,,,,,,,,,,,,,,,354
IPD781,,D1001,D1001,Right to strike in the public sector and the civil service,IPD,,,,,,,,,,,,,,,,,,,,,781
IPD780,,D1000,D1000,Right to strike in the private sector,IPD,,,,,,,,,,,,,,,,,,,,,780
IPD585,,C9002,C9002,Microfinance: repayment rates,IPD,,,,,,,,,,,,,,,,,,,,,585
IPD469,,C9001,C9001,Institutional microfinance,IPD,,,,,,,,,,,,,,,,,,,,,469
IPD457,,C9000,C9000,Informal microfinance,IPD,,,,,,,,,,,,,,,,,,,,,457
IPD243,,C8003,C8003,Ease of domestic banks and companies to obtain access to international finance,IPD,,,,,,,,,,,,,,,,,,,,,243
IPD244,,C8002,C8002,Ease of foreignfunded firms to obtain loans from local banks,IPD,,,,,,,,,,,,,,,,,,,,,244
IPD308,,C8001,C8001,Existence of establishment rights for foreign banks,IPD,,,,,,,,,,,,,,,,,,,,,308
IPD609,,C8000,C8000,Opening of bank capital to foreign investment,IPD,,,,,,,,,,,,,,,,,,,,,609
IPD897,,C7042,C7042,Strengthening of the systems providing information about the position of banks,IPD,,,,,,,,,,,,,,,,,,,,,897
IPD896,,C7041,C7041,Strengthening of the supervision of the financial system,IPD,,,,,,,,,,,,,,,,,,,,,896
IPD895,,C7040,C7040,Strengthening of the prudential rules in the banking system,IPD,,,,,,,,,,,,,,,,,,,,,895
IPD260,,C7032,C7032,Efficiency of the financial market supervisory authority,IPD,,,,,,,,,,,,,,,,,,,,,260
IPD261,,C7031,C7031,Efficiency of the insurance market supervisory authority,IPD,,,,,,,,,,,,,,,,,,,,,261
IPD259,,C7030,C7030,Efficiency of the banking supervisory authority,IPD,,,,,,,,,,,,,,,,,,,,,259
IPD82,,C7023,C7023,Banking prudential rules: external exposure,IPD,,,,,,,,,,,,,,,,,,,,,82
IPD81,,C7022,C7022,Banking prudential rules: concentration of loans,IPD,,,,,,,,,,,,,,,,,,,,,81
IPD83,,C7021,C7021,Banking prudential rules: sectoral concentration of loans,IPD,,,,,,,,,,,,,,,,,,,,,83
IPD80,,C7020,C7020,Banking prudential rules: asset coverage,IPD,,,,,,,,,,,,,,,,,,,,,80
IPD337,,C7010,C7010,Financial sector: competition regulation,IPD,,,,,,,,,,,,,,,,,,,,,337
IPD123,,C7000,C7000,Competition in the banking system,IPD,,,,,,,,,,,,,,,,,,,,,123
IPD950,,C6020,C6020,Transparency of information on listed companies,IPD,,,,,,,,,,,,,,,,,,,,,950
IPD258,,C6010,C6010,Efficiency of bank guarantees,IPD,,,,,,,,,,,,,,,,,,,,,258
IPD22,,C6001,C6001,Accounts certification for banks,IPD,,,,,,,,,,,,,,,,,,,,,22
IPD877,,C6000,C6000,Standardised accounting system,IPD,,,,,,,,,,,,,,,,,,,,,877
IPD872,,C5020,C5020,Sovereign wealth fund (national),IPD,,,,,,,,,,,,,,,,,,,,,872
IPD172,,C5010,C5010,Development of venture capital,IPD,,,,,,,,,,,,,,,,,,,,,172
IPD848,,C5000,C5000,Skills level of bank executives,IPD,,,,,,,,,,,,,,,,,,,,,848
IPD442,,C4020,C4020,Independence of the Central Bank,IPD,,,,,,,,,,,,,,,,,,,,,442
IPD389,,C4012,C4012,Guidance of the credit flow by the State,IPD,,,,,,,,,,,,,,,,,,,,,389
IPD153,,C4011,C4011,Credit: quantitative control,IPD,,,,,,,,,,,,,,,,,,,,,153
IPD821,,C4000,C4000,Share of Stateowned banks,IPD,,,,,,,,,,,,,,,,,,,,,821
IPD414,,B8030,B8030,Importance of joint ventures,IPD,,,,,,,,,,,,,,,,,,,,,414
IPD759,,B8021,B8021,Resistance to financial liberalisation: public services,IPD,,,,,,,,,,,,,,,,,,,,,759
IPD758,,B8020,B8020,Resistance to financial liberalisation: private companies,IPD,,,,,,,,,,,,,,,,,,,,,758
IPD760,,B8011,B8011,Resistance to trade liberalization: lobby groups,IPD,,,,,,,,,,,,,,,,,,,,,760
IPD605,,B8010,B8010,Obtaining import licenses,IPD,,,,,,,,,,,,,,,,,,,,,605
IPD974,,B8001,B8001,WTO membership,IPD,,,,,,,,,,,,,,,,,,,,,974
IPD154,,B8000,B8000,Currency convertibility,IPD,,,,,,,,,,,,,,,,,,,,,154
IPD706,,B7040,B7040,Public information on the capital structure of firms,IPD,,,,,,,,,,,,,,,,,,,,,706
IPD707,,B7030,B7030,Public ownership in large firms,IPD,,,,,,,,,,,,,,,,,,,,,707
IPD254,,B7020,B7020,"Effectiveness of arrangements to combat restrictive collective agreements (cartels, etc.)",IPD,,,,,,,,,,,,,,,,,,,,,254
IPD827,,B7012,B7012,Share of distribution guaranteed by large foreign firms,IPD,,,,,,,,,,,,,,,,,,,,,827
IPD828,,B7011,B7011,Share of distribution guaranteed by large national firms,IPD,,,,,,,,,,,,,,,,,,,,,828
IPD833,,B7010,B7010,Share of largescale distribution in the retail sector,IPD,,,,,,,,,,,,,,,,,,,,,833
IPD159,,B7001,B7001,De facto obstacles related to established competing firms practices,IPD,,,,,,,,,,,,,,,,,,,,,159
IPD158,,B7000,B7000,"De facto obstacles of an administrative nature (red tape, etc)",IPD,,,,,,,,,,,,,,,,,,,,,158
IPD665,,B6092,B6092,Price tension on land: averagesized towns,IPD,,,,,,,,,,,,,,,,,,,,,665
IPD666,,B6091,B6091,Price tension on land: large conglomerations,IPD,,,,,,,,,,,,,,,,,,,,,666
IPD663,,B6090,B6090,Pressure on land: rural areas,IPD,,,,,,,,,,,,,,,,,,,,,663
IPD543,,B6083,B6083,Land tenure rights: rural areas,IPD,,,,,,,,,,,,,,,,,,,,,543
IPD544,,B6082,B6082,Land tenure rights: urban and periurban areas,IPD,,,,,,,,,,,,,,,,,,,,,544
IPD542,,B6081,B6081,Land issues as a political and media concern,IPD,,,,,,,,,,,,,,,,,,,,,542
IPD289,,B6080,B6080,"Evictionexpulsion operations (excluding conflicts, etc.)",IPD,,,,,,,,,,,,,,,,,,,,,289
IPD708,,B6071,B6071,Public policies for access to land: disadvantaged groups,IPD,,,,,,,,,,,,,,,,,,,,,708
IPD673,,B6070,B6070,Procedures for land tenure formalisation and registration,IPD,,,,,,,,,,,,,,,,,,,,,673
IPD541,,B6060,B6060,Land in public ownership,IPD,,,,,,,,,,,,,,,,,,,,,541
IPD943,,B6050,B6050,Traditional rights system: rural land,IPD,,,,,,,,,,,,,,,,,,,,,943
IPD198,,B6040,B6040,Diversity of the land tenure system: recognition by the State,IPD,,,,,,,,,,,,,,,,,,,,,198
IPD197,,B6030,B6030,Diversity of the land tenure system,IPD,,,,,,,,,,,,,,,,,,,,,197
IPD479,,B6022,B6022,Intellectual property: intangible goods,IPD,,,,,,,,,,,,,,,,,,,,,479
IPD478,,B6021,B6021,Intellectual property: industrial counterfeiting,IPD,,,,,,,,,,,,,,,,,,,,,478
IPD480,,B6020,B6020,Intellectual property: trade secretsindustrial patents,IPD,,,,,,,,,,,,,,,,,,,,,480
IPD908,,B6011,B6011,System of norms and standards (international system),IPD,,,,,,,,,,,,,,,,,,,,,908
IPD909,,B6010,B6010,System of norms and standards (national system),IPD,,,,,,,,,,,,,,,,,,,,,909
IPD497,,B6004,B6004,Intervention of international auditing firms,IPD,,,,,,,,,,,,,,,,,,,,,497
IPD106,,B6003,B6003,Certification of company accounts (large firms),IPD,,,,,,,,,,,,,,,,,,,,,106
IPD105,,B6002,B6002,Certification of company accounts (SMEs),IPD,,,,,,,,,,,,,,,,,,,,,105
IPD878,,B6001,B6001,Standardised accounting system: large companies,IPD,,,,,,,,,,,,,,,,,,,,,878
IPD875,,B6000,B6000,Standard accounting system  (SMEs),IPD,,,,,,,,,,,,,,,,,,,,,875
IPD902,,B5022,B5022,Subcontracting: national and foreign firms,IPD,,,,,,,,,,,,,,,,,,,,,902
IPD901,,B5021,B5021,Subcontracting: large national firms and SMEs,IPD,,,,,,,,,,,,,,,,,,,,,901
IPD900,,B5020,B5020,Subcontracting: between SMEs,IPD,,,,,,,,,,,,,,,,,,,,,900
IPD714,,B5013,B5013,Public support in moving upmarket and acquiring technologies: large companies,IPD,,,,,,,,,,,,,,,,,,,,,714
