"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"IPU","House of the People Bicameral","Number.of.seats","House of the People Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Elders Bicameral","Number.of.seats","House of Elders Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Parliament Unicameral","Number.of.seats","Parliament Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National People's Assembly Bicameral","Number.of.seats","National People's Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Nation Bicameral","Number.of.seats","Council of the Nation Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","General Council Unicameral","Number.of.seats","General Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly Unicameral","Number.of.seats","National Assembly Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Representatives Bicameral","Number.of.seats","House of Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Senate Bicameral","Number.of.seats","Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Deputies Bicameral","Number.of.seats","Chamber of Deputies Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Council Bicameral","Number.of.seats","National Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal Council Bicameral","Number.of.seats","Federal Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Assembly Bicameral","Number.of.seats","House of Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of Representatives Bicameral","Number.of.seats","Council of Representatives Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Shura Council Bicameral","Number.of.seats","Shura Council Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Council of the Republic Bicameral","Number.of.seats","Council of the Republic Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National Assembly Bicameral","Number.of.seats","National Assembly Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Chamber of Senators Bicameral","Number.of.seats","Chamber of Senators Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Peoples Bicameral","Number.of.seats","House of Peoples Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Federal Senate Bicameral","Number.of.seats","Federal Senate Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","Legislative Council Unicameral","Number.of.seats","Legislative Council Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","House of Commons Bicameral","Number.of.seats","House of Commons Bicameral","","","","","","","","","","","","","","","","","","","","","","",""
"IPU","National People's Congress Unicameral","Number.of.seats","National People's Congress Unicameral","","","","","","","","","","","","","","","","","","","","","","",""
