Indicator_Id;Indicator;Display_Name;Dataset;Rank;Category_11;Category_12;Category_13;Category_14;Category_15;Category_21;Category_22;Category_23;Category_24;Category_25;Category_31;Category_32;Category_33;Category_34;New1;New2;New3;New4;New5
;House of the People Bicameral;House of the People Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;House of Elders Bicameral;House of Elders Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Parliament Unicameral;Parliament Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;National People's Assembly Bicameral;National People's Assembly Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Council of the Nation Bicameral;Council of the Nation Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;General Council Unicameral;General Council Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;National Assembly Unicameral;National Assembly Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;House of Representatives Bicameral;House of Representatives Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Senate Bicameral;Senate Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Chamber of Deputies Bicameral;Chamber of Deputies Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;National Council Bicameral;National Council Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Federal Council Bicameral;Federal Council Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;House of Assembly Bicameral;House of Assembly Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Council of Representatives Bicameral;Council of Representatives Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Shura Council Bicameral;Shura Council Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Council of the Republic Bicameral;Council of the Republic Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;National Assembly Bicameral;National Assembly Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;House of Peoples Bicameral;House of Peoples Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Federal Senate Bicameral;Federal Senate Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Legislative Council Unicameral;Legislative Council Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
