dataset;iso3;subset;year;group;question;answer;indicator;value;keyN;Indicator_Id
IPU;AFG;All;2016;House of the People Bicameral;House of the People Bicameral;Percentage of women;House of the People Bicameral Percentage of women;27.71;40;IPU40
IPU;AFG;All;2016;House of Elders Bicameral;House of Elders Bicameral;Percentage of women;House of Elders Bicameral Percentage of women;26.47;32;IPU32
IPU;ALB;All;2016;Parliament Unicameral;Parliament Unicameral;Percentage of women;Parliament Unicameral Percentage of women;0;56;IPU56
IPU;DZA;All;2016;National People's Assembly Bicameral;National Peoples Assembly Bicameral;Percentage of women;National People's Assembly Bicameral Percentage of women;25.76;54;IPU54
IPU;DZA;All;2016;Council of the Nation Bicameral;Council of the Nation Bicameral;Percentage of women;Council of the Nation Bicameral Percentage of women;6.99;15;IPU15
IPU;ADO;All;2016;General Council Unicameral;General Council Unicameral;Percentage of women;General Council Unicameral Percentage of women;32.14;22;IPU22
IPU;AGO;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;38.18;46;IPU46
IPU;ATG;All;2016;House of Representatives Bicameral;House of Representatives Bicameral;Percentage of women;House of Representatives Bicameral Percentage of women;11.11;37;IPU37
IPU;ATG;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;29.41;63;IPU63
IPU;ARG;All;2016;Chamber of Deputies Bicameral;Chamber of Deputies Bicameral;Percentage of women;Chamber of Deputies Bicameral Percentage of women;38.91;6;IPU6
IPU;ARG;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;41.67;63;IPU63
IPU;ARM;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;18.1;46;IPU46
IPU;AUS;All;2016;House of Representatives Bicameral;House of Representatives Bicameral;Percentage of women;House of Representatives Bicameral Percentage of women;28.67;37;IPU37
IPU;AUS;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;40.79;63;IPU63
IPU;AUT;All;2016;National Council Bicameral;National Council Bicameral;Percentage of women;National Council Bicameral Percentage of women;30.6;49;IPU49
IPU;AUT;All;2016;Federal Council Bicameral;Federal Council Bicameral;Percentage of women;Federal Council Bicameral Percentage of women;31.15;19;IPU19
IPU;AZE;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;16.8;46;IPU46
IPU;BHS;All;2016;House of Assembly Bicameral;House of Assembly Bicameral;Percentage of women;House of Assembly Bicameral Percentage of women;12.82;27;IPU27
IPU;BHS;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;43.75;63;IPU63
IPU;BHR;All;2016;Council of Representatives Bicameral;Council of Representatives Bicameral;Percentage of women;Council of Representatives Bicameral Percentage of women;7.5;11;IPU11
IPU;BHR;All;2016;Shura Council Bicameral;Shura Council Bicameral;Percentage of women;Shura Council Bicameral Percentage of women;22.5;64;IPU64
IPU;BGD;All;2016;Parliament Unicameral;Parliament Unicameral;Percentage of women;Parliament Unicameral Percentage of women;20.29;56;IPU56
IPU;BRB;All;2016;House of Assembly Bicameral;House of Assembly Bicameral;Percentage of women;House of Assembly Bicameral Percentage of women;16.67;27;IPU27
IPU;BRB;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;23.81;63;IPU63
IPU;BLR;All;2016;House of Representatives Bicameral;House of Representatives Bicameral;Percentage of women;House of Representatives Bicameral Percentage of women;34.55;37;IPU37
IPU;BLR;All;2016;Council of the Republic Bicameral;Council of the Republic Bicameral;Percentage of women;Council of the Republic Bicameral Percentage of women;30.36;16;IPU16
IPU;BEL;All;2016;House of Representatives Bicameral;House of Representatives Bicameral;Percentage of women;House of Representatives Bicameral Percentage of women;38;37;IPU37
IPU;BEL;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;50;63;IPU63
IPU;BLZ;All;2016;House of Representatives Bicameral;House of Representatives Bicameral;Percentage of women;House of Representatives Bicameral Percentage of women;9.380000000000001;37;IPU37
IPU;BLZ;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;15.38;63;IPU63
IPU;BEN;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;7.23;46;IPU46
IPU;BTN;All;2016;National Assembly Bicameral;National Assembly Bicameral;Percentage of women;National Assembly Bicameral Percentage of women;8.51;45;IPU45
IPU;BTN;All;2016;National Council Bicameral;National Council Bicameral;Percentage of women;National Council Bicameral Percentage of women;8;49;IPU49
IPU;BIH;All;2016;House of Representatives Bicameral;House of Representatives Bicameral;Percentage of women;House of Representatives Bicameral Percentage of women;21.43;37;IPU37
IPU;BIH;All;2016;House of Peoples Bicameral;House of Peoples Bicameral;Percentage of women;House of Peoples Bicameral Percentage of women;13.33;35;IPU35
IPU;BWA;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;9.52;46;IPU46
IPU;BRA;All;2016;Chamber of Deputies Bicameral;Chamber of Deputies Bicameral;Percentage of women;Chamber of Deputies Bicameral Percentage of women;10.72;6;IPU6
IPU;BRA;All;2016;Federal Senate Bicameral;Federal Senate Bicameral;Percentage of women;Federal Senate Bicameral Percentage of women;14.81;21;IPU21
IPU;BRN;All;2016;Legislative Council Unicameral;Legislative Council Unicameral;Percentage of women;Legislative Council Unicameral Percentage of women;9.09;43;IPU43
IPU;BGR;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;23.75;46;IPU46
IPU;BFA;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;11.02;46;IPU46
IPU;BDI;All;2016;National Assembly Bicameral;National Assembly Bicameral;Percentage of women;National Assembly Bicameral Percentage of women;36.36;45;IPU45
IPU;BDI;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;41.86;63;IPU63
IPU;CPV;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;23.61;46;IPU46
IPU;KHM;All;2016;National Assembly Bicameral;National Assembly Bicameral;Percentage of women;National Assembly Bicameral Percentage of women;20.33;45;IPU45
IPU;KHM;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;14.75;63;IPU63
IPU;CMR;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;20;63;IPU63
IPU;CMR;All;2016;National Assembly Bicameral;National Assembly Bicameral;Percentage of women;National Assembly Bicameral Percentage of women;31.11;45;IPU45
IPU;CAN;All;2016;House of Commons Bicameral;House of Commons Bicameral;Percentage of women;House of Commons Bicameral Percentage of women;26.27;29;IPU29
IPU;CAN;All;2016;Senate Bicameral;Senate Bicameral;Percentage of women;Senate Bicameral Percentage of women;43;63;IPU63
IPU;CAF;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;8.57;46;IPU46
IPU;TCD;All;2016;National Assembly Unicameral;National Assembly Unicameral;Percentage of women;National Assembly Unicameral Percentage of women;14.89;46;IPU46
