"dataset","iso3","subset","year","group","question","answer","indicator","value","keyN","Indicator_Id"
"PEFA","NER","All",2013,"PI-1","Aggregate expenditure outturn compared to original approved budget","Total","PI-1 Public",1,1,"PEFA1"
"PEFA","NER","All",2013,"PI-1","i The difference between actual primary expenditure and the originally budgeted primary expenditure ie excluding debt service charges but also excluding","Total","PI-1 Public",1,60,"PEFA60"
"PEFA","NER","All",2013,"PI-2","Composition of expenditure outturn compared to original approved budget","Total","PI-2 Public",2.5,5,"PEFA5"
"PEFA","NER","All",2013,"PI-2","i Extent of the variance in expenditure composition during the last three years excluding contingency items the methodolodgy to rate this dimension is set out in the footnote of the PFM PMF booklet","Total","PI-2 Public",2,47,"PEFA47"
"PEFA","NER","All",2013,"PI-2","ii The average amount of expenditure actually charged to the contingency vote over the last three years","Total","PI-2 Public",4,83,"PEFA83"
"PEFA","NER","All",2013,"PI-3","Aggregate revenue outturn compared to original approved budget","Total","PI-3 Public",1,2,"PEFA2"
"PEFA","NER","All",2013,"PI-3","i Actual domestic revenue collection compared to domestic revenue in the originally approved budget","Total","PI-3 Public",1,33,"PEFA33"
"PEFA","NER","All",2013,"PI-4","Stock and monitoring of expenditure payment arrears","Total","PI-4 Public",1.5,28,"PEFA28"
"PEFA","NER","All",2013,"PI-4","i Stock of expenditure payment arrears as a percentage of actual total expenditure for the corresponding fiscal year and any recent change in the stock","Total","PI-4 Public",1,58,"PEFA58"
"PEFA","NER","All",2013,"PI-4","ii Availability of data for monitoring the stock of expenditure payment arrears","Total","PI-4 Public",3,66,"PEFA66"
"PEFA","NER","All",2013,"PI-5","Classification of the budget","Total","PI-5 Public",2,4,"PEFA4"
"PEFA","NER","All",2013,"PI-5","i The classification system used for formulation execution and reporting of the central governments budget","Total","PI-5 Public",2,59,"PEFA59"
"PEFA","NER","All",2013,"PI-6","Comprehensiveness of information included in budget documentation","Total","PI-6 Public",2,6,"PEFA6"
"PEFA","NER","All",2013,"PI-6","i Share of the listed information under PI6 in the PFM PMF booklet in the budget documentation most recently issued by the central government in order to count in the assessment the full specification of the information benchmark must be met","Total","PI-6 Public",2,57,"PEFA57"
"PEFA","NER","All",2013,"PI-7","Extent of unreported government operations","Total","PI-7 Public",3.5,12,"PEFA12"
"PEFA","NER","All",2013,"PI-7","i The level of extrabudgetary expenditure other than donor funded projects which is unreported ie not included in fiscal reports","Total","PI-7 Public",4,61,"PEFA61"
"PEFA","NER","All",2013,"PI-7","ii Incomeexpenditure information on donorfunded projects which is included in fiscal reports","Total","PI-7 Public",3,77,"PEFA77"
"PEFA","NER","All",2013,"PI-8","Transparency of intergovernmental fiscal relations","Total","PI-8 Public",1,31,"PEFA31"
"PEFA","NER","All",2013,"PI-8","i Transparent and rules based systems in the horizontal allocation among SN governments of unconditional and conditional transfers from central government both budgeted and actual allocations","Total","PI-8 Public",1,64,"PEFA64"
"PEFA","NER","All",2013,"PI-8","iii Extent to which consolidated fiscal data at least on revenue and expenditure is collected and reported for general government according to sectoral categories","Total","PI-8 Public",1,97,"PEFA97"
"PEFA","NER","All",2013,"PI-9","Oversight of aggregate fiscal risk from other public sector entities","Total","PI-9 Public",2.5,18,"PEFA18"
