dataset,iso3,subset,year,group,question,answer,indicator,value,keyN,Indicator_Id
SGI,AUS,All,2014, Access to Government Information, Access to Government Information,Total, Access to Government Information,8,1,SGI1
SGI,AUS,All,2015, Access to Government Information, Access to Government Information,Total, Access to Government Information,8,1,SGI1
SGI,AUS,All,2016, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,AUS,All,2017, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,AUT,All,2014, Access to Government Information, Access to Government Information,Total, Access to Government Information,8,1,SGI1
SGI,AUT,All,2015, Access to Government Information, Access to Government Information,Total, Access to Government Information,8,1,SGI1
SGI,AUT,All,2016, Access to Government Information, Access to Government Information,Total, Access to Government Information,8,1,SGI1
SGI,AUT,All,2017, Access to Government Information, Access to Government Information,Total, Access to Government Information,8,1,SGI1
SGI,BEL,All,2014, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,BEL,All,2015, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,BEL,All,2016, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,BEL,All,2017, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,BGR,All,2014, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,BGR,All,2015, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,BGR,All,2016, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,BGR,All,2017, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,CAN,All,2014, Access to Government Information, Access to Government Information,Total, Access to Government Information,6,1,SGI1
SGI,CAN,All,2015, Access to Government Information, Access to Government Information,Total, Access to Government Information,6,1,SGI1
SGI,CAN,All,2016, Access to Government Information, Access to Government Information,Total, Access to Government Information,6,1,SGI1
SGI,CAN,All,2017, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,CHE,All,2014, Access to Government Information, Access to Government Information,Total, Access to Government Information,9,1,SGI1
SGI,CHE,All,2015, Access to Government Information, Access to Government Information,Total, Access to Government Information,9,1,SGI1
SGI,CHE,All,2016, Access to Government Information, Access to Government Information,Total, Access to Government Information,9,1,SGI1
SGI,CHE,All,2017, Access to Government Information, Access to Government Information,Total, Access to Government Information,9,1,SGI1
SGI,CHL,All,2014, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,CHL,All,2015, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
SGI,CHL,All,2016, Access to Government Information, Access to Government Information,Total, Access to Government Information,7,1,SGI1
