Indicator_Id,Indicator,Indicator_Name,answer,Display_Name,Dataset,Rank,Category_11,Category_12,Category_13,Category_14,Category_15,Category_21,Category_22,Category_23,Category_24,Category_25,Category_31,Category_32,Category_33,Category_34,New1,New2,New3,New4,New5,keyN
SGI1,, Access to Government Information,Total, Access to Government Information,SGI,,,,,,,,,,,,,,,,,,,,,1
SGI10,, Budget Consolidation,Total, Budget Consolidation,SGI,,,,,,,,,,,,,,,,,,,,,10
SGI100,, Multilateral Environmental Agreements,Total, Multilateral Environmental Agreements,SGI,,,,,,,,,,,,,,,,,,,,,100
SGI101,, NEET Rate,Total, NEET Rate,SGI,,,,,,,,,,,,,,,,,,,,,101
SGI102,, National Standards,Total, National Standards,SGI,,,,,,,,,,,,,,,,,,,,,102
SGI103,, Negotiating Public Support,Total, Negotiating Public Support,SGI,,,,,,,,,,,,,,,,,,,,,103
SGI104,, Newspaper Circulation,Total, Newspaper Circulation,SGI,,,,,,,,,,,,,,,,,,,,,104
SGI105,, Non-discrimination,Total, Non-discrimination,SGI,,,,,,,,,,,,,,,,,,,,,105
SGI106,, Non-public R&D Spending,Total, Non-public R&D Spending,SGI,,,,,,,,,,,,,,,,,,,,,106
SGI107,, ODA,Total, ODA,SGI,,,,,,,,,,,,,,,,,,,,,107
SGI108,, Obtaining Documents,Total, Obtaining Documents,SGI,,,,,,,,,,,,,,,,,,,,,108
SGI109,, Old Age Dependency Ratio,Total, Old Age Dependency Ratio,SGI,,,,,,,,,,,,,,,,,,,,,109
SGI11,, Budgetary Policy,Total, Budgetary Policy,SGI,,,,,,,,,,,,,,,,,,,,,11
SGI110,, Older Employment,Total, Older Employment,SGI,,,,,,,,,,,,,,,,,,,,,110
SGI111,, Ombuds Office,Total, Ombuds Office,SGI,,,,,,,,,,,,,,,,,,,,,111
SGI112,, Organizational Reform,Total, Organizational Reform,SGI,,,,,,,,,,,,,,,,,,,,,112
SGI113,, PCT Patent Applications,Total, PCT Patent Applications,SGI,,,,,,,,,,,,,,,,,,,,,113
SGI114,," PISA, Socioeconomic Background",Total," PISA, Socioeconomic Background",SGI,,,,,,,,,,,,,,,,,,,,,114
SGI115,, PISA results,Total, PISA results,SGI,,,,,,,,,,,,,,,,,,,,,115
SGI116,, Parliamentary Resources,Total, Parliamentary Resources,SGI,,,,,,,,,,,,,,,,,,,,,116
SGI117,, Particulate Matter,Total, Particulate Matter,SGI,,,,,,,,,,,,,,,,,,,,,117
SGI118,, Parties and Interest Associations,Total, Parties and Interest Associations,SGI,,,,,,,,,,,,,,,,,,,,,118
SGI119,, Party Financing,Total, Party Financing,SGI,,,,,,,,,,,,,,,,,,,,,119
SGI12,, Budgets,Total, Budgets,SGI,,,,,,,,,,,,,,,,,,,,,12
SGI120,, Pension Policy,Total, Pension Policy,SGI,,,,,,,,,,,,,,,,,,,,,120
SGI121,, Pensions,Total, Pensions,SGI,,,,,,,,,,,,,,,,,,,,,121
SGI122,, Perceived Health Status,Total, Perceived Health Status,SGI,,,,,,,,,,,,,,,,,,,,,122
SGI123,, Policy Communication,Total, Policy Communication,SGI,,,,,,,,,,,,,,,,,,,,,123
SGI124,, Policy Knowledge,Total, Policy Knowledge,SGI,,,,,,,,,,,,,,,,,,,,,124
SGI125,, Policy Performance,Total, Policy Performance,SGI,,,,,,,,,,,,,,,,,,,,,125
SGI126,, Political Liberties,Total, Political Liberties,SGI,,,,,,,,,,,,,,,,,,,,,126
SGI127,, Popular Decision-Making,Total, Popular Decision-Making,SGI,,,,,,,,,,,,,,,,,,,,,127
SGI128,," Potential Output, Growth Rate",Total," Potential Output, Growth Rate",SGI,,,,,,,,,,,,,,,,,,,,,128
SGI129,, Poverty Rate,Total, Poverty Rate,SGI,,,,,,,,,,,,,,,,,,,,,129
SGI13,, Cabinet Committees,Total, Cabinet Committees,SGI,,,,,,,,,,,,,,,,,,,,,13
SGI130,, Pre-primary Expenditure,Total, Pre-primary Expenditure,SGI,,,,,,,,,,,,,,,,,,,,,130
SGI131,, Primary Balance,Total, Primary Balance,SGI,,,,,,,,,,,,,,,,,,,,,131
