Indicator_Id,Indicator,Indicator_Name,answer,Display_Name,Dataset,Rank,Category_11,Category_12,Category_13,Category_14,Category_15,Category_21,Category_22,Category_23,Category_24,Category_25,Category_31,Category_32,Category_33,Category_34,New1,New2,New3,New4,New5,keyN
WBL129,,Is there a specialized court or procedure for cases of domestic violence?,Total,Is there a specialized court or procedure for cases of domestic violence?,WBL,,,,,,,,,,,,,,,,,,,,,129
WBL107,,Has legislation provided for the removal of provisions which exempt perpetrators from facing charges for rape if the perpetrator marries the victim after the crime?,Total,Has legislation provided for the removal of provisions which exempt perpetrators from facing charges for rape if the perpetrator marries the victim after the crime?,WBL,,,,,,,,,,,,,,,,,,,,,107
WBL121,,"If there is no specific provision that explicitly criminalizes marital rape, can a woman otherwise file a criminal complaint against her husband for rape? ",Total,If there is no specific provision that explicitly criminalizes marital rape can a woman otherwise file a criminal complaint against her husband for rape?,WBL,,,,,,,,,,,,,,,,,,,,,121
WBL85,,Does legislation explicitly criminalize marital rape?,Total,Does legislation explicitly criminalize marital rape?,WBL,,,,,,,,,,,,,,,,,,,,,85
WBL13,,Are there penalties in the law for authorizing or knowingly entering into child or early marriage? ,Total,Are there penalties in the law for authorizing or knowingly entering into child or early marriage?,WBL,,,,,,,,,,,,,,,,,,,,,13
WBL103,,Does the law prohibit or invalidate child or early marriage?,Total,Does the law prohibit or invalidate child or early marriage?,WBL,,,,,,,,,,,,,,,,,,,,,103
WBL152,,What is the minimum age of marriage with judicial authorization for girls?,Total,What is the minimum age of marriage with judicial authorization for girls?,WBL,,,,,,,,,,,,,,,,,,,,,152
WBL151,,What is the minimum age of marriage with judicial authorization for boys?,Total,What is the minimum age of marriage with judicial authorization for boys?,WBL,,,,,,,,,,,,,,,,,,,,,151
WBL154,,What is the minimum age of marriage with parental consent for girls?,Total,What is the minimum age of marriage with parental consent for girls?,WBL,,,,,,,,,,,,,,,,,,,,,154
WBL153,,What is the minimum age of marriage with parental consent for boys?,Total,What is the minimum age of marriage with parental consent for boys?,WBL,,,,,,,,,,,,,,,,,,,,,153
WBL5,,Are there any exceptions to the legal age of marriage?,Total,Are there any exceptions to the legal age of marriage?,WBL,,,,,,,,,,,,,,,,,,,,,5
WBL142,,What is the legal age of marriage for girls?,Total,What is the legal age of marriage for girls?,WBL,,,,,,,,,,,,,,,,,,,,,142
WBL141,,What is the legal age of marriage for boys?,Total,What is the legal age of marriage for boys?,WBL,,,,,,,,,,,,,,,,,,,,,141
WBL133,,Is there legislation on sexual harassment in public places?,Total,Is there legislation on sexual harassment in public places?,WBL,,,,,,,,,,,,,,,,,,,,,133
WBL131,,Is there legislation on sexual harassment in education?,Total,Is there legislation on sexual harassment in education?,WBL,,,,,,,,,,,,,,,,,,,,,131
WBL8,,Are there criminal penalties for sexual harassment in employment?,Total,Are there criminal penalties for sexual harassment in employment?,WBL,,,,,,,,,,,,,,,,,,,,,8
WBL6,,Are there civil remedies for sexual harassment in employment?,Total,Are there civil remedies for sexual harassment in employment?,WBL,,,,,,,,,,,,,,,,,,,,,6
WBL132,,Is there legislation on sexual harassment in employment?,Total,Is there legislation on sexual harassment in employment?,WBL,,,,,,,,,,,,,,,,,,,,,132
WBL134,,Is there legislation that specifically addresses sexual harassment?,Total,Is there legislation that specifically addresses sexual harassment?,WBL,,,,,,,,,,,,,,,,,,,,,134
WBL67,,Do protection orders cover prohibition of contact and maintaining distance from the survivor?,Total,Do protection orders cover prohibition of contact and maintaining distance from the survivor?,WBL,,,,,,,,,,,,,,,,,,,,,67
WBL69,,Do protection orders provide for removal of the perpetrator from the home?,Total,Do protection orders provide for removal of the perpetrator from the home?,WBL,,,,,,,,,,,,,,,,,,,,,69
WBL68,,Do protection orders for domestic violence exist?,Total,Do protection orders for domestic violence exist?,WBL,,,,,,,,,,,,,,,,,,,,,68
WBL84,,Does domestic violence legislation protect unmarried intimate partners?,Total,Does domestic violence legislation protect unmarried intimate partners?,WBL,,,,,,,,,,,,,,,,,,,,,84
WBL83,,Does domestic violence legislation protect former spouses?,Total,Does domestic violence legislation protect former spouses?,WBL,,,,,,,,,,,,,,,,,,,,,83
WBL79,,Does domestic violence legislation cover economic violence?,Total,Does domestic violence legislation cover economic violence?,WBL,,,,,,,,,,,,,,,,,,,,,79
WBL80,,Does domestic violence legislation cover emotional violence?,Total,Does domestic violence legislation cover emotional violence?,WBL,,,,,,,,,,,,,,,,,,,,,80
WBL82,,Does domestic violence legislation cover sexual violence?,Total,Does domestic violence legislation cover sexual violence?,WBL,,,,,,,,,,,,,,,,,,,,,82
WBL81,,Does domestic violence legislation cover physical violence?,Total,Does domestic violence legislation cover physical violence?,WBL,,,,,,,,,,,,,,,,,,,,,81
WBL7,,Are there clear criminal penalties for domestic violence?,Total,Are there clear criminal penalties for domestic violence?,WBL,,,,,,,,,,,,,,,,,,,,,7
WBL120,,"If there is no legislation specifically protecting against domestic violence, are there aggravating penalties for crimes against a spouse or family member?",Total,If there is no legislation specifically protecting against domestic violence are there aggravating penalties for crimes against a spouse or family member?,WBL,,,,,,,,,,,,,,,,,,,,,120
WBL130,,Is there domestic violence legislation?,Total,Is there domestic violence legislation?,WBL,,,,,,,,,,,,,,,,,,,,,130
