dataset,iso3,subset,year,group,question,answer,indicator,value,keyN,Indicator_Id
WJP,ALB,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.51,65,WJP65
WJP,ARG,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.58,65,WJP65
WJP,AUS,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.8100000000000001,65,WJP65
WJP,AUT,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.8,65,WJP65
WJP,BGD,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.33,65,WJP65
WJP,BLR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.55,65,WJP65
WJP,BEL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.76,65,WJP65
WJP,BOL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.39,65,WJP65
WJP,BIH,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.7,65,WJP65
WJP,BWA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.66,65,WJP65
WJP,BRA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.44,65,WJP65
WJP,BGR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.51,65,WJP65
WJP,BFA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.38,65,WJP65
WJP,KHM,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.34,65,WJP65
WJP,CMR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.28,65,WJP65
WJP,CAN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.76,65,WJP65
WJP,CHL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.61,65,WJP65
WJP,CHN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.49,65,WJP65
WJP,COL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.43,65,WJP65
WJP,CIV,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.29,65,WJP65
WJP,HRV,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.66,65,WJP65
WJP,CZE,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.77,65,WJP65
WJP,DNK,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.91,65,WJP65
WJP,DOM,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.55,65,WJP65
WJP,ECU,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.45,65,WJP65
WJP,EGY,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.31,65,WJP65
WJP,SLV,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.27,65,WJP65
WJP,EST,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.75,65,WJP65
WJP,ETH,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.41,65,WJP65
WJP,FIN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.91,65,WJP65
WJP,FRA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.74,65,WJP65
WJP,GEO,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.5600000000000001,65,WJP65
WJP,DEU,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.77,65,WJP65
WJP,GHA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.48,65,WJP65
WJP,GRC,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.53,65,WJP65
WJP,GTM,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.47,65,WJP65
WJP,HKG,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.78,65,WJP65
WJP,HUN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.61,65,WJP65
WJP,IND,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.39,65,WJP65
WJP,IDN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.39,65,WJP65
WJP,IRN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.39,65,WJP65
WJP,ITA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.69,65,WJP65
WJP,JAM,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.4,65,WJP65
WJP,JPN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.69,65,WJP65
WJP,JOR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.5,65,WJP65
WJP,KAZ,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.44,65,WJP65
WJP,KEN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.41,65,WJP65
WJP,KGZ,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.32,65,WJP65
WJP,LBN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.44,65,WJP65
WJP,LBR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.37,65,WJP65
WJP,MKD,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.54,65,WJP65
WJP,MDG,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.45,65,WJP65
WJP,MWI,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.32,65,WJP65
WJP,MYS,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.59,65,WJP65
WJP,MEX,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.37,65,WJP65
WJP,MDA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.36,65,WJP65
WJP,MNG,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.46,65,WJP65
WJP,MAR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.32,65,WJP65
WJP,NPL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.48,65,WJP65
WJP,NLD,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.89,65,WJP65
WJP,NZL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.84,65,WJP65
WJP,NIC,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.39,65,WJP65
WJP,NGA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.21,65,WJP65
WJP,NOR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.92,65,WJP65
WJP,PAK,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.28,65,WJP65
WJP,PAN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.44,65,WJP65
WJP,PER,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.61,65,WJP65
WJP,PHL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.4,65,WJP65
WJP,POL,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.86,65,WJP65
WJP,PRT,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.66,65,WJP65
WJP,KOR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.8,65,WJP65
WJP,ROM,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.65,65,WJP65
WJP,RUS,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.32,65,WJP65
WJP,SEN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.41,65,WJP65
WJP,SRB,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.5,65,WJP65
WJP,SLE,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.4,65,WJP65
WJP,SGP,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.85,65,WJP65
WJP,SVN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.72,65,WJP65
WJP,ZAF,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.52,65,WJP65
WJP,ESP,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.82,65,WJP65
WJP,LKA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.42,65,WJP65
WJP,SWE,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.9300000000000001,65,WJP65
WJP,TZA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.38,65,WJP65
WJP,THA,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.58,65,WJP65
WJP,TUN,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.44,65,WJP65
WJP,TUR,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.54,65,WJP65
WJP,ARE,All,2013,8.7,87 Due process of law and rights of the accused,Total,8.7,.66,65,WJP65
