Indicator_Id;Indicator_Name;Display_Name;Dataset;Value_Type_Slug;Units;Rank_1;Category_11;Category_12;Category_13;Category_14;Category_15;Rank_2;Category_21;Category_22;Category_23;Category_24;Category_25;Rank_3;Category_31;Category_32;Category_33;Category_34;answer;keyN
WJP65;8.7;87 Due process of law and rights of the accused;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;65
WJP64;8.6;86 Criminal system is free of improper government influence;WJP;;;;Checks and Balances;Judiciary System;;;;;Absence of Corruption;Prevention and sanction;;;;;Absence of Corruption;Incidence;;;Total;64
WJP63;8.5;85 Criminal system is free of corruption;WJP;;;;Checks and Balances;Judiciary System;;;;;Absence of Corruption;Prevention and sanction;;;;;Absence of Corruption;Incidence;;;Total;63
WJP62;8.4;84 Criminal system is impartial;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;62
WJP61;8.3;83 Correctional system is effective in reducing criminal behavior;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;61
WJP60;8.2;82 Criminal adjudication system is timely and effective;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;60
WJP59;8.1;81 Criminal investigation system is effective;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;59
WJP77;Factor 8;Factor 8 Criminal Justice;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;77
WJP57;7.7;77 ADRs are accessible impartial and effective;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;57
WJP55;7.6;76 Civil justice is effectively enforced;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;55
WJP54;7.5;75 Civil justice is not subject to unreasonable delays;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;54
WJP52;7.4;74 Civil justice is free of improper government influence;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;52
WJP51;7.3;73 Civil justice is free of corruption;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;51
WJP50;7.2;72 Civil justice is free of discrimination;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;50
WJP49;7.1;71 People can access and afford civil justice;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;49
WJP76;Factor 7;Factor 7 Civil Justice;WJP;;;;Checks and Balances;Judiciary System;;;;;;;;;;;;;;;Total;76
WJP47;6.5;65 The Government does not expropriate without adequate compensation;WJP;;;;Public Sector Management;Enforcement;;;;;;;;;;;;;;;Total;47
WJP46;6.4;64 Due process is respected in administrative proceedings;WJP;;;;Public Sector Management;Enforcement;;;;;;;;;;;;;;;Total;46
WJP45;6.3;63 Administrative proceedings are conducted without unreasonable delay;WJP;;;;Public Sector Management;Enforcement;;;;;;;;;;;;;;;Total;45
WJP44;6.2;62 Government regulations are applied and enforced without improper influence;WJP;;;;Public Sector Management;Enforcement;;;;;;;;;;;;;;;Total;44
WJP43;6.1;61 Government regulations are effectively enforced;WJP;;;;Public Sector Management;Enforcement;;;;;;;;;;;;;;;Total;43
WJP75;Factor 6;Factor 6 Regulatory Enforcement;WJP;;;;Public Sector Management;Enforcement;;;;;;;;;;;;;;;Total;75
WJP42;5.4;54 Official information is available on request;WJP;;;;Citizen Engagement;Open Government and Transparency;;;;;;;;;;;;;;;Total;42
WJP41;5.3;53 Right to petition the government and public participation;WJP;;;;Citizen Engagement;Open Government and Transparency;;;;;;;;;;;;;;;Total;41
WJP39;5.2;52 The laws are stable;WJP;;;;Security;Violent conflict;;;;;;;;;;;;;;;Total;39
WJP37;5.1;51 The laws are publicized and accessible;WJP;;;;Citizen Engagement;Open Government and Transparency;;;;;;;;;;;;;;;Total;37
WJP73;Factor 5;Factor 5 Open Government;WJP;;;;Citizen Engagement;Open Government and Transparency;;;;;;;;;;;;;;;Total;73
WJP35;4.8;48 Fundamental labor rights are effectively guaranteed;WJP;;;;Citizen Engagement;Civil Rights;;;;;;;;;;;;;;;Total;35
WJP34;4.7;47 Freedom of assembly and association is effectively guaranteed;WJP;;;;Citizen Engagement;Civil Society Participation;;;;;;;;;;;;;;;Total;34
WJP33;4.6;46 Freedom from arbitrary interference with privacy is effectively guaranteed;WJP;;;;Citizen Engagement;Civil Rights;;;;;;;;;;;;;;;Total;33
WJP32;4.5;45 Freedom of belief and religion is effectively guaranteed;WJP;;;;Citizen Engagement;Civil Rights;;;;;;;;;;;;;;;Total;32
