overlap;Indicator_Id;Indicator_Code;Indicator_Name;Display_Name;Dataset;Value_Type_Slug;Value_Type_Descriptor;Units;Description;Rank_1;Category_11;Category_12;Category_13;Category_14;Category_15;Rank_2;Category_21;Category_22;Category_23;Category_24;Category_25;Rank_3;Category_31;Category_32;Category_33;Category_34;answer
GOV;BEEPS122;BEEPS122;c13;In reference to that application for a water connection approximately how many days did it take to obtain it from the day of the application to the day the service was received? (average);BEEPS;Mean;Mean;Value;;4.132;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS132;BEEPS132;c9a;% Loss as percent of total annual sales due to power outages (average);BEEPS;Mean;Mean;%;;4.405;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS133;BEEPS133;i4a;Losses as percent of total annual sales (average);BEEPS;Mean;Mean;%;;4.037;Security;Crime;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS140;BEEPS140;i2a;Percent of total annual sales for security (average);BEEPS;Mean;Mean;%;;4.083;Security;Crime;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS144;BEEPS144;j2;Senior managements time spent on dealing with regulations (average);BEEPS;%;%;Value;;4.556;Private Sector Interface;Regulation of entry and exit;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS147;BEEPS147;j4;Times inspected or met with tax officials (average);BEEPS;Count;Count;Value;;4.612;Public Sector Management;Tax and Customs;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS149;BEEPS149;g3;Wait for a constructionrelated permit (average);BEEPS;Mean;Mean;Days;;4.385;Private Sector Interface;Permits and Licenses;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS150;BEEPS150;c4;Wait for electrical connection (average);BEEPS;Mean;Mean;Days;;4.634;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS151;BEEPS151;j11;Wait for import license (average);BEEPS;Mean;Mean;Days;;4.404;Private Sector Interface;Permits and Licenses;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS152;BEEPS152;j14;Wait for operating license (average);BEEPS;Mean;Mean;Days;;4.060;Private Sector Interface;Permits and Licenses;;;;.;;;;;;.;;;;;Mean
GOV;BEEPS153;BEEPS153;c20;Wait for telephone connection (average);BEEPS;Mean;Mean;Days;;4.867;Public Sector Management;Service Delivery;;;;.;;;;;;.;;;;;Mean
