Indicator ID,Indicator Code,Indicator Name,Display Name,Dataset,Value Type Slug,Value Type Descriptor,Units,Rank 1,Category 1 - slug,Category 1.1,Category 1.2,Category 1.3,Category 1.4,Category 1.5,Rank 2,Category 2 - slug,Category 2.1,Category 2.2,Category 2.3,Category 2.4,Category 2.5,Rank 3,Category 3 - slug,Category 3.1,Category 3.2,Category 3.3,Category 3.4,Category 3.5,Rank 4,Category 4 - slug,Category 4.1,Category 4.2,Category 4.3,Category 4.4,Category 4.5,Rank 5,Category 5 - slug,Category 5.1,Category 5.2,Category 5.3,Category 5.4,Category 5.5,Rank 6,Category 6 - slug,Category 6.1,Category 6.2,Category 6.3,Category 6.4,Category 6.5,Hidden
new,,EOSQ043,"Efficiency of government spending, 1-7 (best)",World Economic Forum Global Competitiveness Index,value,Value,Index 1-7 (best),5.166,compt.pll,Investment,Reform Progress,Global Competitiveness Pillars,"Efficiency of government spending, 1-7 (best)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,,EOSQ468,"Financial services meeting business needs, 1-7 (best)",World Economic Forum Global Competitiveness Index,value,Value,Index 1-7 (best),5.167,compt.pll,Investment,Reform Progress,Global Competitiveness Pillars,"Financial services meeting business needs, 1-7 (best)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001,,DTF global (DB17-18 methodology),Ease of Doing Business Global DTF (DB17-18 methodology),Doing Business,dtf,Distance to Frontier,Distance to Frontier,1.001,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Ease of Doing Business Global DTF (DB17-18 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Ease of Doing Business Global DTF (DB17-18 methodology),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32646,,Global Innovation Index 2017,Global Innovation Index 2017,Global Innovation Index,Rank,Rank,Rank,5.051,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Global Innovation Index 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32647,,Global Innovation Index 2017,Global Innovation Index 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.051,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Global Innovation Index 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40002,,DTF global (DB16 methodology),Ease of Doing Business Global DTF (DB16 methodology),Doing Business,dtf,Distance to Frontier,Distance to Frontier,5.152,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Ease of Doing Business Global DTF (DB16 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Ease of Doing Business Global DTF (DB16 methodology),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40003,,DTF global (DB15 methodology),Ease of Doing Business Global DTF (DB15 methodology),Doing Business,dtf,Distance to Frontier,Distance to Frontier,5.153,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Ease of Doing Business Global DTF (DB15 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Ease of Doing Business Global DTF (DB15 methodology),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32649,,Innovation Efficiency Ratio 2017,Innovation Efficiency Ratio 2017,Global Innovation Index,Score (0-100),Score (0-100),Normalized Score (using min-max normalization into 0-100 range),5.052,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Innovation Efficiency Ratio 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32648,,Innovation Efficiency Ratio 2017,Innovation Efficiency Ratio 2017,Global Innovation Index,Rank,Rank,Rank,5.052,inn.ref.gii,Innovation,Reform Progress,Global Innovation Pillars,Innovation Efficiency Ratio 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40004,,DTF global (DB10-14 methodology),Ease of Doing Business Global DTF (DB10-14 methodology),Doing Business,dtf,Distance to Frontier,Distance to Frontier,5.154,ref.prog.2,Investment,Reform Progress,Doing Business Indicators,Ease of Doing Business Global DTF (DB10-14 methodology),,,fcs.investment.climate.business,Investment,FCS Investment Trends,Investment Climate,Doing Business,Ease of Doing Business Global DTF (DB10-14 methodology),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
